"","lst_min","lst_max","lst_mean","lst_median","week_canton"
"1",29.99,30.24,30.115,30.115,"2020-1-101"
"2",30.3025,30.4975,30.4385714285714,30.49,"2020-2-101"
"3",30.5,31.93,30.8107142857143,30.5075,"2020-3-101"
"4",32.64,36.1900000000001,34.6192857142858,34.7700000000001,"2020-4-101"
"5",33.43,35.5000000000001,34.465,34.465,"2020-5-101"
"6",30.6475000000001,33.0325,31.84,31.84,"2020-6-101"
"7",30.2500000000001,34.435,32.3425000000001,32.3425000000001,"2020-7-101"
"8",35.1325,38.03,36.6732142857143,36.71,"2020-8-101"
"9",37.81,39.35,38.6114285714286,38.58,"2020-9-101"
"10",36.27,37.425,36.6021428571429,36.2775,"2020-10-101"
"11",36.28,36.835,36.4032142857143,36.2875,"2020-11-101"
"12",37.1075,38.98,37.9589285714286,37.925,"2020-12-101"
"13",39.49,42.55,41.02,41.02,"2020-13-101"
"14",38.4375,41.9625,40.2,40.2,"2020-14-101"
"15",37.85,39.6500000000001,38.75,38.75,"2020-15-101"
"16",38.8875000000001,40.2500000000001,39.6232142857144,39.7050000000001,"2020-16-101"
"17",-117.54,38.6150000000001,-17.3882142857142,-0.832499999999911,"2020-17-101"
"18",-273.15,-156.4425,-206.691428571429,-195.885,"2020-18-101"
"19",-118.62,35.91,-35.8360714285714,-41.355,"2020-19-101"
"20",-273.15,-79.9875,-190.366071428571,-195.885,"2020-20-101"
"21",-273.15,-273.15,-273.15,-273.15,"2020-21-101"
"22",-273.15,-273.15,-273.15,-273.15,"2020-22-101"
"23",-273.15,-40.59,-156.87,-156.87,"2020-23-101"
"24",-156.87,36.93,-51.6642857142857,-40.59,"2020-24-101"
"25",-273.15,-195.63,-256.538571428571,-273.15,"2020-25-101"
"26",-273.15,-273.15,-273.15,-273.15,"2020-26-101"
"27",-273.15,-196.45,-256.714285714286,-273.15,"2020-27-101"
"28",-158.1,33.65,-54.0071428571429,-43.05,"2020-28-101"
"29",-273.15,-43.05,-158.1,-158.1,"2020-29-101"
"30",-234.8125,-4.78749999999997,-119.8,-119.8,"2020-30-101"
"31",-196.475,33.55,-81.4625,-81.4625,"2020-31-101"
"32",-273.15,-80.0625,-184.921428571429,-195.915,"2020-32-101"
"33",-41.445,35.79,18.6753571428572,34.605,"2020-33-101"
"34",32.6300000000001,33.8150000000001,33.2150000000001,33.2050000000001,"2020-34-101"
"35",33.7800000000001,34.93,34.4828571428572,34.6425,"2020-35-101"
"36",34.2500000000001,34.675,34.4703571428572,34.5050000000001,"2020-36-101"
"37",34.7850000000001,36.39,35.5875,35.5875,"2020-37-101"
"38",34.4650000000001,36.115,35.29,35.29,"2020-38-101"
"39",-196.315,34.1900000000001,-81.0624999999999,-81.0624999999999,"2020-39-101"
"40",-273.15,-79.2875,-184.577857142857,-195.605,"2020-40-101"
"41",-40.515,37.03,19.8382142857143,35.8225,"2020-41-101"
"42",32.82,35.0175,33.8721428571429,33.81,"2020-42-101"
"43",-44.91,32.49,15.3385714285714,31.5,"2020-43-101"
"44",-273.15,-82.95,-186.235,-197.07,"2020-44-101"
"45",-197.54,29.29,-84.125,-84.125,"2020-45-101"
"46",29.9475,33.8925,31.92,31.92,"2020-46-101"
"47",34.385,34.55,34.4675,34.4675,"2020-47-101"
"48",31.555,34.3575,33.1446428571429,33.22,"2020-48-101"
"49",29.89,31.18,30.5885714285714,30.535,"2020-49-101"
"50",31.5025,32.47,32.0307142857143,32.09,"2020-50-101"
"51",30.95,31.71,31.3371428571429,31.33,"2020-51-101"
"52",31.76,33.11,32.4733333333333,32.57,"2020-52-101"
"53",30.775,31.15,30.9035714285714,30.88,"2021-1-101"
"54",31.35,32.55,31.95,31.95,"2021-2-101"
"55",32.565,32.655,32.61,32.61,"2021-3-101"
"56",31.9800000000001,32.67,32.325,32.325,"2021-4-101"
"57",31.7500000000001,33.95,32.7092857142858,32.6300000000001,"2021-5-101"
"58",34.39,35.37,35.1171428571429,35.295,"2021-6-101"
"59",34.1875,35.47,35.0821428571429,35.395,"2021-7-101"
"60",32.05,33.76,32.8085714285714,32.74,"2021-8-101"
"61",33.085,34.9025,34.0839285714286,34.12,"2021-9-101"
"62",34.995,35.55,35.2725,35.2725,"2021-10-101"
"63",35.6425,36.1975,35.92,35.92,"2021-11-101"
"64",36.29,37.64,36.965,36.965,"2021-12-101"
"65",37.09,38.09,37.6292857142857,37.69,"2021-13-101"
"66",36.49,37.14,36.8078571428571,36.815,"2021-14-101"
"67",37.01,37.79,37.4278571428571,37.465,"2021-15-101"
"68",35.575,36.75,36.0525,35.97,"2021-16-101"
"69",34.355,35.5075,35.1982142857143,35.305,"2021-17-101"
"70",28.65,33.54,31.095,31.095,"2021-18-101"
"71",28.09,28.57,28.33,28.33,"2021-19-101"
"72",28.01,31.28,29.645,29.645,"2021-20-101"
"73",31.825,32.7825,32.4689285714286,32.535,"2021-21-101"
"74",32.865,35.18,33.7625,33.5675,"2021-22-101"
"75",35.7175,37.33,36.7235714285714,36.82,"2021-23-101"
"76",35.7,36.65,36.155,36.14,"2021-24-101"
"77",34.795,35.565,35.1657142857143,35.16,"2021-25-101"
"78",34.1300000000001,34.7,34.4150000000001,34.4150000000001,"2021-26-101"
"79",33.8325,34.0875000000001,33.9600000000001,33.9600000000001,"2021-27-101"
"80",33.79,34.585,34.1875,34.1875,"2021-28-101"
"81",33.2125,34.85,34.1292857142857,34.195,"2021-29-101"
"82",32.23,34.2400000000001,33.0882142857143,32.885,"2021-30-101"
"83",34.7425000000001,37.0375000000001,36.0442857142858,36.2500000000001,"2021-31-101"
"84",37.3000000000001,38.35,37.9439285714286,38.0875,"2021-32-101"
"85",37.74,38.1325,37.9210714285714,37.915,"2021-33-101"
"86",37.53,37.71,37.62,37.62,"2021-34-101"
"87",35.0975000000001,37.1825,36.1400000000001,36.1400000000001,"2021-35-101"
"88",34.7500000000001,35.545,35.1475000000001,35.1475000000001,"2021-36-101"
"89",35.3725,35.81,35.6035714285714,35.635,"2021-37-101"
"90",34.94,35.285,35.0867857142857,35.0675,"2021-38-101"
"91",34.77,34.8975,34.815,34.8,"2021-39-101"
"92",34.81,35.34,34.9407142857143,34.84,"2021-40-101"
"93",35.585,36.81,36.2160714285714,36.32,"2021-41-101"
"94",32.95,35.845,34.3975,34.3975,"2021-42-101"
"95",32.96,33.02,32.99,32.99,"2021-43-101"
"96",33.03,34.2,33.615,33.615,"2021-44-101"
"97",33.065,34.59,33.9085714285714,33.98,"2021-45-101"
"98",31.8,32.76,32.1557142857143,32.0625,"2021-46-101"
"99",30.73,31.7125,31.3192857142857,31.45,"2021-47-101"
"100",29.53,30.585,30.0989285714286,30.0575,"2021-48-101"
"101",31.1125,33.7500000000001,32.6107142857144,32.6950000000001,"2021-49-101"
"102",33.2500000000001,33.6250000000001,33.4375000000001,33.4375000000001,"2021-50-101"
"103",32.9525,33.2075000000001,33.08,33.08,"2021-51-101"
"104",31.73,32.91,32.2625,32.202,"2021-52-101"
"105",32.105,33.23,32.6675,32.6675,"2022-1-101"
"106",30.8675,32.8925,31.88,31.88,"2022-2-101"
"107",30.53,33.125,31.8275,31.8275,"2022-3-101"
"108",33.065,33.99,33.5317857142857,33.5575,"2022-4-101"
"109",32.51,32.88,32.7,32.695,"2022-5-101"
"110",32.8975000000001,33.4900000000001,33.1664285714287,33.1300000000001,"2022-6-101"
"111",33.6100000000001,34.09,33.8585714285715,33.85,"2022-7-101"
"112",32.97,33.67,33.3560714285714,33.39,"2022-8-101"
"113",34.175,37.79,35.9825,35.9825,"2022-9-101"
"114",36.7575,37.6425,37.2,37.2,"2022-10-101"
"115",36.61,37.615,37.1125,37.1125,"2022-11-101"
"116",36.925,37.95,37.4867857142857,37.54,"2022-12-101"
"117",34.82,36.72,35.8657142857143,35.9375,"2022-13-101"
"118",33.33,34.4475,33.8142857142857,33.715,"2022-14-101"
"119",34.1,34.87,34.5939285714286,34.6775,"2022-15-101"
"120",34.85,35.265,34.9146428571429,34.8575,"2022-16-101"
"121",35.68,38.17,36.925,36.925,"2022-17-101"
"122",36.245,37.895,37.07,37.07,"2022-18-101"
"123",35.97,36.72,36.345,36.345,"2022-19-101"
