"","week_canton","nino4ssta"
"1","2020-1-nino34ssta",0.6
"2","2020-1-101",0.6
"3","2020-1-102",0.6
"4","2020-1-103",0.6
"5","2020-1-104",0.6
"6","2020-1-105",0.6
"7","2020-1-106",0.6
"8","2020-1-107",0.6
"9","2020-1-108",0.6
"10","2020-1-109",0.6
"11","2020-1-110",0.6
"12","2020-1-111",0.6
"13","2020-1-112",0.6
"14","2020-1-113",0.6
"15","2020-1-114",0.6
"16","2020-1-115",0.6
"17","2020-1-116",0.6
"18","2020-1-117",0.6
"19","2020-1-118",0.6
"20","2020-1-119",0.6
"21","2020-1-120",0.6
"22","2020-1-201",0.6
"23","2020-1-202",0.6
"24","2020-1-203",0.6
"25","2020-1-204",0.6
"26","2020-1-205",0.6
"27","2020-1-206",0.6
"28","2020-1-207",0.6
"29","2020-1-208",0.6
"30","2020-1-209",0.6
"31","2020-1-210",0.6
"32","2020-1-211",0.6
"33","2020-1-212",0.6
"34","2020-1-213",0.6
"35","2020-1-214",0.6
"36","2020-1-215",0.6
"37","2020-1-216",0.6
"38","2020-1-301",0.6
"39","2020-1-302",0.6
"40","2020-1-303",0.6
"41","2020-1-304",0.6
"42","2020-1-305",0.6
"43","2020-1-306",0.6
"44","2020-1-307",0.6
"45","2020-1-308",0.6
"46","2020-1-401",0.6
"47","2020-1-402",0.6
"48","2020-1-403",0.6
"49","2020-1-404",0.6
"50","2020-1-405",0.6
"51","2020-1-406",0.6
"52","2020-1-407",0.6
"53","2020-1-408",0.6
"54","2020-1-409",0.6
"55","2020-1-410",0.6
"56","2020-1-501",0.6
"57","2020-1-502",0.6
"58","2020-1-503",0.6
"59","2020-1-504",0.6
"60","2020-1-505",0.6
"61","2020-1-506",0.6
"62","2020-1-507",0.6
"63","2020-1-508",0.6
"64","2020-1-509",0.6
"65","2020-1-510",0.6
"66","2020-1-511",0.6
"67","2020-1-601",0.6
"68","2020-1-602",0.6
"69","2020-1-603",0.6
"70","2020-1-604",0.6
"71","2020-1-605",0.6
"72","2020-1-606",0.6
"73","2020-1-607",0.6
"74","2020-1-608",0.6
"75","2020-1-609",0.6
"76","2020-1-610",0.6
"77","2020-1-611",0.6
"78","2020-1-701",0.6
"79","2020-1-702",0.6
"80","2020-1-703",0.6
"81","2020-1-704",0.6
"82","2020-1-705",0.6
"83","2020-1-706",0.6
"84","2020-2-nino34ssta",0.6
"85","2020-2-101",0.6
"86","2020-2-102",0.6
"87","2020-2-103",0.6
"88","2020-2-104",0.6
"89","2020-2-105",0.6
"90","2020-2-106",0.6
"91","2020-2-107",0.6
"92","2020-2-108",0.6
"93","2020-2-109",0.6
"94","2020-2-110",0.6
"95","2020-2-111",0.6
"96","2020-2-112",0.6
"97","2020-2-113",0.6
"98","2020-2-114",0.6
"99","2020-2-115",0.6
"100","2020-2-116",0.6
"101","2020-2-117",0.6
"102","2020-2-118",0.6
"103","2020-2-119",0.6
"104","2020-2-120",0.6
"105","2020-2-201",0.6
"106","2020-2-202",0.6
"107","2020-2-203",0.6
"108","2020-2-204",0.6
"109","2020-2-205",0.6
"110","2020-2-206",0.6
"111","2020-2-207",0.6
"112","2020-2-208",0.6
"113","2020-2-209",0.6
"114","2020-2-210",0.6
"115","2020-2-211",0.6
"116","2020-2-212",0.6
"117","2020-2-213",0.6
"118","2020-2-214",0.6
"119","2020-2-215",0.6
"120","2020-2-216",0.6
"121","2020-2-301",0.6
"122","2020-2-302",0.6
"123","2020-2-303",0.6
"124","2020-2-304",0.6
"125","2020-2-305",0.6
"126","2020-2-306",0.6
"127","2020-2-307",0.6
"128","2020-2-308",0.6
"129","2020-2-401",0.6
"130","2020-2-402",0.6
"131","2020-2-403",0.6
"132","2020-2-404",0.6
"133","2020-2-405",0.6
"134","2020-2-406",0.6
"135","2020-2-407",0.6
"136","2020-2-408",0.6
"137","2020-2-409",0.6
"138","2020-2-410",0.6
"139","2020-2-501",0.6
"140","2020-2-502",0.6
"141","2020-2-503",0.6
"142","2020-2-504",0.6
"143","2020-2-505",0.6
"144","2020-2-506",0.6
"145","2020-2-507",0.6
"146","2020-2-508",0.6
"147","2020-2-509",0.6
"148","2020-2-510",0.6
"149","2020-2-511",0.6
"150","2020-2-601",0.6
"151","2020-2-602",0.6
"152","2020-2-603",0.6
"153","2020-2-604",0.6
"154","2020-2-605",0.6
"155","2020-2-606",0.6
"156","2020-2-607",0.6
"157","2020-2-608",0.6
"158","2020-2-609",0.6
"159","2020-2-610",0.6
"160","2020-2-611",0.6
"161","2020-2-701",0.6
"162","2020-2-702",0.6
"163","2020-2-703",0.6
"164","2020-2-704",0.6
"165","2020-2-705",0.6
"166","2020-2-706",0.6
"167","2020-3-nino34ssta",0.6
"168","2020-3-101",0.6
"169","2020-3-102",0.6
"170","2020-3-103",0.6
"171","2020-3-104",0.6
"172","2020-3-105",0.6
"173","2020-3-106",0.6
"174","2020-3-107",0.6
"175","2020-3-108",0.6
"176","2020-3-109",0.6
"177","2020-3-110",0.6
"178","2020-3-111",0.6
"179","2020-3-112",0.6
"180","2020-3-113",0.6
"181","2020-3-114",0.6
"182","2020-3-115",0.6
"183","2020-3-116",0.6
"184","2020-3-117",0.6
"185","2020-3-118",0.6
"186","2020-3-119",0.6
"187","2020-3-120",0.6
"188","2020-3-201",0.6
"189","2020-3-202",0.6
"190","2020-3-203",0.6
"191","2020-3-204",0.6
"192","2020-3-205",0.6
"193","2020-3-206",0.6
"194","2020-3-207",0.6
"195","2020-3-208",0.6
"196","2020-3-209",0.6
"197","2020-3-210",0.6
"198","2020-3-211",0.6
"199","2020-3-212",0.6
"200","2020-3-213",0.6
"201","2020-3-214",0.6
"202","2020-3-215",0.6
"203","2020-3-216",0.6
"204","2020-3-301",0.6
"205","2020-3-302",0.6
"206","2020-3-303",0.6
"207","2020-3-304",0.6
"208","2020-3-305",0.6
"209","2020-3-306",0.6
"210","2020-3-307",0.6
"211","2020-3-308",0.6
"212","2020-3-401",0.6
"213","2020-3-402",0.6
"214","2020-3-403",0.6
"215","2020-3-404",0.6
"216","2020-3-405",0.6
"217","2020-3-406",0.6
"218","2020-3-407",0.6
"219","2020-3-408",0.6
"220","2020-3-409",0.6
"221","2020-3-410",0.6
"222","2020-3-501",0.6
"223","2020-3-502",0.6
"224","2020-3-503",0.6
"225","2020-3-504",0.6
"226","2020-3-505",0.6
"227","2020-3-506",0.6
"228","2020-3-507",0.6
"229","2020-3-508",0.6
"230","2020-3-509",0.6
"231","2020-3-510",0.6
"232","2020-3-511",0.6
"233","2020-3-601",0.6
"234","2020-3-602",0.6
"235","2020-3-603",0.6
"236","2020-3-604",0.6
"237","2020-3-605",0.6
"238","2020-3-606",0.6
"239","2020-3-607",0.6
"240","2020-3-608",0.6
"241","2020-3-609",0.6
"242","2020-3-610",0.6
"243","2020-3-611",0.6
"244","2020-3-701",0.6
"245","2020-3-702",0.6
"246","2020-3-703",0.6
"247","2020-3-704",0.6
"248","2020-3-705",0.6
"249","2020-3-706",0.6
"250","2020-4-nino34ssta",0.548064516129032
"251","2020-4-101",0.548064516129032
"252","2020-4-102",0.548064516129032
"253","2020-4-103",0.548064516129032
"254","2020-4-104",0.548064516129032
"255","2020-4-105",0.548064516129032
"256","2020-4-106",0.548064516129032
"257","2020-4-107",0.548064516129032
"258","2020-4-108",0.548064516129032
"259","2020-4-109",0.548064516129032
"260","2020-4-110",0.548064516129032
"261","2020-4-111",0.548064516129032
"262","2020-4-112",0.548064516129032
"263","2020-4-113",0.548064516129032
"264","2020-4-114",0.548064516129032
"265","2020-4-115",0.548064516129032
"266","2020-4-116",0.548064516129032
"267","2020-4-117",0.548064516129032
"268","2020-4-118",0.548064516129032
"269","2020-4-119",0.548064516129032
"270","2020-4-120",0.548064516129032
"271","2020-4-201",0.548064516129032
"272","2020-4-202",0.548064516129032
"273","2020-4-203",0.548064516129032
"274","2020-4-204",0.548064516129032
"275","2020-4-205",0.548064516129032
"276","2020-4-206",0.548064516129032
"277","2020-4-207",0.548064516129032
"278","2020-4-208",0.548064516129032
"279","2020-4-209",0.548064516129032
"280","2020-4-210",0.548064516129032
"281","2020-4-211",0.548064516129032
"282","2020-4-212",0.548064516129032
"283","2020-4-213",0.548064516129032
"284","2020-4-214",0.548064516129032
"285","2020-4-215",0.548064516129032
"286","2020-4-216",0.548064516129032
"287","2020-4-301",0.548064516129032
"288","2020-4-302",0.548064516129032
"289","2020-4-303",0.548064516129032
"290","2020-4-304",0.548064516129032
"291","2020-4-305",0.548064516129032
"292","2020-4-306",0.548064516129032
"293","2020-4-307",0.548064516129032
"294","2020-4-308",0.548064516129032
"295","2020-4-401",0.548064516129032
"296","2020-4-402",0.548064516129032
"297","2020-4-403",0.548064516129032
"298","2020-4-404",0.548064516129032
"299","2020-4-405",0.548064516129032
"300","2020-4-406",0.548064516129032
"301","2020-4-407",0.548064516129032
"302","2020-4-408",0.548064516129032
"303","2020-4-409",0.548064516129032
"304","2020-4-410",0.548064516129032
"305","2020-4-501",0.548064516129032
"306","2020-4-502",0.548064516129032
"307","2020-4-503",0.548064516129032
"308","2020-4-504",0.548064516129032
"309","2020-4-505",0.548064516129032
"310","2020-4-506",0.548064516129032
"311","2020-4-507",0.548064516129032
"312","2020-4-508",0.548064516129032
"313","2020-4-509",0.548064516129032
"314","2020-4-510",0.548064516129032
"315","2020-4-511",0.548064516129032
"316","2020-4-601",0.548064516129032
"317","2020-4-602",0.548064516129032
"318","2020-4-603",0.548064516129032
"319","2020-4-604",0.548064516129032
"320","2020-4-605",0.548064516129032
"321","2020-4-606",0.548064516129032
"322","2020-4-607",0.548064516129032
"323","2020-4-608",0.548064516129032
"324","2020-4-609",0.548064516129032
"325","2020-4-610",0.548064516129032
"326","2020-4-611",0.548064516129032
"327","2020-4-701",0.548064516129032
"328","2020-4-702",0.548064516129032
"329","2020-4-703",0.548064516129032
"330","2020-4-704",0.548064516129032
"331","2020-4-705",0.548064516129032
"332","2020-4-706",0.548064516129032
"333","2020-5-nino34ssta",0.496129032258064
"334","2020-5-101",0.496129032258064
"335","2020-5-102",0.496129032258064
"336","2020-5-103",0.496129032258064
"337","2020-5-104",0.496129032258064
"338","2020-5-105",0.496129032258064
"339","2020-5-106",0.496129032258064
"340","2020-5-107",0.496129032258064
"341","2020-5-108",0.496129032258064
"342","2020-5-109",0.496129032258064
"343","2020-5-110",0.496129032258064
"344","2020-5-111",0.496129032258064
"345","2020-5-112",0.496129032258064
"346","2020-5-113",0.496129032258064
"347","2020-5-114",0.496129032258064
"348","2020-5-115",0.496129032258064
"349","2020-5-116",0.496129032258064
"350","2020-5-117",0.496129032258064
"351","2020-5-118",0.496129032258064
"352","2020-5-119",0.496129032258064
"353","2020-5-120",0.496129032258064
"354","2020-5-201",0.496129032258064
"355","2020-5-202",0.496129032258064
"356","2020-5-203",0.496129032258064
"357","2020-5-204",0.496129032258064
"358","2020-5-205",0.496129032258064
"359","2020-5-206",0.496129032258064
"360","2020-5-207",0.496129032258064
"361","2020-5-208",0.496129032258064
"362","2020-5-209",0.496129032258064
"363","2020-5-210",0.496129032258064
"364","2020-5-211",0.496129032258064
"365","2020-5-212",0.496129032258064
"366","2020-5-213",0.496129032258064
"367","2020-5-214",0.496129032258064
"368","2020-5-215",0.496129032258064
"369","2020-5-216",0.496129032258064
"370","2020-5-301",0.496129032258064
"371","2020-5-302",0.496129032258064
"372","2020-5-303",0.496129032258064
"373","2020-5-304",0.496129032258064
"374","2020-5-305",0.496129032258064
"375","2020-5-306",0.496129032258064
"376","2020-5-307",0.496129032258064
"377","2020-5-308",0.496129032258064
"378","2020-5-401",0.496129032258064
"379","2020-5-402",0.496129032258064
"380","2020-5-403",0.496129032258064
"381","2020-5-404",0.496129032258064
"382","2020-5-405",0.496129032258064
"383","2020-5-406",0.496129032258064
"384","2020-5-407",0.496129032258064
"385","2020-5-408",0.496129032258064
"386","2020-5-409",0.496129032258064
"387","2020-5-410",0.496129032258064
"388","2020-5-501",0.496129032258064
"389","2020-5-502",0.496129032258064
"390","2020-5-503",0.496129032258064
"391","2020-5-504",0.496129032258064
"392","2020-5-505",0.496129032258064
"393","2020-5-506",0.496129032258064
"394","2020-5-507",0.496129032258064
"395","2020-5-508",0.496129032258064
"396","2020-5-509",0.496129032258064
"397","2020-5-510",0.496129032258064
"398","2020-5-511",0.496129032258064
"399","2020-5-601",0.496129032258064
"400","2020-5-602",0.496129032258064
"401","2020-5-603",0.496129032258064
"402","2020-5-604",0.496129032258064
"403","2020-5-605",0.496129032258064
"404","2020-5-606",0.496129032258064
"405","2020-5-607",0.496129032258064
"406","2020-5-608",0.496129032258064
"407","2020-5-609",0.496129032258064
"408","2020-5-610",0.496129032258064
"409","2020-5-611",0.496129032258064
"410","2020-5-701",0.496129032258064
"411","2020-5-702",0.496129032258064
"412","2020-5-703",0.496129032258064
"413","2020-5-704",0.496129032258064
"414","2020-5-705",0.496129032258064
"415","2020-5-706",0.496129032258064
"416","2020-6-nino34ssta",0.444193548387097
"417","2020-6-101",0.444193548387097
"418","2020-6-102",0.444193548387097
"419","2020-6-103",0.444193548387097
"420","2020-6-104",0.444193548387097
"421","2020-6-105",0.444193548387097
"422","2020-6-106",0.444193548387097
"423","2020-6-107",0.444193548387097
"424","2020-6-108",0.444193548387097
"425","2020-6-109",0.444193548387097
"426","2020-6-110",0.444193548387097
"427","2020-6-111",0.444193548387097
"428","2020-6-112",0.444193548387097
