casos,week-canton,relative_risk,classi_rr,urb,tmax_min,tmax_max,tmax_mean,tmax_median,tmin_min,tmin_max,tmin_mean,tmin_median,precip_total,precip_min,precip_max,precip_mean,precip_median
2,2020-1-507,3.011234667412973,Alto,0,31.206179,34.216175,32.9803679583333,33.2783455,31.206179,34.216175,32.9803679583333,33.2783455,16.483572,0.0,8.394386,0.6868155,0.0
0,2020-1-112,0.0,Bajo,2,27.300568,31.48971,28.9307425833333,28.0160845,27.300568,31.48971,28.9307425833333,28.0160845,77.464812,0.0,37.667015,6.455401,0.0
29,2020-1-201,2.763229377303691,Alto,1,21.756056,29.411386,26.36715725,27.010843,21.756056,29.411386,26.36715725,27.010843,56.8284303,0.0,32.674007,3.55177689375,0.0
4,2020-1-110,1.288111679040174,Alto,1,23.514788,24.153862,23.88611725,23.9379095,23.514788,24.153862,23.88611725,23.9379095,11.819548,0.0,11.819548,2.954887,0.0
0,2020-1-306,0.0,Bajo,2,23.673475,24.585056,24.10218675,24.075108,23.673475,24.585056,24.10218675,24.075108,27.596506,0.0,27.596506,6.8991265,0.0
1,2020-1-106,0.4853911868511924,Medio,1,25.32318,26.002405,25.68201825,25.701244,25.32318,26.002405,25.68201825,25.701244,10.481686,0.0,10.481686,2.6204215,0.0
1,2020-1-205,1.0116830347954104,Alto,1,27.140327,27.946312,27.66709425,27.790869,27.140327,27.946312,27.66709425,27.790869,5.7994637,0.0,5.7994637,1.449865925,0.0
1,2020-1-504,1.232233854879319,Alto,0,28.727285,34.537727,32.7865139,33.339045,28.727285,34.537727,32.7865139,33.339045,33.5554471,0.0,31.622046,0.8388861775,0.0
0,2020-1-402,0.0,Bajo,1,23.842596,24.643642,24.22464425,24.2061695,23.842596,24.643642,24.22464425,24.2061695,32.469563,0.0,32.469563,8.11739075,0.0
0,2020-1-603,0.0,Bajo,0,22.358156,30.72538,27.7304273026316,28.108532,22.358156,30.72538,27.7304273026316,28.108532,235.798091,0.0,40.011215,3.10260646052632,0.0
2,2020-1-505,1.2935000065078572,Alto,2,,,,,,,,,,,,,
0,2020-1-301,0.0,Bajo,1,23.270727,24.40684,23.80244575,23.8072775,23.270727,24.40684,23.80244575,23.8072775,22.067131,0.0,22.067131,2.758391375,0.0
0,2020-1-506,0.0,Bajo,0,31.943468,34.360146,33.64037755,33.884952,31.943468,34.360146,33.64037755,33.884952,0.0,0.0,0.0,0.0,0.0
2,2020-1-610,1.1516959852869857,Alto,2,29.004864,34.342255,32.41404925,32.912655,29.004864,34.342255,32.41404925,32.912655,122.4804445,0.0,20.614916,6.124022225,3.641097
0,2020-1-608,0.0,Bajo,2,20.645426,28.275879,25.431374625,25.6523895,20.645426,28.275879,25.431374625,25.6523895,132.793612,0.0,21.157173,4.149800375,0.0
0,2020-1-117,0.0,Bajo,0,19.356174,27.907118,22.9030599166667,21.4093695,19.356174,27.907118,22.9030599166667,21.4093695,14.279578,0.0,14.279578,1.18996483333333,0.0
0,2020-1-308,0.0,Bajo,1,20.865797,23.717384,22.287691,22.283838,20.865797,23.717384,22.287691,22.283838,4.4817376,0.0,4.4817376,0.5602172,0.0
0,2020-1-602,0.0,Bajo,2,30.375814,32.399998,31.373105,31.317625,30.375814,32.399998,31.373105,31.317625,21.565758,0.0,10.812422,2.69571975,0.0
0,2020-1-611,0.0,Bajo,0,30.593225,32.60463,31.798898,31.9598655,30.593225,32.60463,31.798898,31.9598655,53.114113,0.0,19.276297,4.42617608333333,0.0
1,2020-1-607,0.9353730064235308,Alto,0,31.277412,34.819584,33.10046405,33.20368,31.277412,34.819584,33.10046405,33.20368,443.3004645,0.0,44.49921,7.388341075,0.0
