"","week_canton","precip_total_lag_8","precip_total_lag_7","precip_total_lag_6","precip_total_lag_5","precip_total_lag_4","precip_total_lag_3","precip_total_lag_2","precip_total_lag_1","precip_max_lag_8","precip_max_lag_7","precip_max_lag_6","precip_max_lag_5","precip_max_lag_4","precip_max_lag_3","precip_max_lag_2","precip_max_lag_1","precip_mean_lag_8","precip_mean_lag_7","precip_mean_lag_6","precip_mean_lag_5","precip_mean_lag_4","precip_mean_lag_3","precip_mean_lag_2","precip_mean_lag_1","precip_median_lag_8","precip_median_lag_7","precip_median_lag_6","precip_median_lag_5","precip_median_lag_4","precip_median_lag_3","precip_median_lag_2","precip_median_lag_1","precip_min_lag_8","precip_min_lag_7","precip_min_lag_6","precip_min_lag_5","precip_min_lag_4","precip_min_lag_3","precip_min_lag_2","precip_min_lag_1"
"1","2022-2-507",3.0395114,0,0,0,0,12.6301312,0,3.5892832,3.0395114,0,0,0,0,6.10044,0,3.5892832,0.60790228,0,0,0,0,1.80430445714286,0,0.512754742857143,0,0,0,0,0,1.3059382,0,0,0,0,0,0,0,0,0,0
"2","2022-2-112",46.348244,14.573392,7.1337094,9.702469,0,107.909202,0,76.654492,46.348244,14.573392,7.1337094,9.702469,0,69.48308,0,22.515406,9.2696488,2.08191314285714,1.01910134285714,1.386067,0,15.4156002857143,0,10.9506417142857,0,0,0,0,0,10.527676,0,18.046362,0,0,0,0,0,0,0,0
"3","2022-2-201",5.2302239,0,0,3.720493,0,30.5763514,0,5.0264097,3.922668,0,0,3.720493,0,7.2113056,0,1.8783535,1.04604478,0,0,0.531499,0,4.3680502,0,0.718058528571429,0,0,0,0,0,3.6056528,0,0,0,0,0,0,0,0,0,0
"4","2022-2-110",11.819548,4.1189375,3.6238923,0,5.3491473,58.799056,0,11.9318532,11.819548,4.1189375,3.6238923,0,5.3491473,19.92831,0,8.411101,2.3639096,0.588419642857143,0.5176989,0,0.7641639,8.39986514285714,0,1.70455045714286,0,0,0,0,0,9.471218,0,0,0,0,0,0,0,0,0,0
"5","2022-2-306",27.190937,0,0,10.244023,10.546834,161.574481,0,32.683975,27.190937,0,0,10.244023,10.546834,47.475197,0,32.683975,5.4381874,0,0,1.46343185714286,1.50669057142857,23.0820687142857,0,4.66913928571429,0,0,0,0,0,23.737598,0,0,0,0,0,0,0,0,0,0
"6","2022-2-106",42.00452,15.165553,13.8955715,9.556193,9.503681,151.550999,0,74.903003,42.00452,15.165553,7.733629,9.556193,9.503681,72.86753,0,51.255615,8.400904,2.16650757142857,1.98508164285714,1.36517042857143,1.35766871428571,21.6501427142857,0,10.700429,0,0,0,0,0,18.216883,0,0,0,0,0,0,0,0,0,0
"7","2022-2-205",5.7994637,0,0,4.0612288,3.9032671,25.1400942,0,5.4801133,5.7994637,0,0,4.0612288,3.9032671,10.163443,0,1.9892297,1.15989274,0,0,0.580175542857143,0.557609585714286,3.59144202857143,0,0.782873328571429,0,0,0,0,0,3.387814,0,0,0,0,0,0,0,0,0,0
"8","2022-2-504",0,0,4.0024185,5.867655,6.160008,55.3757873,0,20.452034,0,0,4.0024185,5.867655,6.160008,39.49604,0,20.452034,0,0,0.571774071428571,0.838236428571429,0.880001142857143,7.91082675714286,0,2.92171914285714,0,0,0,0,0,3.9699368,0,0,0,0,0,0,0,0,0,0
"9","2022-2-402",32.469563,0,0,11.2831545,12.205742,208.513897,0,49.657443,32.469563,0,0,11.2831545,12.205742,73.16377,0,16.852877,6.4939126,0,0,1.61187921428571,1.74367742857143,29.7876995714286,0,7.09392042857143,0,0,0,0,0,36.581886,0,0,0,0,0,0,0,0,0,0
"10","2022-2-407",6.2445216,0,0,4.571307,4.178388,36.6836149,0,7.0065951,6.2445216,0,0,4.571307,4.178388,11.230061,0,2.4977238,1.24890432,0,0,0.653043857142857,0.596912571428571,5.24051641428571,0,1.00094215714286,0,0,0,0,0,5.6150303,0,0,0,0,0,0,0,0,0,0
