"","week_canton","tmax_max_lag_8","tmax_max_lag_7","tmax_max_lag_6","tmax_max_lag_5","tmax_max_lag_4","tmax_max_lag_3","tmax_max_lag_2","tmax_max_lag_1","tmax_mean_lag_8","tmax_mean_lag_7","tmax_mean_lag_6","tmax_mean_lag_5","tmax_mean_lag_4","tmax_mean_lag_3","tmax_mean_lag_2","tmax_mean_lag_1","tmax_median_lag_8","tmax_median_lag_7","tmax_median_lag_6","tmax_median_lag_5","tmax_median_lag_4","tmax_median_lag_3","tmax_median_lag_2","tmax_median_lag_1","tmax_min_lag_8","tmax_min_lag_7","tmax_min_lag_6","tmax_min_lag_5","tmax_min_lag_4","tmax_min_lag_3","tmax_min_lag_2","tmax_min_lag_1"
"1","2022-2-507",33.849937,32.939693,33.726955,33.190147,34.133522,32.618614,34.540176,33.655262,33.5789134,32.4894215714286,33.3049328571429,32.5724584285714,33.4239784285714,31.6412631428571,33.3668864285714,33.081464,33.594887,32.50176,33.363445,32.432724,33.513786,31.98105,33.40129,32.995716,33.185726,32.013798,32.842693,32.01012,32.587345,29.756771,32.51317,32.552433
"2","2022-2-112",27.293066,26.817297,26.542685,26.532335,27.578451,26.98384,27.363525,26.715092,26.8383826,26.3154584285714,26.2550554285714,26.173662,27.1839862857143,26.0160254285714,26.9443092857143,26.153938,26.761051,26.223387,26.33666,26.162043,27.242176,26.093729,26.99678,26.06462,26.31624,25.99571,25.863865,25.354225,26.712244,24.632374,26.3598,25.865778
"3","2022-2-201",26.673803,25.800909,25.993484,26.441172,26.911339,25.844994,27.006697,26.096119,26.2044332,25.2434528571429,25.391028,25.7177875714286,26.1919874285714,25.1463907142857,25.7276898571429,25.2604661428571,26.218884,25.379686,25.426435,25.712536,26.534739,25.51472,25.717281,25.159548,25.749187,24.565117,24.973085,25.172781,24.927162,24.249777,24.863329,24.48935
"4","2022-2-110",24.153862,23.609777,23.622412,23.78177,24.612589,23.799274,24.558084,23.64596,23.8788398,23.1789872857143,23.1687625714286,23.3511457142857,24.1185422857143,23.0140911428571,23.6675231428571,23.1036234285714,23.84973,23.245726,23.06907,23.435474,24.434635,23.064308,23.512331,22.903038,23.514788,22.663485,22.81491,22.742588,23.211515,22.183004,23.217287,22.60623
"5","2022-2-306",22.188282,21.430418,20.994967,21.5416,22.333782,21.704315,22.127314,21.540684,21.5882104,20.7525277142857,20.4907254285714,20.9948802857143,21.6733157142857,21.18126,20.9427945714286,20.7823085714286,21.481771,20.855211,20.598372,21.028748,22.067598,21.214918,20.75351,20.675482,21.239576,19.877464,20.073515,20.363667,20.156593,20.615788,20.365856,20.279984
"6","2022-2-106",23.569723,23.20728,22.942421,22.988482,23.9547,23.3848,23.736605,23.083572,23.2237706,22.6815547142857,22.6302247142857,22.5892632857143,23.5914041428571,22.4638645714286,23.2437975714286,22.5817462857143,23.22728,22.650904,22.61571,22.52561,23.669926,22.562473,23.251402,22.485838,22.773087,22.280668,22.38613,21.806992,23.045635,21.292849,22.825354,22.28238
"7","2022-2-205",28.117397,27.58523,27.599764,27.849136,28.182026,27.48716,28.474123,27.672392,27.7571548,27.0722444285714,27.296594,27.2938861428571,27.939923,26.5969118571429,28.0090611428571,27.1239092857143,27.820639,27.067394,27.39957,27.340927,27.918974,26.60865,28.015438,27.051823,27.140327,26.62076,26.99947,26.70446,27.497133,24.998177,27.622623,26.805016
"8","2022-2-504",34.4845,33.218903,33.68827,33.7507,34.426884,33.275608,33.860683,33.57712,33.5135248,32.6785954285714,33.0415274285714,32.7786057142857,33.3037481428571,32.1996347142857,32.8865535714286,33.1414208571429,33.559715,32.85468,33.121223,32.759476,33.282963,32.388397,32.741924,33.07136,32.5231,32.00251,32.54396,32.095474,32.028477,30.268465,32.25892,32.71725
"9","2022-2-402",24.643642,23.816072,23.82276,24.272352,24.854557,23.870579,24.853495,24.06644,24.1005386,23.1970008571429,23.195486,23.657313,24.1181055714286,23.3030372857143,23.5090084285714,23.186934,24.039742,23.313856,23.186226,23.633871,24.569366,23.498892,23.48355,23.016024,23.604116,22.554651,22.795742,23.115183,22.737804,22.446968,22.779226,22.402071
"10","2022-2-407",27.427351,26.723337,26.966482,27.222805,27.82134,26.783241,27.90754,26.941,27.1263664,26.2866225714286,26.3952582857143,26.6714904285714,27.2243661428571,26.0512381428571,26.8028508571429,26.2524905714286,27.140657,26.39698,26.404081,26.795252,27.587929,26.081446,26.785393,26.076742,26.785727,25.709822,25.97258,26.195652,26.145794,25.249796,26.219608,25.604385
