"","week_canton","aedes.aegypti_lag_8","aedes.aegypti_lag_7","aedes.aegypti_lag_6","aedes.aegypti_lag_5","aedes.aegypti_lag_4","aedes.aegypti_lag_3","aedes.aegypti_lag_2","aedes.aegypti_lag_1","criaderos.de.mosquito_lag_8","criaderos.de.mosquito_lag_7","criaderos.de.mosquito_lag_6","criaderos.de.mosquito_lag_5","criaderos.de.mosquito_lag_4","criaderos.de.mosquito_lag_3","criaderos.de.mosquito_lag_2","criaderos.de.mosquito_lag_1","fiebre_lag_8","fiebre_lag_7","fiebre_lag_6","fiebre_lag_5","fiebre_lag_4","fiebre_lag_3","fiebre_lag_2","fiebre_lag_1","plaquetas_lag_8","plaquetas_lag_7","plaquetas_lag_6","plaquetas_lag_5","plaquetas_lag_4","plaquetas_lag_3","plaquetas_lag_2","plaquetas_lag_1","buscar.trabajo_lag_8","buscar.trabajo_lag_7","buscar.trabajo_lag_6","buscar.trabajo_lag_5","buscar.trabajo_lag_4","buscar.trabajo_lag_3","buscar.trabajo_lag_2","buscar.trabajo_lag_1","desempleo_lag_8","desempleo_lag_7","desempleo_lag_6","desempleo_lag_5","desempleo_lag_4","desempleo_lag_3","desempleo_lag_2","desempleo_lag_1","empleo_lag_8","empleo_lag_7","empleo_lag_6","empleo_lag_5","empleo_lag_4","empleo_lag_3","empleo_lag_2","empleo_lag_1","comprar.carro_lag_8","comprar.carro_lag_7","comprar.carro_lag_6","comprar.carro_lag_5","comprar.carro_lag_4","comprar.carro_lag_3","comprar.carro_lag_2","comprar.carro_lag_1","préstamo_lag_8","préstamo_lag_7","préstamo_lag_6","préstamo_lag_5","préstamo_lag_4","préstamo_lag_3","préstamo_lag_2","préstamo_lag_1","tiquetes.avion_lag_8","tiquetes.avion_lag_7","tiquetes.avion_lag_6","tiquetes.avion_lag_5","tiquetes.avion_lag_4","tiquetes.avion_lag_3","tiquetes.avion_lag_2","tiquetes.avion_lag_1","vacaciones_lag_8","vacaciones_lag_7","vacaciones_lag_6","vacaciones_lag_5","vacaciones_lag_4","vacaciones_lag_3","vacaciones_lag_2","vacaciones_lag_1","corte.agua_lag_8","corte.agua_lag_7","corte.agua_lag_6","corte.agua_lag_5","corte.agua_lag_4","corte.agua_lag_3","corte.agua_lag_2","corte.agua_lag_1","corte.de.agua_lag_8","corte.de.agua_lag_7","corte.de.agua_lag_6","corte.de.agua_lag_5","corte.de.agua_lag_4","corte.de.agua_lag_3","corte.de.agua_lag_2","corte.de.agua_lag_1","suspension.de.agua_lag_8","suspension.de.agua_lag_7","suspension.de.agua_lag_6","suspension.de.agua_lag_5","suspension.de.agua_lag_4","suspension.de.agua_lag_3","suspension.de.agua_lag_2","suspension.de.agua_lag_1"
"1","2020-23-201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,36.5,30.5,26.8,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"2","2020-23-202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,36.5,30.5,26.8,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"3","2020-23-203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,36.5,30.5,26.8,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"4","2020-23-204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,36.5,30.5,26.8,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"5","2020-23-205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,36.5,30.5,26.8,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"6","2020-23-206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,36.5,30.5,26.8,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"7","2020-23-207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,36.5,30.5,26.8,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"8","2020-23-208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,36.5,30.5,26.8,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"9","2020-23-209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,36.5,30.5,26.8,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"10","2020-23-210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,36.5,30.5,26.8,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
