"","week","pob"
"1","2019-26-  0",5020970.089
"2","2019-26-101",347692.459
"3","2019-26-102",69342.772
"4","2019-26-103",238762.282
"5","2019-26-104",38240.587
"6","2019-26-105",17842.633
"7","2019-26-106",61640.792
"8","2019-26-107",28301.544
"9","2019-26-108",137108.977
"10","2019-26-109",59327.718
"11","2019-26-110",92686.077
"12","2019-26-111",69754.925
"13","2019-26-112",21699.266
"14","2019-26-113",83692.119
"15","2019-26-114",61121.852
"16","2019-26-115",61401.435
"17","2019-26-116",7122.42
"18","2019-26-117",7759.352
"19","2019-26-118",78069.636
"20","2019-26-119",135629.672
"21","2019-26-120",13110.006
"22","2019-26-201",313360.926
"23","2019-26-202",89238.469
"24","2019-26-203",77877.077
"25","2019-26-204",7320.929
"26","2019-26-205",29541.083
"27","2019-26-206",48765.108
"28","2019-26-207",40963.256
"29","2019-26-208",33882.601
"30","2019-26-209",23883.946
"31","2019-26-210",200446.339
"32","2019-26-211",14410.501
"33","2019-26-212",22165.484
"34","2019-26-213",54442.634
"35","2019-26-214",34045.179
"36","2019-26-215",19166.649
"37","2019-26-216",16589.594
"38","2019-26-301",160800.548
"39","2019-26-302",60503.614
"40","2019-26-303",111181.993
"41","2019-26-304",16013.573
"42","2019-26-305",70325.525
"43","2019-26-306",15059.089
"44","2019-26-307",48159.581
"45","2019-26-308",44512.114
"46","2019-26-401",141279.332
"47","2019-26-402",46412.578
"48","2019-26-403",48618.467
"49","2019-26-404",42982.873
"50","2019-26-405",54313.58
"51","2019-26-406",22740.241
"52","2019-26-407",25802.988
"53","2019-26-408",21193.07
"54","2019-26-409",30125.957
"55","2019-26-410",86102.105
"56","2019-26-501",76113.681
"57","2019-26-502",57161.819
"58","2019-26-503",68302.664
"59","2019-26-504",24209.972
"60","2019-26-505",46040.071
"61","2019-26-506",31572.87
"62","2019-26-507",19885.433
"63","2019-26-508",24550.259
"64","2019-26-509",11475.208
"65","2019-26-510",26061.853
"66","2019-26-511",7102.17
"67","2019-26-601",137471.871
"68","2019-26-602",33409.315
"69","2019-26-603",52550.463
"70","2019-26-604",14564.889
"71","2019-26-605",29567.044
"72","2019-26-606",33050.97
"73","2019-26-607",32039.289
"74","2019-26-608",36461.089
"75","2019-26-609",20834.34
"76","2019-26-610",51926.455
"77","2019-26-611",25410.004
"78","2019-26-612",4723.75
"79","2019-26-613",12532.242
"80","2019-26-701",93441.204
"81","2019-26-702",148901.98
"82","2019-26-703",56935.574
"83","2019-26-704",42872.75
"84","2019-26-705",44129.391
"85","2019-26-706",55137.943
"86","2019-27-  0",5021551.68461202
"87","2019-27-101",347710.777751366
"88","2019-27-102",69348.8987786885
"89","2019-27-103",238784.828846995
"90","2019-27-104",38244.0558825137
"91","2019-27-105",17843.3146202186
"92","2019-27-106",61645.4352568306
"93","2019-27-107",28303.3076557377
"94","2019-27-108",137119.760653005
"95","2019-27-109",59337.1797240437
"96","2019-27-110",92702.2771612022
"97","2019-27-111",69762.9727814208
"98","2019-27-112",21700.522136612
"99","2019-27-113",83697.9790710383
"100","2019-27-114",61124.0753797814
"101","2019-27-115",61400.9346912568
"102","2019-27-116",7123.33334699454
"103","2019-27-117",7759.57649726776
"104","2019-27-118",78074.6925819672
"105","2019-27-119",135623.540363388
"106","2019-27-120",13111.4160027322
"107","2019-27-201",313408.335278689
"108","2019-27-202",89248.2737622951
"109","2019-27-203",77887.1506693989
"110","2019-27-204",7321.69683879781
"111","2019-27-205",29544.4629480874
"112","2019-27-206",48770.4283251366
"113","2019-27-207",40969.2545027322
"114","2019-27-208",33888.2214453552
"115","2019-27-209",23888.246352459
"116","2019-27-210",200484.860172131
"117","2019-27-211",14412.0582513661
"118","2019-27-212",22167.8031420765
"119","2019-27-213",54451.6584535519
"120","2019-27-214",34056.0451229508
"121","2019-27-215",19169.603363388
"122","2019-27-216",16594.1380519126
"123","2019-27-301",160809.72597541
"124","2019-27-302",60507.6952103825
"125","2019-27-303",111193.163393443
"126","2019-27-304",16012.8769781421
"127","2019-27-305",70320.6570928962
"128","2019-27-306",15059.668489071
"129","2019-27-307",48162.299715847
"130","2019-27-308",44515.0746748634
"131","2019-27-401",141296.983551913
"132","2019-27-402",46420.7090355191
"133","2019-27-403",48623.3549508197
"134","2019-27-404",42990.1842513661
"135","2019-27-405",54321.6212978142
"136","2019-27-406",22742.8894863388
"137","2019-27-407",25805.6309016393
"138","2019-27-408",21196.4269398907
"139","2019-27-409",30127.3242568306
"140","2019-27-410",86135.4583934426
"141","2019-27-501",76132.4741830601
"142","2019-27-502",57167.6990765027
"143","2019-27-503",68318.959273224
"144","2019-27-504",24214.635510929
"145","2019-27-505",46052.4197650273
"146","2019-27-506",31577.0881693989
"147","2019-27-507",19886.2457650273
"148","2019-27-508",24551.5127650273
"149","2019-27-509",11475.4660628415
"150","2019-27-510",26068.948704918
"151","2019-27-511",7102.1653715847
"152","2019-27-601",137493.871655738
"153","2019-27-602",33416.0360710383
"154","2019-27-603",52559.1666202186
"155","2019-27-604",14566.2236666667
"156","2019-27-605",29567.0647896175
"157","2019-27-606",33057.6107622951
"158","2019-27-607",32039.606352459
"159","2019-27-608",36458.7128060109
"160","2019-27-609",20839.7714071038
"161","2019-27-610",51931.6787786885
"162","2019-27-611",25421.1976502732
"163","2019-27-612",4724.2435
"164","2019-27-613",12537.0920819672
"165","2019-27-701",93437.7543579235
"166","2019-27-702",148927.450360656
"167","2019-27-703",56934.9251612022
"168","2019-27-704",42883.6504535519
"169","2019-27-705",44134.4495327869
"170","2019-27-706",55150.7043060109
"171","2019-28-  0",5022133.28022404
"172","2019-28-101",347729.096502732
"173","2019-28-102",69355.025557377
"174","2019-28-103",238807.375693989
"175","2019-28-104",38247.5247650273
"176","2019-28-105",17843.9962404372
"177","2019-28-106",61650.0785136612
"178","2019-28-107",28305.0713114754
"179","2019-28-108",137130.544306011
"180","2019-28-109",59346.6414480874
"181","2019-28-110",92718.4773224044
"182","2019-28-111",69771.0205628415
"183","2019-28-112",21701.778273224
"184","2019-28-113",83703.8391420765
"185","2019-28-114",61126.2987595628
"186","2019-28-115",61400.4343825137
"187","2019-28-116",7124.24669398907
"188","2019-28-117",7759.80099453552
"189","2019-28-118",78079.7491639344
"190","2019-28-119",135617.408726776
"191","2019-28-120",13112.8260054645
"192","2019-28-201",313455.744557377
"193","2019-28-202",89258.0785245902
"194","2019-28-203",77897.2243387978
"195","2019-28-204",7322.46467759563
"196","2019-28-205",29547.8428961749
"197","2019-28-206",48775.7486502732
"198","2019-28-207",40975.2530054645
"199","2019-28-208",33893.8418907104
"200","2019-28-209",23892.546704918
"201","2019-28-210",200523.381344262
"202","2019-28-211",14413.6155027322
"203","2019-28-212",22170.122284153
"204","2019-28-213",54460.6829071038
"205","2019-28-214",34066.9112459016
"206","2019-28-215",19172.557726776
"207","2019-28-216",16598.6821038251
"208","2019-28-301",160818.90395082
"209","2019-28-302",60511.776420765
"210","2019-28-303",111204.333786885
"211","2019-28-304",16012.1809562842
"212","2019-28-305",70315.7891857923
"213","2019-28-306",15060.2479781421
"214","2019-28-307",48165.018431694
"215","2019-28-308",44518.0353497268
"216","2019-28-401",141314.635103825
"217","2019-28-402",46428.8400710383
"218","2019-28-403",48628.2429016393
"219","2019-28-404",42997.4955027322
"220","2019-28-405",54329.6625956284
"221","2019-28-406",22745.5379726776
"222","2019-28-407",25808.2738032787
"223","2019-28-408",21199.7838797814
"224","2019-28-409",30128.6915136612
"225","2019-28-410",86168.8117868852
"226","2019-28-501",76151.2673661202
"227","2019-28-502",57173.5791530055
"228","2019-28-503",68335.2545464481
"229","2019-28-504",24219.2990218579
"230","2019-28-505",46064.7685300547
"231","2019-28-506",31581.3063387978
"232","2019-28-507",19887.0585300546
"233","2019-28-508",24552.7665300546
"234","2019-28-509",11475.7241256831
"235","2019-28-510",26076.0444098361
"236","2019-28-511",7102.1607431694
"237","2019-28-601",137515.872311475
"238","2019-28-602",33422.7571420765
"239","2019-28-603",52567.8702404372
"240","2019-28-604",14567.5583333333
"241","2019-28-605",29567.085579235
"242","2019-28-606",33064.2515245902
"243","2019-28-607",32039.923704918
"244","2019-28-608",36456.3366120219
"245","2019-28-609",20845.2028142076
"246","2019-28-610",51936.902557377
"247","2019-28-611",25432.3913005464
"248","2019-28-612",4724.737
"249","2019-28-613",12541.9421639344
"250","2019-28-701",93434.304715847
"251","2019-28-702",148952.920721311
"252","2019-28-703",56934.2763224044
"253","2019-28-704",42894.5509071038
"254","2019-28-705",44139.5080655738
"255","2019-28-706",55163.4656120219
"256","2019-29-  0",5022714.87583607
"257","2019-29-101",347747.415254098
"258","2019-29-102",69361.1523360656
"259","2019-29-103",238829.922540984
"260","2019-29-104",38250.993647541
"261","2019-29-105",17844.6778606557
"262","2019-29-106",61654.7217704918
"263","2019-29-107",28306.8349672131
"264","2019-29-108",137141.327959016
"265","2019-29-109",59356.1031721311
"266","2019-29-110",92734.6774836066
"267","2019-29-111",69779.0683442623
"268","2019-29-112",21703.0344098361
"269","2019-29-113",83709.6992131148
"270","2019-29-114",61128.5221393443
"271","2019-29-115",61399.9340737705
"272","2019-29-116",7125.16004098361
"273","2019-29-117",7760.02549180328
"274","2019-29-118",78084.8057459016
"275","2019-29-119",135611.277090164
"276","2019-29-120",13114.2360081967
"277","2019-29-201",313503.153836066
"278","2019-29-202",89267.8832868852
"279","2019-29-203",77907.2980081967
"280","2019-29-204",7323.23251639344
"281","2019-29-205",29551.2228442623
"282","2019-29-206",48781.0689754098
"283","2019-29-207",40981.2515081967
"284","2019-29-208",33899.4623360656
"285","2019-29-209",23896.8470573771
"286","2019-29-210",200561.902516393
"287","2019-29-211",14415.1727540984
"288","2019-29-212",22172.4414262295
"289","2019-29-213",54469.7073606557
"290","2019-29-214",34077.7773688525
"291","2019-29-215",19175.5120901639
"292","2019-29-216",16603.2261557377
"293","2019-29-301",160828.08192623
"294","2019-29-302",60515.8576311475
"295","2019-29-303",111215.504180328
"296","2019-29-304",16011.4849344262
"297","2019-29-305",70310.9212786885
"298","2019-29-306",15060.8274672131
"299","2019-29-307",48167.737147541
"300","2019-29-308",44520.9960245902
"301","2019-29-401",141332.286655738
"302","2019-29-402",46436.9711065574
"303","2019-29-403",48633.130852459
"304","2019-29-404",43004.8067540984
"305","2019-29-405",54337.7038934426
"306","2019-29-406",22748.1864590164
"307","2019-29-407",25810.916704918
"308","2019-29-408",21203.1408196721
"309","2019-29-409",30130.0587704918
"310","2019-29-410",86202.1651803279
"311","2019-29-501",76170.0605491803
"312","2019-29-502",57179.4592295082
"313","2019-29-503",68351.5498196721
"314","2019-29-504",24223.9625327869
"315","2019-29-505",46077.117295082
"316","2019-29-506",31585.5245081967
"317","2019-29-507",19887.871295082
