pob,week-canton
348109.3843409844,2020-1-101
348121.654429244,2020-2-101
348133.92494999716,2020-3-101
348146.19590325915,2020-4-101
348158.4672890452,2020-5-101
348170.7391073705,2020-6-101
348183.01135825034,2020-7-101
348195.28404169995,2020-8-101
348207.55715773464,2020-9-101
348219.83070636954,2020-10-101
348232.10468762007,2020-11-101
348244.3791015013,2020-12-101
348256.6539480286,2020-13-101
348268.9292272171,2020-14-101
348281.20493908215,2020-15-101
348293.481083639,2020-16-101
348305.75766090286,2020-17-101
348318.0346708891,2020-18-101
348330.3121136128,2020-19-101
348342.58998908923,2020-20-101
348354.8682973338,2020-21-101
348367.1470383615,2020-22-101
348379.426212188,2020-23-101
348391.7058188281,2020-24-101
348403.9858582973,2020-25-101
348416.26633061084,2020-26-101
348428.547235784,2020-27-101
348440.82857383194,2020-28-101
348453.1103447699,2020-29-101
348465.3925486133,2020-30-101
348477.6751853773,2020-31-101
348489.95825507713,2020-32-101
348502.2417577281,2020-33-101
348514.5256933454,2020-34-101
348526.8100619444,2020-35-101
348539.0948635403,2020-36-101
348551.38009814837,2020-37-101
348563.6657657839,2020-38-101
348575.9518664621,2020-39-101
348588.2384001983,2020-40-101
348600.52536700765,2020-41-101
348612.8127669055,2020-42-101
348625.10059990716,2020-43-101
348637.38886602776,2020-44-101
348649.6775652827,2020-45-101
348661.9666976872,2020-46-101
348674.25626325654,2020-47-101
348686.546262006,2020-48-101
348698.8366939507,2020-49-101
348711.12755910604,2020-50-101
348723.4188574874,2020-51-101
348735.7105891098,2020-52-101
348748.00275398867,2020-53-101
348760.2953521393,2021-1-101
348772.5883835769,2021-2-101
348784.8818483167,2021-3-101
348797.17574637407,2021-4-101
348809.47007776424,2021-5-101
348821.7648425025,2021-6-101
348834.06004060403,2021-7-101
348846.3556720842,2021-8-101
348858.65173695836,2021-9-101
348870.9482352416,2021-10-101
348883.2451669493,2021-11-101
348895.54253209673,2021-12-101
348907.8403306992,2021-13-101
348920.138562772,2021-14-101
348932.4372283303,2021-15-101
348944.73632738943,2021-16-101
348957.03585996473,2021-17-101
348969.33582607144,2021-18-101
348981.6362257248,2021-19-101
348993.9370589402,2021-20-101
349006.23832573276,2021-21-101
349018.5400261179,2021-22-101
349030.8421601108,2021-23-101
349043.1447277269,2021-24-101
349055.44772898126,2021-25-101
349067.75116388936,2021-26-101
349080.05503246636,2021-27-101
349092.35933472763,2021-28-101
349104.6640706885,2021-29-101
349116.9692403641,2021-30-101
349129.27484376973,2021-31-101
349141.58088092087,2021-32-101
349153.8873518327,2021-33-101
349166.1942565204,2021-34-101
349178.50159499946,2021-35-101
349190.809367285,2021-36-101
349203.1175733923,2021-37-101
349215.4262133368,2021-38-101
349227.7352871338,2021-39-101
349240.0447947984,2021-40-101
349252.354736346,2021-41-101
349264.665111792,2021-42-101
349276.9759211515,2021-43-101
349289.28716444,2021-44-101
349301.59884167253,2021-45-101
349313.9109528646,2021-46-101
349326.22349803144,2021-47-101
349338.5364771884,2021-48-101
349350.84989035066,2021-49-101
349363.1637375336,2021-50-101
349375.47801875253,2021-51-101
349387.79273402266,2021-52-101
349400.10788335936,2021-53-101
349412.423466778,2022-1-101
349424.73948429374,2022-2-101
349437.055935922,2022-3-101
349449.37282167794,2022-4-101
349461.69014157704,2022-5-101
349474.0078956344,2022-6-101
349486.3260838655,2022-7-101
349498.6447062856,2022-8-101
349510.9637629099,2022-9-101
349523.28325375385,2022-10-101
349535.6031788327,2022-11-101
349547.9235381617,2022-12-101
349560.2443317562,2022-13-101
349572.56555963145,2022-14-101
349584.8872218029,2022-15-101
349597.20931828575,2022-16-101
349609.53184909537,2022-17-101
349621.85481424694,2022-18-101
349634.178213756,2022-19-101
349646.50204763765,2022-20-101
349658.8263159072,2022-21-101
349671.15101858013,2022-22-101
349683.4761556716,2022-23-101
349695.801727197,2022-24-101
349708.1277331716,2022-25-101
349720.4541736108,2022-26-101
349732.78104852984,2022-27-101
349745.108357944,2022-28-101
349757.4361018686,2022-29-101
349769.7642803191,2022-30-101
349782.0928933106,2022-31-101
349794.42194085853,2022-32-101
349806.7514229783,2022-33-101
349819.081339685,2022-34-101
349831.4116909941,2022-35-101
349843.74247692106,2022-36-101
349856.07369748084,2022-37-101
349868.4053526891,2022-38-101
349880.7374425609,2022-39-101
349893.0699671117,2022-40-101
349905.4029263568,2022-41-101
349917.7363203116,2022-42-101
349930.0701489913,2022-43-101
349942.4044124112,2022-44-101
349954.73911058676,2022-45-101
349967.0742435332,2022-46-101
349979.40981126594,2022-47-101
349991.7458138002,2022-48-101
350004.0822511513,2022-49-101
350016.4191233347,2022-50-101
350028.7564303656,2022-51-101
350041.0941722594,2022-52-101
350053.4323490314,2022-53-101
350065.7709606969,2023-1-101
350078.1100072713,2023-2-101
350090.4494887698,2023-3-101
350102.7894052079,2023-4-101
350115.1297566008,2023-5-101
350127.4705429639,2023-6-101
350139.8117643125,2023-7-101
350152.1534206619,2023-8-101
350164.4955120276,2023-9-101
350176.8380384247,2023-10-101
350189.1809998686,2023-11-101
350201.5243963748,2023-12-101
350213.86822795845,2023-13-101
350226.2124946349,2023-14-101
350238.5571964196,2023-15-101
350250.9023333278,2023-16-101
350263.24790537485,2023-17-101
350275.59391257615,2023-18-101
350287.94035494694,2023-19-101
350300.2872325026,2023-20-101
350312.6345452584,2023-21-101
350324.98229322984,2023-22-101
350337.33047643217,2023-23-101
350349.6790948807,2023-24-101
350362.0281485908,2023-25-101
350374.3776375779,2023-26-101
350386.72756185714,2023-27-101
350399.077921444,2023-28-101
350411.42871635384,2023-29-101
350423.779946602,2023-30-101
350436.13161220367,2023-31-101
350448.4837131745,2023-32-101
350460.8362495295,2023-33-101
350473.18922128424,2023-34-101
350485.5426284539,2023-35-101
350497.89647105406,2023-36-101
350510.2507490999,2023-37-101
350522.60546260676,2023-38-101
350534.96061159,2023-39-101
350547.3161960651,2023-40-101
350559.6722160473,2023-41-101
350572.0286715519,2023-42-101
350584.38556259434,2023-43-101
350596.7428891899,2023-44-101
350609.100651354,2023-45-101
350621.458849102,2023-46-101
350633.81748244923,2023-47-101
350646.17655141104,2023-48-101
350658.5360560027,2023-49-101
350670.89599623973,2023-50-101
350683.25637213734,2023-51-101
350695.61718371103,2023-52-101
350707.97843097604,2023-53-101
351376.13321084547,2024-1-101
351388.51844479993,2024-2-101
351400.9041153067,2024-3-101
351413.2902223809,2024-4-101
351425.6767660382,2024-5-101
351438.0637462937,2024-6-101
351450.45116316306,2024-7-101
351462.8390166615,2024-8-101
351475.2273068045,2024-9-101
351487.61603360734,2024-10-101
351500.00519708556,2024-11-101
351512.3947972544,2024-12-101
351524.78483412944,2024-13-101
351537.17530772585,2024-14-101
351549.5662180592,2024-15-101
351561.9575651448,2024-16-101
351574.3493489981,2024-17-101
351586.7415696344,2024-18-101
351599.13422706915,2024-19-101
351611.5273213178,2024-20-101
351623.9208523957,2024-21-101
351636.31482031813,2024-22-101
351648.70922510076,2024-23-101
351661.10406675877,2024-24-101
351673.4993453076,2024-25-101
351685.89506076265,2024-26-101
351698.29121313937,2024-27-101
351710.6878024531,2024-28-101
351723.0848287193,2024-29-101
351735.48229195335,2024-30-101
351747.8801921706,2024-31-101
351760.27852938656,2024-32-101
351772.67730361654,2024-33-101
351785.076514876,2024-34-101
351797.47616318025,2024-35-101
351809.87624854484,2024-36-101
351822.2767709851,2024-37-101
351834.67773051636,2024-38-101
351847.07912715414,2024-39-101
351859.4809609138,2024-40-101
351871.88323181076,2024-41-101
351884.28593986045,2024-42-101
351896.68908507825,2024-43-101
351909.0926674795,2024-44-101
351921.4966870797,2024-45-101
351933.9011438943,2024-46-101
351946.30603793863,2024-47-101
351958.71136922814,2024-48-101
351971.1171377782,2024-49-101
351983.52334360423,2024-50-101
351995.9299867217,2024-51-101
352008.33706714597,2024-52-101
352020.74458489247,2024-53-101
352033.1525399766,2025-1-101
352045.56093241385,2025-2-101
352057.9697622195,2025-3-101
352070.3790294091,2025-4-101
352082.78873399796,2025-5-101
352095.1988760015,2025-6-101
352107.60945543525,2025-7-101
352120.02047231456,2025-8-101
352132.4319266549,2025-9-101
352144.84381847153,2025-10-101
352157.25614778,2025-11-101
352169.66891459574,2025-12-101
352182.0821189342,2025-13-101
352194.4957608107,2025-14-101
352206.90984024067,2025-15-101
352219.3243572396,2025-16-101
352231.7393118228,2025-17-101
352244.15470400586,2025-18-101
352256.57053380413,2025-19-101
352268.986801233,2025-20-101
352281.403506308,2025-21-101
352293.82064904436,2025-22-101
352306.23822945764,2025-23-101
352318.6562475633,2025-24-101
352331.0747033767,2025-25-101
352343.4935969133,2025-26-101
352355.9129281884,2025-27-101
352368.3326972177,2025-28-101
352380.75290401635,2025-29-101
352393.17354859994,2025-30-101
352405.59463098395,2025-31-101
352418.01615118363,2025-32-101
352430.43810921453,2025-33-101
352442.8605050922,2025-34-101
352455.2833388318,2025-35-101
352467.70661044883,2025-36-101
352480.13031995884,2025-37-101
352492.5544673773,2025-38-101
352504.9790527195,2025-39-101
352517.40407600097,2025-40-101
352529.8295372371,2025-41-101
352542.2554364433,2025-42-101
352554.68177363515,2025-43-101
352567.10854882794,2025-44-101
352579.5357620371,2025-45-101
352591.9634132782,2025-46-101
352604.3915025666,2025-47-101
352616.8200299177,2025-48-101
352629.248995347,2025-49-101
352641.67839886993,2025-50-101
352654.1082405019,2025-51-101
352666.53852025844,2025-52-101
352678.9692381549,2025-53-101
69483.16218110264,2020-1-102
69487.29560810784,2020-2-102
69491.42928100309,2020-3-102
69495.56319980303,2020-4-102
69499.69736452228,2020-5-102
69503.83177517547,2020-6-102
69507.96643177724,2020-7-102
69512.10133434221,2020-8-102
69516.23648288501,2020-9-102
69520.3718774203,2020-10-102
69524.50751796269,2020-11-102
69528.6434045268,2020-12-102
69532.7795371273,2020-13-102
69536.9159157788,2020-14-102
69541.05254049595,2020-15-102
69545.18941129338,2020-16-102
69549.32652818575,2020-17-102
69553.46389118765,2020-18-102
69557.60150031377,2020-19-102
69561.73935557876,2020-20-102
69565.87745699722,2020-21-102
69570.01580458379,2020-22-102
69574.15439835316,2020-23-102
69578.29323831994,2020-24-102
69582.43232449879,2020-25-102
69586.57165690436,2020-26-102
69590.71123555127,2020-27-102
69594.85106045418,2020-28-102
69598.99113162777,2020-29-102
69603.13144908668,2020-30-102
69607.27201284553,2020-31-102
69611.412822919,2020-32-102
69615.55387932171,2020-33-102
69619.69518206836,2020-34-102
69623.8367311736,2020-35-102
69627.97852665202,2020-36-102
69632.12056851837,2020-37-102
69636.26285678723,2020-38-102
69640.40539147328,2020-39-102
69644.54817259121,2020-40-102
69648.69120015565,2020-41-102
69652.83447418129,2020-42-102
69656.97799468273,2020-43-102
69661.12176167472,2020-44-102
69665.26577517184,2020-45-102
69669.41003518879,2020-46-102
69673.55454174025,2020-47-102
69677.69929484086,2020-48-102
69681.8442945053,2020-49-102
69685.98954074824,2020-50-102
69690.13503358433,2020-51-102
69694.28077302825,2020-52-102
69698.4267590947,2020-53-102
69702.5729917983,2021-1-102
69706.71947115376,2021-2-102
69710.86619717574,2021-3-102
69715.0131698789,2021-4-102
69719.16038927794,2021-5-102
69723.30785538752,2021-6-102
69727.4555682223,2021-7-102
69731.60352779701,2021-8-102
69735.75173412627,2021-9-102
69739.90018722479,2021-10-102
69744.04888710724,2021-11-102
69748.1978337883,2021-12-102
69752.34702728267,2021-13-102
69756.49646760501,2021-14-102
69760.64615477002,2021-15-102
69764.79608879237,2021-16-102
69768.94626968676,2021-17-102
69773.09669746784,2021-18-102
69777.24737215033,2021-19-102
69781.39829374895,2021-20-102
69785.54946227832,2021-21-102
69789.70087775316,2021-22-102
69793.85254018816,2021-23-102
69798.004449598,2021-24-102
69802.1566059974,2021-25-102
69806.30900940103,2021-26-102
69810.46165982359,2021-27-102
69814.61455727978,2021-28-102
69818.76770178428,2021-29-102
69822.9210933518,2021-30-102
69827.07473199704,2021-31-102
69831.22861773468,2021-32-102
69835.38275057945,2021-33-102
69839.53713054601,2021-34-102
69843.6917576491,2021-35-102
69847.84663190339,2021-36-102
69852.00175332361,2021-37-102
69856.15712192444,2021-38-102
69860.31273772061,2021-39-102
69864.46860072679,2021-40-102
69868.6247109577,2021-41-102
69872.78106842807,2021-42-102
69876.93767315258,2021-43-102
69881.09452514596,2021-44-102
69885.2516244229,2021-45-102
69889.40897099812,2021-46-102
69893.56656488632,2021-47-102
69897.72440610224,2021-48-102
69901.88249466056,2021-49-102
69906.04083057602,2021-50-102
69910.19941386333,2021-51-102
69914.35824453719,2021-52-102
69918.51732261232,2021-53-102
69922.67664810344,2022-1-102
69926.8362210253,2022-2-102
69930.99604139256,2022-3-102
69935.15610922,2022-4-102
69939.3164245223,2022-5-102
69943.47698731419,2022-6-102
69947.63779761041,2022-7-102
69951.79885542564,2022-8-102
