rr,week-canton
0.2582203432757823,2020-1-101
0.930234183705155,2020-2-101
1.3557644285787824,2020-3-101
0.6573664218052839,2020-4-101
0.0,2020-5-101
0.1981261565912488,2020-6-101
0.5649915445728642,2020-7-101
0.2951909729338467,2020-8-101
0.45920418505528776,2020-9-101
0.22427141096923198,2020-10-101
0.25379088085229956,2020-11-101
0.0,2020-12-101
0.0,2020-13-101
0.15070628071393016,2020-14-101
0.0,2020-15-101
0.09582087123057376,2020-16-101
0.09395796034838685,2020-17-101
0.09979379485713501,2020-18-101
0.0,2020-19-101
0.06990941567124809,2020-20-101
0.05882855070317454,2020-21-101
0.09616211245724392,2020-22-101
0.11248424144651849,2020-23-101
0.03849347578960739,2020-24-101
0.06779447970556017,2020-25-101
0.10363744124238984,2020-26-101
0.032528697811333315,2020-27-101
0.037502189416338476,2020-28-101
0.0,2020-29-101
0.0,2020-30-101
0.0,2020-31-101
0.0,2020-32-101
0.0,2020-33-101
0.06522204110669598,2020-34-101
0.1447986787402492,2020-35-101
0.1412726111724652,2020-36-101
0.5171791942552035,2020-37-101
0.2767183233617174,2020-38-101
0.0,2020-39-101
0.0,2020-40-101
0.15245596677040457,2020-41-101
0.30174774481763156,2020-42-101
0.0,2020-43-101
0.28683250764009993,2020-44-101
0.28971233224695425,2020-45-101
0.14781828175197734,2020-46-101
0.2897353326772833,2020-47-101
0.21304914233617298,2020-48-101
0.41993961584584044,2020-49-101
0.0,2020-50-101
0.5467572434266774,2020-51-101
0.0,2020-52-101
0.0,2020-53-101
0.8233404788757799,2021-1-101
0.0,2021-2-101
0.20411187127663677,2021-3-101
0.0,2021-4-101
0.19069859716318668,2021-5-101
0.0,2021-6-101
0.0,2021-7-101
0.17894838692975107,2021-8-101
0.0,2021-9-101
0.5435988785038609,2021-10-101
0.21636635080236788,2021-11-101
0.0,2021-12-101
0.31516731288969857,2021-13-101
0.0,2021-14-101
0.3295192584878042,2021-15-101
0.6590646771817245,2021-16-101
0.31521735750820984,2021-17-101
0.32223497812452073,2021-18-101
0.0,2021-19-101
0.0,2021-20-101
0.0,2021-21-101
0.0,2021-22-101
0.3021552543636474,2021-23-101
0.0,2021-24-101
0.14651114794898934,2021-25-101
0.0,2021-26-101
0.2197841693311834,2021-27-101
0.0,2021-28-101
0.0,2021-29-101
