"","group","busquedas","week_canton"
"1","dengue_spread",0,"2020-1-101"
"2","dengue_spread",0,"2020-1-102"
"3","dengue_spread",0,"2020-1-103"
"4","dengue_spread",0,"2020-1-104"
"5","dengue_spread",0,"2020-1-105"
"6","dengue_spread",0,"2020-1-106"
"7","dengue_spread",0,"2020-1-107"
"8","dengue_spread",0,"2020-1-108"
"9","dengue_spread",0,"2020-1-109"
"10","dengue_spread",0,"2020-1-110"
"11","dengue_spread",0,"2020-1-111"
"12","dengue_spread",0,"2020-1-112"
"13","dengue_spread",0,"2020-1-113"
"14","dengue_spread",0,"2020-1-114"
"15","dengue_spread",0,"2020-1-115"
"16","dengue_spread",0,"2020-1-116"
"17","dengue_spread",0,"2020-1-117"
"18","dengue_spread",0,"2020-1-118"
"19","dengue_spread",0,"2020-1-119"
"20","dengue_spread",0,"2020-1-120"
"21","dengue_spread",0,"2020-1-201"
"22","dengue_spread",0,"2020-1-202"
"23","dengue_spread",0,"2020-1-203"
"24","dengue_spread",0,"2020-1-204"
"25","dengue_spread",0,"2020-1-205"
"26","dengue_spread",0,"2020-1-206"
"27","dengue_spread",0,"2020-1-207"
"28","dengue_spread",0,"2020-1-208"
"29","dengue_spread",0,"2020-1-209"
"30","dengue_spread",0,"2020-1-210"
"31","dengue_spread",0,"2020-1-211"
"32","dengue_spread",0,"2020-1-212"
"33","dengue_spread",0,"2020-1-213"
"34","dengue_spread",0,"2020-1-214"
"35","dengue_spread",0,"2020-1-215"
"36","dengue_spread",0,"2020-1-216"
"37","dengue_spread",0,"2020-1-401"
"38","dengue_spread",0,"2020-1-402"
"39","dengue_spread",0,"2020-1-403"
"40","dengue_spread",0,"2020-1-404"
"41","dengue_spread",0,"2020-1-405"
"42","dengue_spread",0,"2020-1-406"
"43","dengue_spread",0,"2020-1-407"
"44","dengue_spread",0,"2020-1-408"
"45","dengue_spread",0,"2020-1-409"
"46","dengue_spread",0,"2020-1-410"
"47","dengue_spread",77.6,"2020-1-501"
"48","dengue_spread",77.6,"2020-1-502"
"49","dengue_spread",77.6,"2020-1-503"
"50","dengue_spread",77.6,"2020-1-504"
"51","dengue_spread",77.6,"2020-1-505"
