"","keyword","value","week_canton"
"1","aedes aegypti",0,"2020-1-201"
"2","aedes aegypti",0,"2020-1-202"
"3","aedes aegypti",0,"2020-1-203"
"4","aedes aegypti",0,"2020-1-204"
"5","aedes aegypti",0,"2020-1-205"
"6","aedes aegypti",0,"2020-1-206"
"7","aedes aegypti",0,"2020-1-207"
"8","aedes aegypti",0,"2020-1-208"
"9","aedes aegypti",0,"2020-1-209"
"10","aedes aegypti",0,"2020-1-210"
"11","aedes aegypti",0,"2020-1-211"
"12","aedes aegypti",0,"2020-1-212"
"13","aedes aegypti",0,"2020-1-213"
"14","aedes aegypti",0,"2020-1-214"
"15","aedes aegypti",0,"2020-1-215"
"16","aedes aegypti",0,"2020-1-216"
"17","aedes aegypti",0,"2020-2-201"
"18","aedes aegypti",0,"2020-2-202"
"19","aedes aegypti",0,"2020-2-203"
"20","aedes aegypti",0,"2020-2-204"
"21","aedes aegypti",0,"2020-2-205"
"22","aedes aegypti",0,"2020-2-206"
"23","aedes aegypti",0,"2020-2-207"
"24","aedes aegypti",0,"2020-2-208"
"25","aedes aegypti",0,"2020-2-209"
"26","aedes aegypti",0,"2020-2-210"
"27","aedes aegypti",0,"2020-2-211"
"28","aedes aegypti",0,"2020-2-212"
"29","aedes aegypti",0,"2020-2-213"
"30","aedes aegypti",0,"2020-2-214"
"31","aedes aegypti",0,"2020-2-215"
"32","aedes aegypti",0,"2020-2-216"
"33","aedes aegypti",0,"2020-3-201"
"34","aedes aegypti",0,"2020-3-202"
"35","aedes aegypti",0,"2020-3-203"
"36","aedes aegypti",0,"2020-3-204"
"37","aedes aegypti",0,"2020-3-205"
"38","aedes aegypti",0,"2020-3-206"
"39","aedes aegypti",0,"2020-3-207"
"40","aedes aegypti",0,"2020-3-208"
"41","aedes aegypti",0,"2020-3-209"
"42","aedes aegypti",0,"2020-3-210"
"43","aedes aegypti",0,"2020-3-211"
"44","aedes aegypti",0,"2020-3-212"
"45","aedes aegypti",0,"2020-3-213"
"46","aedes aegypti",0,"2020-3-214"
"47","aedes aegypti",0,"2020-3-215"
"48","aedes aegypti",0,"2020-3-216"
"49","aedes aegypti",0,"2020-4-201"
"50","aedes aegypti",0,"2020-4-202"
"51","aedes aegypti",0,"2020-4-203"
"52","aedes aegypti",0,"2020-4-204"
"53","aedes aegypti",0,"2020-4-205"
"54","aedes aegypti",0,"2020-4-206"
"55","aedes aegypti",0,"2020-4-207"
"56","aedes aegypti",0,"2020-4-208"
"57","aedes aegypti",0,"2020-4-209"
"58","aedes aegypti",0,"2020-4-210"
"59","aedes aegypti",0,"2020-4-211"
"60","aedes aegypti",0,"2020-4-212"
"61","aedes aegypti",0,"2020-4-213"
"62","aedes aegypti",0,"2020-4-214"
"63","aedes aegypti",0,"2020-4-215"
"64","aedes aegypti",0,"2020-4-216"
"65","aedes aegypti",0,"2020-5-201"
"66","aedes aegypti",0,"2020-5-202"
"67","aedes aegypti",0,"2020-5-203"
"68","aedes aegypti",0,"2020-5-204"
"69","aedes aegypti",0,"2020-5-205"
"70","aedes aegypti",0,"2020-5-206"
"71","aedes aegypti",0,"2020-5-207"
"72","aedes aegypti",0,"2020-5-208"
"73","aedes aegypti",0,"2020-5-209"
"74","aedes aegypti",0,"2020-5-210"
"75","aedes aegypti",0,"2020-5-211"
"76","aedes aegypti",0,"2020-5-212"
"77","aedes aegypti",0,"2020-5-213"
"78","aedes aegypti",0,"2020-5-214"
"79","aedes aegypti",0,"2020-5-215"
"80","aedes aegypti",0,"2020-5-216"
"81","aedes aegypti",0,"2020-6-201"
"82","aedes aegypti",0,"2020-6-202"
"83","aedes aegypti",0,"2020-6-203"
"84","aedes aegypti",0,"2020-6-204"
"85","aedes aegypti",0,"2020-6-205"
"86","aedes aegypti",0,"2020-6-206"
"87","aedes aegypti",0,"2020-6-207"
"88","aedes aegypti",0,"2020-6-208"
"89","aedes aegypti",0,"2020-6-209"
"90","aedes aegypti",0,"2020-6-210"
"91","aedes aegypti",0,"2020-6-211"
"92","aedes aegypti",0,"2020-6-212"
"93","aedes aegypti",0,"2020-6-213"
"94","aedes aegypti",0,"2020-6-214"
"95","aedes aegypti",0,"2020-6-215"
"96","aedes aegypti",0,"2020-6-216"
"97","aedes aegypti",0,"2020-7-201"
"98","aedes aegypti",0,"2020-7-202"
"99","aedes aegypti",0,"2020-7-203"
"100","aedes aegypti",0,"2020-7-204"
"101","aedes aegypti",0,"2020-7-205"
"102","aedes aegypti",0,"2020-7-206"
"103","aedes aegypti",0,"2020-7-207"
"104","aedes aegypti",0,"2020-7-208"
"105","aedes aegypti",0,"2020-7-209"
"106","aedes aegypti",0,"2020-7-210"
"107","aedes aegypti",0,"2020-7-211"
"108","aedes aegypti",0,"2020-7-212"
"109","aedes aegypti",0,"2020-7-213"
"110","aedes aegypti",0,"2020-7-214"
"111","aedes aegypti",0,"2020-7-215"
"112","aedes aegypti",0,"2020-7-216"
"113","aedes aegypti",0,"2020-8-201"
"114","aedes aegypti",0,"2020-8-202"
"115","aedes aegypti",0,"2020-8-203"
"116","aedes aegypti",0,"2020-8-204"
"117","aedes aegypti",0,"2020-8-205"
"118","aedes aegypti",0,"2020-8-206"
