urb,week_canton
1,2020-1-101
1,2020-1-102
1,2020-1-103
2,2020-1-104
2,2020-1-105
1,2020-1-106
2,2020-1-107
1,2020-1-108
1,2020-1-109
1,2020-1-110
1,2020-1-111
2,2020-1-112
1,2020-1-113
1,2020-1-114
1,2020-1-115
0,2020-1-116
0,2020-1-117
1,2020-1-118
2,2020-1-119
2,2020-1-120
1,2020-1-201
2,2020-1-202
1,2020-1-203
2,2020-1-204
1,2020-1-205
1,2020-1-206
1,2020-1-207
1,2020-1-208
2,2020-1-209
2,2020-1-210
2,2020-1-211
2,2020-1-212
2,2020-1-213
0,2020-1-214
0,2020-1-215
0,2020-1-216
1,2020-1-301
2,2020-1-302
1,2020-1-303
2,2020-1-304
2,2020-1-305
2,2020-1-306
1,2020-1-307
1,2020-1-308
1,2020-1-401
1,2020-1-402
1,2020-1-403
1,2020-1-404
1,2020-1-405
1,2020-1-406
1,2020-1-407
1,2020-1-408
1,2020-1-409
0,2020-1-410
2,2020-1-501
0,2020-1-502
0,2020-1-503
0,2020-1-504
2,2020-1-505
0,2020-1-506
0,2020-1-507
0,2020-1-508
0,2020-1-509
0,2020-1-510
2,2020-1-511
2,2020-1-601
2,2020-1-602
0,2020-1-603
2,2020-1-604
2,2020-1-605
2,2020-1-606
0,2020-1-607
2,2020-1-608
2,2020-1-609
2,2020-1-610
0,2020-1-611
0,2020-1-701
0,2020-1-702
0,2020-1-703
0,2020-1-704
0,2020-1-705
2,2020-1-706
1,2020-2-101
1,2020-2-102
1,2020-2-103
2,2020-2-104
2,2020-2-105
1,2020-2-106
2,2020-2-107
1,2020-2-108
1,2020-2-109
1,2020-2-110
1,2020-2-111
2,2020-2-112
1,2020-2-113
1,2020-2-114
1,2020-2-115
0,2020-2-116
0,2020-2-117
1,2020-2-118
2,2020-2-119
2,2020-2-120
1,2020-2-201
2,2020-2-202
1,2020-2-203
2,2020-2-204
1,2020-2-205
1,2020-2-206
1,2020-2-207
1,2020-2-208
2,2020-2-209
2,2020-2-210
2,2020-2-211
2,2020-2-212
2,2020-2-213
0,2020-2-214
0,2020-2-215
0,2020-2-216
1,2020-2-301
2,2020-2-302
1,2020-2-303
2,2020-2-304
2,2020-2-305
2,2020-2-306
1,2020-2-307
1,2020-2-308
1,2020-2-401
1,2020-2-402
1,2020-2-403
1,2020-2-404
1,2020-2-405
1,2020-2-406
1,2020-2-407
1,2020-2-408
