"","fecha","nino34ssta"
"1",2020-01-15,0.6
"2",2020-02-15,0.37
"3",2020-03-15,0.48
"4",2020-04-15,0.36
"5",2020-05-15,-0.27
"6",2020-06-15,-0.34
"7",2020-07-15,-0.3
"8",2020-08-15,-0.59
"9",2020-09-15,-0.83
"10",2020-10-15,-1.26
"11",2020-11-15,-1.42
"12",2020-12-15,-1.15
"13",2021-01-15,-1
"14",2021-02-15,-1
"15",2021-03-15,-0.8
"16",2021-04-15,-0.72
"17",2021-05-15,-0.46
"18",2021-06-15,-0.28
"19",2021-07-15,-0.39
"20",2021-08-15,-0.53
"21",2021-09-15,-0.55
"22",2021-10-15,-0.94
"23",2021-11-15,-0.94
"24",2021-12-15,-1.06
"25",2022-01-15,-0.94
"26",2022-02-15,-0.89
"27",2022-03-15,-0.97
"28",2022-04-15,-1.11
"29",2022-05-15,-1.11
"30",2022-06-15,-0.75
"31",2022-07-15,-0.69
"32",2022-08-15,-0.97
"33",2022-09-15,-1.07
"34",2022-10-15,-0.99
"35",2022-11-15,-0.9
"36",2022-12-15,-0.85
"37",2023-01-15,-0.72
"38",2023-02-15,-0.46
"39",2023-03-15,-0.11
"40",2023-04-15,0.14
"41",2023-05-15,0.46
"42",2023-06-15,0.84
"43",2023-07-15,1.02
"44",2023-08-15,1.35
"45",2023-09-15,1.6
"46",2023-10-15,1.72
"47",2023-11-15,2.02
"48",2023-12-15,2.03
"49",2024-01-15,1.81
"50",2024-02-15,1.52
"51",2024-03-15,1.13
"52",2024-04-15,0.77
"53",2024-05-15,0.23
"54",2024-06-15,0.17
"55",2024-07-15,0.04
"56",2024-08-15,-0.12
"57",2024-09-15,-0.26
"58",2024-10-15,-0.27
"59",2024-11-15,-0.25
"60",2024-12-15,-0.6
"61",2025-01-15,-0.74
"62",2025-02-15,-0.43
"63",2025-03-15,0.01
"64",2025-04-15,-0.14
"65",2025-05-15,-0.13
"66",2025-06-15,-0.07
"67",2025-07-15,-0.14
"68",2025-08-15,-0.36
"69",2025-09-15,-0.47
"70",2025-10-15,-0.5
"71",2025-11-15,-0.7
"72",2025-12-15,-0.67
