"","week","province","group","value"
"1","2020-1",0,"dengue_spread",0
"2","2020-1",0,"employment",16.43
"3","2020-1",0,"mobility_finance",10.16
"4","2020-1",0,"water",0
"5","2020-1",1,"dengue_spread",0
"6","2020-1",1,"employment",0
"7","2020-1",1,"mobility_finance",0
"8","2020-1",1,"water",0
"9","2020-1",2,"dengue_spread",0
"10","2020-1",2,"employment",0
"11","2020-1",2,"mobility_finance",0
"12","2020-1",2,"water",0
"13","2020-1",3,"dengue_spread",0
"14","2020-1",3,"employment",0
"15","2020-1",3,"mobility_finance",0
"16","2020-1",3,"water",0
"17","2020-1",4,"dengue_spread",0
"18","2020-1",4,"employment",0
"19","2020-1",4,"mobility_finance",0
"20","2020-1",4,"water",0
"21","2020-1",5,"dengue_spread",77.55
"22","2020-1",5,"employment",0
"23","2020-1",5,"mobility_finance",0
"24","2020-1",5,"water",0
"25","2020-1",6,"dengue_spread",0
"26","2020-1",6,"employment",0
"27","2020-1",6,"mobility_finance",0
"28","2020-1",6,"water",0
"29","2020-1",7,"dengue_spread",0
"30","2020-1",7,"employment",0
"31","2020-1",7,"mobility_finance",0
"32","2020-1",7,"water",0
"33","2020-10",0,"dengue_spread",3.48
"34","2020-10",0,"employment",52.86
"35","2020-10",0,"mobility_finance",0
"36","2020-10",0,"water",0
"37","2020-10",1,"dengue_spread",0
"38","2020-10",1,"employment",41.14
"39","2020-10",1,"mobility_finance",0
"40","2020-10",1,"water",0
"41","2020-10",2,"dengue_spread",0
"42","2020-10",2,"employment",40.2
"43","2020-10",2,"mobility_finance",0
"44","2020-10",2,"water",0
"45","2020-10",3,"dengue_spread",74
"46","2020-10",3,"employment",47.44
"47","2020-10",3,"mobility_finance",0
"48","2020-10",3,"water",0
"49","2020-10",4,"dengue_spread",0
"50","2020-10",4,"employment",52
"51","2020-10",4,"mobility_finance",0
"52","2020-10",4,"water",0
"53","2020-10",5,"dengue_spread",0
"54","2020-10",5,"employment",87
"55","2020-10",5,"mobility_finance",0
"56","2020-10",5,"water",0
"57","2020-10",6,"dengue_spread",0
"58","2020-10",6,"employment",59.43
"59","2020-10",6,"mobility_finance",0
"60","2020-10",6,"water",0
"61","2020-10",7,"dengue_spread",0
"62","2020-10",7,"employment",0
"63","2020-10",7,"mobility_finance",0
"64","2020-10",7,"water",0
"65","2020-11",0,"dengue_spread",8.46
"66","2020-11",0,"employment",50.71
"67","2020-11",0,"mobility_finance",6.43
"68","2020-11",0,"water",0
"69","2020-11",1,"dengue_spread",11.34
"70","2020-11",1,"employment",46.86
"71","2020-11",1,"mobility_finance",25.28
"72","2020-11",1,"water",0
"73","2020-11",2,"dengue_spread",0
"74","2020-11",2,"employment",37.23
"75","2020-11",2,"mobility_finance",0
"76","2020-11",2,"water",0
"77","2020-11",3,"dengue_spread",0
"78","2020-11",3,"employment",50.28
"79","2020-11",3,"mobility_finance",0
"80","2020-11",3,"water",0
"81","2020-11",4,"dengue_spread",0
"82","2020-11",4,"employment",43.45
"83","2020-11",4,"mobility_finance",0
"84","2020-11",4,"water",0
"85","2020-11",5,"dengue_spread",0
"86","2020-11",5,"employment",0
"87","2020-11",5,"mobility_finance",0
"88","2020-11",5,"water",0
"89","2020-11",6,"dengue_spread",0
"90","2020-11",6,"employment",0
"91","2020-11",6,"mobility_finance",0
"92","2020-11",6,"water",0
"93","2020-11",7,"dengue_spread",0
"94","2020-11",7,"employment",0
"95","2020-11",7,"mobility_finance",0
"96","2020-11",7,"water",0
"97","2020-12",0,"dengue_spread",8.71
"98","2020-12",0,"employment",33.57
"99","2020-12",0,"mobility_finance",9.54
"100","2020-12",0,"water",0
"101","2020-12",1,"dengue_spread",10.6
"102","2020-12",1,"employment",29.14
"103","2020-12",1,"mobility_finance",0
"104","2020-12",1,"water",0
"105","2020-12",2,"dengue_spread",0
"106","2020-12",2,"employment",43.93
"107","2020-12",2,"mobility_finance",0
"108","2020-12",2,"water",0
"109","2020-12",3,"dengue_spread",0
"110","2020-12",3,"employment",0
"111","2020-12",3,"mobility_finance",0
"112","2020-12",3,"water",0
"113","2020-12",4,"dengue_spread",0
"114","2020-12",4,"employment",26.36
"115","2020-12",4,"mobility_finance",0
"116","2020-12",4,"water",0
"117","2020-12",5,"dengue_spread",0
"118","2020-12",5,"employment",0
"119","2020-12",5,"mobility_finance",0
"120","2020-12",5,"water",0
"121","2020-12",6,"dengue_spread",0
"122","2020-12",6,"employment",0
"123","2020-12",6,"mobility_finance",0
"124","2020-12",6,"water",0
"125","2020-12",7,"dengue_spread",0
"126","2020-12",7,"employment",0
"127","2020-12",7,"mobility_finance",0
"128","2020-12",7,"water",0
"129","2020-13",0,"dengue_spread",7.09
"130","2020-13",0,"employment",27.14
"131","2020-13",0,"mobility_finance",9.12
"132","2020-13",0,"water",0
"133","2020-13",1,"dengue_spread",0
"134","2020-13",1,"employment",20
"135","2020-13",1,"mobility_finance",29.24
"136","2020-13",1,"water",0
"137","2020-13",2,"dengue_spread",0
"138","2020-13",2,"employment",0
"139","2020-13",2,"mobility_finance",0
"140","2020-13",2,"water",0
"141","2020-13",3,"dengue_spread",0
"142","2020-13",3,"employment",0
"143","2020-13",3,"mobility_finance",0
"144","2020-13",3,"water",0
"145","2020-13",4,"dengue_spread",0
"146","2020-13",4,"employment",0
"147","2020-13",4,"mobility_finance",58.32
"148","2020-13",4,"water",0
"149","2020-13",5,"dengue_spread",0
"150","2020-13",5,"employment",0
"151","2020-13",5,"mobility_finance",0
"152","2020-13",5,"water",0
"153","2020-13",6,"dengue_spread",0
"154","2020-13",6,"employment",0
"155","2020-13",6,"mobility_finance",0
"156","2020-13",6,"water",0
"157","2020-13",7,"dengue_spread",0
"158","2020-13",7,"employment",0
"159","2020-13",7,"mobility_finance",0
"160","2020-13",7,"water",0
"161","2020-14",0,"dengue_spread",7.96
"162","2020-14",0,"employment",32.86
"163","2020-14",0,"mobility_finance",8.5
"164","2020-14",0,"water",0
"165","2020-14",1,"dengue_spread",11.84
"166","2020-14",1,"employment",22.29
"167","2020-14",1,"mobility_finance",0
"168","2020-14",1,"water",0
"169","2020-14",2,"dengue_spread",0
"170","2020-14",2,"employment",31.27
"171","2020-14",2,"mobility_finance",0
"172","2020-14",2,"water",0
"173","2020-14",3,"dengue_spread",0
"174","2020-14",3,"employment",66.41
"175","2020-14",3,"mobility_finance",0
"176","2020-14",3,"water",0
"177","2020-14",4,"dengue_spread",0
"178","2020-14",4,"employment",32.77
"179","2020-14",4,"mobility_finance",0
"180","2020-14",4,"water",0
"181","2020-14",5,"dengue_spread",0
"182","2020-14",5,"employment",0
"183","2020-14",5,"mobility_finance",0
"184","2020-14",5,"water",0
"185","2020-14",6,"dengue_spread",0
"186","2020-14",6,"employment",0
"187","2020-14",6,"mobility_finance",0
"188","2020-14",6,"water",0
"189","2020-14",7,"dengue_spread",0
"190","2020-14",7,"employment",0
"191","2020-14",7,"mobility_finance",0
"192","2020-14",7,"water",0
"193","2020-15",0,"dengue_spread",4.1
"194","2020-15",0,"employment",19.29
"195","2020-15",0,"mobility_finance",0
"196","2020-15",0,"water",0
"197","2020-15",1,"dengue_spread",0
"198","2020-15",1,"employment",10.86
"199","2020-15",1,"mobility_finance",0
"200","2020-15",1,"water",0
"201","2020-15",2,"dengue_spread",0
"202","2020-15",2,"employment",0
