"","week_canton","ndvi_lag_8","ndvi_lag_7","ndvi_lag_6","ndvi_lag_5","ndvi_lag_4","ndvi_lag_3","ndvi_lag_2","ndvi_lag_1"
"1","2020-9-201",0.8913,0.877782332650565,0.863378456762006,0.867042071332206,0.877416223409417,0.881743010534885,0.873221263342747,0.862545829980508
"2","2020-9-205",0.7437,0.727701781345561,0.717902825001596,0.712777363782157,0.710996301293631,0.717964963502743,0.699671918510519,0.672531073777266
"3","2020-9-203",0.7113,0.699615880767085,0.688475353101085,0.678753248183038,0.667273685972893,0.645982283137022,0.612477178778638,0.574290656973078
"4","2020-9-215",0.7439,0.576320736678972,0.495508980449736,0.593801037017775,0.743870128068726,0.829289943112231,0.804849146058882,0.782650329033975
"5","2020-9-214",0.7885,0.771233165932903,0.748534580471281,0.737027864105598,0.743672636813445,0.753890038902234,0.766954895586854,0.780358231547849
"6","2020-9-206",0.6734,0.670050083716874,0.665676179361382,0.659437583537597,0.654558040793081,0.636467508593248,0.600325550295561,0.570798414495802
"7","2020-9-209",0.6036,0.536091970587519,0.462490760694095,0.43169034531987,0.417981932883239,0.403302858082926,0.385944365701199,0.369908029113282
"8","2020-9-207",0.5996,0.586743639566457,0.588347542774804,0.601490755974425,0.605106182334373,0.594670389254485,0.534292310072327,0.480749592374543
"9","2020-9-208",0.6802,0.683463557242049,0.692869131100128,0.70045386493508,0.707553365398793,0.706716114460638,0.694102276187991,0.682336320579901
"10","2020-9-216",0.8634,0.582560450408277,0.298561561198494,0.417531229529014,0.700082685109632,0.856516138211606,0.848096596086853,0.845367521326385
"11","2020-9-210",0.6732,0.644419901031326,0.616409228629859,0.669133100189443,0.764907284635924,0.830295543937352,0.827808027400205,0.826138209827593
"12","2020-9-204",0.8062,0.798102397434784,0.786258815553136,0.782335517840475,0.777200024836779,0.753283671331442,0.713113691624358,0.69067879485546
"13","2020-9-202",0.8933,0.529683393819346,0.185447829679133,0.26296284118586,0.464567467406745,0.560657225896806,0.538605443944051,0.575907392410264
"14","2020-9-212",0.9145,0.815045948708942,0.7860183974286,0.740582788653234,0.789678640273625,0.888146021328067,0.866446388689951,0.855969167232485
"15","2020-9-213",0.0859,0.184684547196292,0.507225062425214,0.639084595645366,0.667148154568865,0.77225574909006,0.722028245208468,0.808120360418771
"16","2020-9-211",0.8501,0.447453979687746,0.20266330934259,0.329437673908683,0.600167892974013,0.803268840613496,0.785955834021479,0.76495739045253
"17","2020-9-306",0.7284,0.717703921951133,0.705361299677644,0.715345725430598,0.743248392250181,0.762964895198196,0.739814759208492,0.731512662782061
"18","2020-9-301",0.7646,0.769065225151636,0.774130635909423,0.774612377679312,0.779709454220231,0.786539716502827,0.788112068828733,0.790556486837719
"19","2020-9-308",0.894,0.871517827700361,0.844024657109173,0.864444667278086,0.880278989139779,0.88157032303657,0.867511448014913,0.860649386978158
"20","2020-9-304",0.7396,0.759485946191306,0.76699857562639,0.765277153359626,0.749672182231349,0.735850807777743,0.722562232084613,0.707358219184336
"21","2020-9-303",0.5641,0.544558300178936,0.525713398145757,0.508759065992163,0.487322271563928,0.479369261234496,0.493967548549663,0.49638807747158
"22","2020-9-307",0.7736,0.641528410304832,0.546867652557205,0.636078670161817,0.796614832117166,0.866188889477098,0.798358621355123,0.733636624651426
"23","2020-9-302",0.7833,0.808085740687481,0.833383896381305,0.870636508981437,0.867529949444725,0.857292160340572,0.832039743499993,0.855550504139573
"24","2020-9-305",0.7619,0.809991036490991,0.84998872413842,0.848119421607059,0.830704363209066,0.807619337620447,0.774795525937376,0.748344292223942
"25","2020-9-507",0.7851,0.748905403377407,0.710595338081255,0.654200253631409,0.590008353278831,0.558859693955346,0.564267278391128,0.566490299892229
