"","week_canton","rr_lag_8","rr_lag_7","rr_lag_6","rr_lag_5","rr_lag_4","rr_lag_3","rr_lag_2","rr_lag_1","clasi_rr_lag_8","clasi_rr_lag_7","clasi_rr_lag_6","clasi_rr_lag_5","clasi_rr_lag_4","clasi_rr_lag_3","clasi_rr_lag_2","clasi_rr_lag_1","clasi_rr_no_0_lag_8","clasi_rr_no_0_lag_7","clasi_rr_no_0_lag_6","clasi_rr_no_0_lag_5","clasi_rr_no_0_lag_4","clasi_rr_no_0_lag_3","clasi_rr_no_0_lag_2","clasi_rr_no_0_lag_1"
"1","2020-9-101",0.258311124385654,0.930582774357623,1.35630387917412,0.657643201841152,0,0.198218743546745,0.565268634949276,0.29534256601839,"Medio","Alto","Alto","Alto","Bajo","Medio","Alto","Medio","Bajo","Medio","Medio","Medio","Bajo","Bajo","Bajo","Bajo"
"2","2020-9-102",0,0,0,0,0,0,0,0,"Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
"3","2020-9-103",0.751474278174281,0.61525519029324,0.394540783928446,0.273280814199595,0.470236204683964,0.576534727166856,0.164405975307351,0.286318531331748,"Alto","Alto","Medio","Medio","Medio","Alto","Medio","Medio","Medio","Medio","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
"4","2020-9-104",0,0.768372076048015,0,3.41293992854596,0,0.900032514517948,1.02662520441403,0,"Bajo","Alto","Bajo","Alto","Bajo","Alto","Alto","Bajo","Bajo","Medio","Bajo","Alto","Bajo","Medio","Medio","Bajo"
"5","2020-9-105",0,0,0,0,0,0,0,0,"Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
"6","2020-9-106",0.485382246126797,1.43065794952273,0.509692427514682,0,0,0.558634529304671,0,0,"Medio","Alto","Alto","Bajo","Bajo","Alto","Bajo","Bajo","Bajo","Medio","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
"7","2020-9-107",3.17260136628985,3.11710769199472,1.11052874498764,2.30771504903146,0,0,0,0,"Alto","Alto","Alto","Alto","Bajo","Bajo","Bajo","Bajo","Alto","Alto","Medio","Medio","Bajo","Bajo","Bajo","Bajo"
"8","2020-9-108",0,0.214376196337131,0,0,0,0,0,0,"Bajo","Medio","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
"9","2020-9-109",0.503165409342176,0.494316531544279,0.52827791363306,1.09767281338423,0,0.578859527487674,0.66023308551104,0.574871973044172,"Alto","Medio","Alto","Alto","Bajo","Alto","Alto","Alto","Bajo","Bajo","Bajo","Medio","Bajo","Bajo","Medio","Bajo"
"10","2020-9-110",1.2877610247464,1.26509473653309,0,0,0.302085572221332,0.370343553233919,0,0.735562513662171,"Alto","Alto","Bajo","Bajo","Medio","Medio","Bajo","Alto","Medio","Medio","Bajo","Bajo","Bajo","Bajo","Bajo","Medio"
"11","2020-9-111",0,0,0,0,0,0,0,0,"Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
"12","2020-9-112",0,0,0,0,0,0,0,0,"Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
"13","2020-9-113",0,0,0.750911123883792,0.390101474817294,0.671266636318856,0.411514386279497,0,0.408752191445233,"Bajo","Bajo","Alto","Medio","Alto","Medio","Bajo","Medio","Bajo","Bajo","Medio","Bajo","Medio","Bajo","Bajo","Bajo"
"14","2020-9-114",0,0.481458859693695,0,0,0,0,0,0,"Bajo","Medio","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
"15","2020-9-115",0,0,0.512918292033468,0,0,0,1.28292969519695,0,"Bajo","Bajo","Alto","Bajo","Bajo","Bajo","Alto","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Medio","Bajo"
"16","2020-9-116",0,0,0,0,0,0,0,0,"Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
"17","2020-9-117",0,0,0,0,0,0,0,0,"Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
"18","2020-9-118",0,0,0,0,0.359863665915287,0,0,0,"Bajo","Bajo","Bajo","Bajo","Medio","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
"19","2020-9-119",0.885258706968353,0,0,0,0.207847906424807,0.25486817803075,0,0.253215735385236,"Alto","Bajo","Bajo","Bajo","Medio","Medio","Bajo","Medio","Medio","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
"20","2020-9-120",0,0,0,0,0,0,0,0,"Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
"21","2020-9-201",2.76323108155754,1.59135111489491,3.00122938854752,3.22198572657875,3.39780092002489,3.39829386052548,2.50067269349273,2.17737997099698,"Alto","Alto","Alto","Alto","Alto","Alto","Alto","Alto","Alto","Medio","Alto","Alto","Alto","Alto","Alto","Medio"
"22","2020-9-202",0.334962305856646,0.329087724016146,0,0.365419918398506,0,0,0,0,"Medio","Medio","Bajo","Medio","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
"23","2020-9-203",0.767256704393583,1.13067890619534,1.61119580900715,2.09243400293603,1.08010227558903,2.20702869244342,1.51041500198321,0.438391219314285,"Alto","Alto","Alto","Alto","Alto","Alto","Alto","Medio","Medio","Medio","Medio","Medio","Medio","Medio","Medio","Bajo"
"24","2020-9-204",0,0,0,0,0,0,0,0,"Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
"25","2020-9-205",1.01173906031298,0.993990652974527,4.24931602825194,2.2074400071026,2.84871150685694,3.49260327157782,3.98375621413803,2.31256921997897,"Alto","Alto","Alto","Alto","Alto","Alto","Alto","Alto","Medio","Medio","Alto","Medio","Alto","Alto","Alto","Medio"
"26","2020-9-206",0,0,0,0,0,0,0,0,"Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
"27","2020-9-207",0,0,0,0,0,0,0,0,"Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo","Bajo"
