"","week_canton","pob"
"1","2020-1-101",348187.065286885
"2","2020-1-102",69508.1950245902
"3","2020-1-103",239371.046868852
"4","2020-1-104",38334.2468278689
"5","2020-1-105",17861.0367459016
"6","2020-1-106",61766.1599344262
"7","2020-1-107",28349.162704918
"8","2020-1-108",137400.135631148
"9","2020-1-109",59583.1845491803
"10","2020-1-110",93123.481352459
"11","2020-1-111",69972.2150983607
"12","2020-1-112",21733.1816885246
"13","2020-1-113",83850.3409180328
"14","2020-1-114",61181.8832540984
"15","2020-1-115",61387.9266639344
"16","2020-1-116",7147.08036885246
"17","2020-1-117",7765.41342622951
"18","2020-1-118",78206.1637131148
"19","2020-1-119",135464.117811475
"20","2020-1-120",13148.0760737705
"21","2020-1-201",314640.97652459
"22","2020-1-202",89503.1975819672
"23","2020-1-203",78149.0660737705
"24","2020-1-204",7341.66064754098
"25","2020-1-205",29632.3415983607
"26","2020-1-206",48908.7567786885
"27","2020-1-207",41125.2155737705
"28","2020-1-208",34034.3530245902
"29","2020-1-209",24000.0555163934
"30","2020-1-210",201486.410647541
"31","2020-1-211",14452.5467868852
"32","2020-1-212",22228.1008360656
"33","2020-1-213",54686.2942459016
"34","2020-1-214",34338.5643196721
"35","2020-1-215",19246.4168114754
"36","2020-1-216",16712.2834016393
"37","2020-1-301",161048.353336066
"38","2020-1-302",60613.8066803279
"39","2020-1-303",111483.593622951
"40","2020-1-304",15994.7804098361
"41","2020-1-305",70194.0915081967
"42","2020-1-306",15074.735204918
"43","2020-1-307",48232.9863278688
"44","2020-1-308",44592.0522213115
"45","2020-1-401",141755.923901639
"46","2020-1-402",46632.1159590164
"47","2020-1-403",48750.4416721311
"48","2020-1-404",43180.2767868852
"49","2020-1-405",54530.6950409836
"50","2020-1-406",22811.7501311475
"51","2020-1-407",25874.3463442623
"52","2020-1-408",21283.7073770492
"53","2020-1-409",30162.8729344262
"54","2020-1-410",87002.6466229508
"55","2020-1-501",76621.096942623
"56","2020-1-502",57320.5810655738
"57","2020-1-503",68742.6363770492
"58","2020-1-504",24335.886795082
"59","2020-1-505",46373.4876557377
"60","2020-1-506",31686.7605737705
"61","2020-1-507",19907.3776557377
"62","2020-1-508",24584.1106557377
"63","2020-1-509",11482.1756967213
"64","2020-1-510",26253.4370327869
"65","2020-1-511",7102.04503278688
"66","2020-1-601",138065.888704918
"67","2020-1-602",33590.7839180328
"68","2020-1-603",52785.4607459016
"69","2020-1-604",14600.925
"70","2020-1-605",29567.6053196721
"71","2020-1-606",33230.2705819672
"72","2020-1-607",32047.8575163934
"73","2020-1-608",36396.9317622951
"74","2020-1-609",20980.9879918033
"75","2020-1-610",52067.4970245902
"76","2020-1-611",25712.2325573771
"77","2020-1-701",93348.0636639344
"78","2020-1-702",149589.679737705
"79","2020-1-703",56918.055352459
"80","2020-1-704",43167.0622459016
"81","2020-1-705",44265.9713852459
"82","2020-1-706",55482.4982622951
"83","2020-2-101",348205.384038251
"84","2020-2-102",69514.3218032787
"85","2020-2-103",239393.593715847
"86","2020-2-104",38337.7157103825
"87","2020-2-105",17861.7183661202
"88","2020-2-106",61770.8031912568
"89","2020-2-107",28350.9263606557
"90","2020-2-108",137410.919284153
"91","2020-2-109",59592.646273224
"92","2020-2-110",93139.6815136612
"93","2020-2-111",69980.2628797814
"94","2020-2-112",21734.4378251366
"95","2020-2-113",83856.200989071
"96","2020-2-114",61184.1066338798
"97","2020-2-115",61387.4263551913
"98","2020-2-116",7147.99371584699
"99","2020-2-117",7765.63792349727
"100","2020-2-118",78211.220295082
"101","2020-2-119",135457.986174863
"102","2020-2-120",13149.4860765027
"103","2020-2-201",314688.385803279
"104","2020-2-202",89513.0023442623
"105","2020-2-203",78159.1397431694
"106","2020-2-204",7342.4284863388
"107","2020-2-205",29635.7215464481
"108","2020-2-206",48914.0771038251
"109","2020-2-207",41131.2140765027
"110","2020-2-208",34039.9734699454
"111","2020-2-209",24004.3558688525
"112","2020-2-210",201524.931819672
"113","2020-2-211",14454.1040382514
"114","2020-2-212",22230.4199781421
"115","2020-2-213",54695.3186994535
"116","2020-2-214",34349.430442623
"117","2020-2-215",19249.3711748634
"118","2020-2-216",16716.8274535519
"119","2020-2-301",161057.531311475
"120","2020-2-302",60617.8878907104
"121","2020-2-303",111494.764016393
"122","2020-2-304",15994.0843879781
"123","2020-2-305",70189.2236010929
"124","2020-2-306",15075.3146939891
"125","2020-2-307",48235.7050437158
"126","2020-2-308",44595.0128961749
"127","2020-2-401",141773.575453552
"128","2020-2-402",46640.2469945355
"129","2020-2-403",48755.3296229508
"130","2020-2-404",43187.5880382514
"131","2020-2-405",54538.7363387978
"132","2020-2-406",22814.3986174863
"133","2020-2-407",25876.9892459016
"134","2020-2-408",21287.0643169399
"135","2020-2-409",30164.2401912568
"136","2020-2-410",87036.0000163934
"137","2020-2-501",76639.8901256831
"138","2020-2-502",57326.4611420765
"139","2020-2-503",68758.9316502732
"140","2020-2-504",24340.5503060109
"141","2020-2-505",46385.836420765
"142","2020-2-506",31690.9787431694
"143","2020-2-507",19908.190420765
"144","2020-2-508",24585.364420765
"145","2020-2-509",11482.4337595628
"146","2020-2-510",26260.5327377049
"147","2020-2-511",7102.04040437158
"148","2020-2-601",138087.889360656
"149","2020-2-602",33597.504989071
"150","2020-2-603",52794.1643661202
"151","2020-2-604",14602.2596666667
"152","2020-2-605",29567.6261092896
"153","2020-2-606",33236.9113442623
"154","2020-2-607",32048.1748688525
"155","2020-2-608",36394.555568306
"156","2020-2-609",20986.4193989071
"157","2020-2-610",52072.7208032787
"158","2020-2-611",25723.4262076503
"159","2020-2-701",93344.6140218579
