,rr,week-canton,clasi_rr,clasi_rr_no_0
0,0.2583111243856535,2020-1-101,Medio,Bajo
1,0.9305827743576232,2020-2-101,Alto,Medio
2,1.356303879174122,2020-3-101,Alto,Medio
3,0.6576432018411521,2020-4-101,Alto,Medio
4,0.0,2020-5-101,Bajo,Bajo
5,0.1982187435467445,2020-6-101,Medio,Bajo
6,0.5652686349492763,2020-7-101,Alto,Bajo
7,0.2953425660183902,2020-8-101,Medio,Bajo
8,0.4594506133182977,2020-9-101,Medio,Bajo
9,0.2243969427688737,2020-10-101,Medio,Bajo
10,0.2539387930195449,2020-11-101,Medio,Bajo
11,0.0,2020-12-101,Bajo,Bajo
12,0.0,2020-13-101,Bajo,Bajo
13,0.1508045396829625,2020-14-101,Medio,Bajo
14,0.0,2020-15-101,Bajo,Bajo
15,0.0958877598482542,2020-16-101,Medio,Bajo
16,0.0940257114133704,2020-17-101,Medio,Bajo
17,0.099868050226158,2020-18-101,Medio,Bajo
18,0.0,2020-19-101,Bajo,Bajo
19,0.0699646495014704,2020-20-101,Medio,Bajo
20,0.0588763816492363,2020-21-101,Medio,Bajo
21,0.0962425065065862,2020-22-101,Medio,Bajo
22,0.1125808638140421,2020-23-101,Medio,Bajo
23,0.0385274245484673,2020-24-101,Medio,Bajo
24,0.0678558252351622,2020-25-101,Medio,Bajo
25,0.1037335965384637,2020-26-101,Medio,Bajo
26,0.0325596078854962,2020-27-101,Medio,Bajo
27,0.0375386593089936,2020-28-101,Medio,Bajo
28,0.0,2020-29-101,Bajo,Bajo
29,0.0,2020-30-101,Bajo,Bajo
30,0.0,2020-31-101,Bajo,Bajo
31,0.0,2020-32-101,Bajo,Bajo
32,0.0,2020-33-101,Bajo,Bajo
33,0.0652941575301686,2020-34-101,Medio,Bajo
34,0.1449619948035236,2020-35-101,Medio,Bajo
35,0.1414350821570682,2020-36-101,Medio,Bajo
36,0.5177854390695186,2020-37-101,Alto,Bajo
37,0.2770488267305955,2020-38-101,Medio,Bajo
38,0.0,2020-39-101,Bajo,Bajo
39,0.0,2020-40-101,Bajo,Bajo
40,0.152648180068294,2020-41-101,Medio,Bajo
41,0.3021348570822945,2020-42-101,Medio,Bajo
42,0.0,2020-43-101,Bajo,Bajo
43,0.2872131683825906,2020-44-101,Medio,Bajo
44,0.2901032166648938,2020-45-101,Medio,Bajo
45,0.1480209856667127,2020-46-101,Medio,Bajo
46,0.2901390457921599,2020-47-101,Medio,Bajo
47,0.213350704647983,2020-48-101,Medio,Bajo
48,0.4205432891220315,2020-49-101,Medio,Bajo
49,0.0,2020-50-101,Bajo,Bajo
50,0.5475673354193435,2020-51-101,Alto,Bajo
51,0.0,2020-52-101,Bajo,Bajo
52,0.8246147869944171,2021-1-101,Alto,Medio
53,0.0,2021-2-101,Bajo,Bajo
