"","week_canton","aedes_aegypti","criaderos_de_mosquito","dengue","fiebre","plaquetas","buscar_trabajo","desempleo","empleo","comprar_carro","préstamo","tiquetes_avion","vacaciones","corte_agua","corte_de_agua","suspension_de_agua"
"1","2020-1-201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-1-202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-1-203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-1-204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-1-205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-1-206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-1-207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-1-208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-1-209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-1-210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-1-211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-1-212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-1-213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-1-214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2020-1-215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","2020-1-216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","2020-2-201",0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0
"18","2020-2-202",0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0
"19","2020-2-203",0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0
"20","2020-2-204",0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0
"21","2020-2-205",0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0
"22","2020-2-206",0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0
"23","2020-2-207",0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0
"24","2020-2-208",0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0
"25","2020-2-209",0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0
"26","2020-2-210",0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0
"27","2020-2-211",0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0
"28","2020-2-212",0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0
"29","2020-2-213",0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0
"30","2020-2-214",0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0
"31","2020-2-215",0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0
"32","2020-2-216",0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0
"33","2020-3-201",0,0,0,0,0,0,0,58.82,0,0,0,0,0,0,0
"34","2020-3-202",0,0,0,0,0,0,0,58.82,0,0,0,0,0,0,0
"35","2020-3-203",0,0,0,0,0,0,0,58.82,0,0,0,0,0,0,0
"36","2020-3-204",0,0,0,0,0,0,0,58.82,0,0,0,0,0,0,0
"37","2020-3-205",0,0,0,0,0,0,0,58.82,0,0,0,0,0,0,0
"38","2020-3-206",0,0,0,0,0,0,0,58.82,0,0,0,0,0,0,0
