,actual,pred,week_canton
200,67,-6.882477994583576,2024-1-101
201,68,50.03600965945876,2024-2-101
202,61,70.51724161738053,2024-3-101
203,52,65.94109680007122,2024-4-101
204,48,49.645017349901245,2024-5-101
205,41,44.347994102497275,2024-6-101
206,50,38.81752128933324,2024-7-101
207,26,45.119490642750826,2024-8-101
208,32,27.970199157186002,2024-9-101
209,18,27.881946735796106,2024-10-101
210,20,17.95153963448952,2024-11-101
211,13,17.48457753271557,2024-12-101
212,12,12.106888558953193,2024-13-101
213,21,11.261449942129238,2024-14-101
214,15,17.68640830428824,2024-15-101
215,13,15.976602617235832,2024-16-101
216,13,12.926295817803734,2024-17-101
217,11,11.826347687259807,2024-18-101
218,16,10.01830637239466,2024-19-101
219,7,12.91312364279656,2024-20-101
220,18,7.474334167169671,2024-21-101
221,23,14.997262838149778,2024-22-101
222,27,21.723198008321347,2024-23-101
223,27,26.83141369743762,2024-24-101
224,36,26.617132971474312,2024-25-101
225,20,33.42463372735885,2024-26-101
226,46,22.071576272058767,2024-27-101
227,42,39.01532789919739,2024-28-101
228,61,41.502223331002554,2024-29-101
229,89,57.3913702925326,2024-30-101
230,68,81.77818439965709,2024-31-101
231,72,72.47733276586845,2024-32-101
232,175,67.8625186165297,2024-33-101
233,165,149.03166686731132,2024-34-101
234,226,169.14267943786632,2024-35-101
235,197,213.5008662283165,2024-36-101
236,255,195.65999844056492,2024-37-101
237,288,235.79722142310055,2024-38-101
238,276,270.71289254608337,2024-39-101
239,211,271.0065676720735,2024-40-101
240,212,209.90210732707484,2024-41-101
241,193,190.64601649955452,2024-42-101
242,138,178.07242984754913,2024-43-101
243,176,134.82929078663673,2024-44-101
244,156,151.93164961577335,2024-45-101
245,125,147.59516458522552,2024-46-101
246,107,123.89147937269306,2024-47-101
247,132,97.3481663145749,2024-48-101
248,85,115.54060409969864,2024-49-101
249,62,86.55969036830938,2024-50-101
250,50,58.321423008860165,2024-51-101
251,29,40.90084475629446,2024-52-101
504,5,-0.17053950204763169,2024-1-102
505,3,4.918489534816907,2024-2-102
506,2,3.9372154630987444,2024-3-102
507,2,2.8955839571150617,2024-4-102
508,0,1.76154263405944,2024-5-102
509,2,0.5771236704937648,2024-6-102
510,1,2.043065433061968,2024-7-102
511,0,1.6293326578625105,2024-8-102
512,0,0.11444656671137388,2024-9-102
513,0,0.26577166836599897,2024-10-102
514,2,0.7713100673452704,2024-11-102
515,1,1.5714904374103906,2024-12-102
516,0,1.4509945984304244,2024-13-102
517,1,0.6902196568436394,2024-14-102
518,1,0.5595767902030868,2024-15-102
519,0,1.016706067092417,2024-16-102
520,0,0.42356722602873376,2024-17-102
521,0,0.3256552535775685,2024-18-102
522,0,-0.5071395045760707,2024-19-102
523,1,-1.2510772248779518,2024-20-102
524,0,0.06156272233983495,2024-21-102
525,2,0.32060507802615135,2024-22-102
526,2,1.9258565464490045,2024-23-102
527,2,2.229976505351929,2024-24-102
528,0,2.3041322737707284,2024-25-102
529,3,0.6210083264884094,2024-26-102
530,2,2.165542133258529,2024-27-102
531,2,2.3824716579670153,2024-28-102
532,1,2.126792136251388,2024-29-102
533,0,1.336498116627376,2024-30-102
534,5,0.043181671934354515,2024-31-102
535,3,4.081425528768498,2024-32-102
536,4,3.7620509688590804,2024-33-102
537,5,3.939936079581136,2024-34-102
538,5,4.344293791250261,2024-35-102
539,4,4.550301115045825,2024-36-102
540,7,4.156385507531879,2024-37-102
541,12,6.919577640514193,2024-38-102
542,9,11.210669056673282,2024-39-102
543,13,9.52273516811644,2024-40-102
544,10,12.36418593576874,2024-41-102
545,8,10.219119060294966,2024-42-102
546,7,8.371235717286824,2024-43-102
547,7,5.836076183544646,2024-44-102
548,3,6.317257722238839,2024-45-102
549,5,2.634160661682218,2024-46-102
550,3,4.459974642475972,2024-47-102
551,1,2.915537107855671,2024-48-102
552,1,1.2378338746441377,2024-49-102
553,0,-0.4394819070234224,2024-50-102
554,0,-0.2782402645125206,2024-51-102
