,actual,pred,week_canton
200,67,2.2715400364627287,2024-1-101
201,68,50.505673105056296,2024-2-101
202,61,50.501092718765,2024-3-101
203,52,48.96540568090775,2024-4-101
204,48,38.32021175739853,2024-5-101
205,41,37.71141301526017,2024-6-101
206,50,35.19601940847028,2024-7-101
207,26,38.751212281536944,2024-8-101
208,32,21.453052755484467,2024-9-101
209,18,29.41261820215318,2024-10-101
210,20,17.189794286892848,2024-11-101
211,13,18.052141676986686,2024-12-101
212,12,13.889396396151525,2024-13-101
213,21,10.846555607110753,2024-14-101
214,15,16.1913893660664,2024-15-101
215,13,15.299399240756511,2024-16-101
216,13,13.450051865722887,2024-17-101
217,11,12.623920900317223,2024-18-101
218,16,10.63842607117416,2024-19-101
219,7,14.22806832884184,2024-20-101
220,18,8.073864439538642,2024-21-101
221,23,14.487567647983814,2024-22-101
222,27,18.928926296652943,2024-23-101
223,27,26.122163681610413,2024-24-101
224,36,26.87262887864261,2024-25-101
225,20,35.24943827103072,2024-26-101
226,46,19.83187536636077,2024-27-101
227,42,46.86567889185755,2024-28-101
228,61,44.91240564279809,2024-29-101
229,89,62.8496414316161,2024-30-101
230,68,78.50796251283728,2024-31-101
231,72,70.45781479557812,2024-32-101
232,175,69.68185384167619,2024-33-101
233,165,149.35810498630653,2024-34-101
234,226,148.95810822592443,2024-35-101
235,197,160.16273379479995,2024-36-101
236,255,157.90115738509851,2024-37-101
237,288,162.55755547312162,2024-38-101
238,276,161.57125623069737,2024-39-101
239,211,162.97007711814325,2024-40-101
240,212,162.56321242727856,2024-41-101
241,193,165.6191567745979,2024-42-101
242,138,161.2937301317963,2024-43-101
243,176,129.73864101955417,2024-44-101
244,156,161.97630098904358,2024-45-101
245,125,161.95705793141215,2024-46-101
246,107,116.22687084285624,2024-47-101
247,132,100.47294506705666,2024-48-101
248,85,144.1104346612272,2024-49-101
249,62,71.6794449864775,2024-50-101
250,50,57.144738613657765,2024-51-101
251,29,37.23251199144481,2024-52-101
504,5,0.21772921828723454,2024-1-102
505,3,2.806634978772371,2024-2-102
506,2,4.488492400297793,2024-3-102
507,2,2.403876941461044,2024-4-102
508,0,2.322256424661814,2024-5-102
509,2,1.6481014560140361,2024-6-102
510,1,1.074972988931019,2024-7-102
511,0,1.278072903147159,2024-8-102
512,0,0.5529837006031374,2024-9-102
513,0,0.25741432264178826,2024-10-102
514,2,0.18852280618381678,2024-11-102
515,1,0.7790654139061423,2024-12-102
516,0,1.2686853097300756,2024-13-102
517,1,0.5529837006031374,2024-14-102
518,1,0.732821602429262,2024-15-102
519,0,0.6810175541016088,2024-16-102
520,0,0.2306915927386152,2024-17-102
521,0,0.22820791053837056,2024-18-102
522,0,0.18852280618381678,2024-19-102
523,1,0.1796657783276891,2024-20-102
524,0,0.6608198161891089,2024-21-102
525,2,0.19100648838406137,2024-22-102
526,2,0.8139984059557602,2024-23-102
527,2,1.7291287249899514,2024-24-102
528,0,2.201088479681518,2024-25-102
529,3,1.6481014560140361,2024-26-102
530,2,2.616789438106049,2024-27-102
531,2,1.8322697452978582,2024-28-102
532,1,2.3034065002018,2024-29-102
533,0,1.6785320089448255,2024-30-102
534,5,0.5865256673177845,2024-31-102
535,3,2.820303250781617,2024-32-102
536,4,4.488492400297793,2024-33-102
537,5,4.145482454972029,2024-34-102
538,5,4.361529395232052,2024-35-102
539,4,5.105845393494651,2024-36-102
540,7,4.885822040323156,2024-37-102
541,12,5.852655790001388,2024-38-102
542,9,10.109456357620552,2024-39-102
543,13,9.175974099001758,2024-40-102
544,10,12.194153897676538,2024-41-102
545,8,9.458173354864403,2024-42-102
546,7,8.75196774075643,2024-43-102
547,7,7.615428163831085,2024-44-102
548,3,7.182665435623277,2024-45-102
549,5,5.726630560024549,2024-46-102
550,3,4.262598051370487,2024-47-102
551,1,4.585692558829547,2024-48-102
552,1,1.7944674890026715,2024-49-102
553,0,1.0828479910872681,2024-50-102
554,0,0.31088371430781003,2024-51-102
555,0,0.22820791053837056,2024-52-102
808,20,0.7699050252093103,2024-1-103
809,13,16.236445250080422,2024-2-103
810,29,13.751420715029823,2024-3-103
811,10,27.728639336662653,2024-4-103
812,8,9.781661464762143,2024-5-103
813,7,9.05271429075335,2024-6-103
814,6,7.592110160686432,2024-7-103
815,12,6.3059708311360065,2024-8-103
816,10,9.846301306128419,2024-9-103
817,7,9.207614862255264,2024-10-103
818,9,7.596515464693065,2024-11-103
819,5,8.266537855916905,2024-12-103
820,2,6.4890853120141685,2024-13-103
821,1,2.6576366389290382,2024-14-103
822,1,1.8079597751176784,2024-15-103
823,4,0.9743489885791532,2024-16-103
824,6,2.7420825830048354,2024-17-103
825,3,4.316001820497489,2024-18-103
826,3,4.682041028930315,2024-19-103
827,2,4.081355324767773,2024-20-103
828,4,2.386435472779683,2024-21-103
829,9,3.4748958638800707,2024-22-103
830,11,7.189271760217168,2024-23-103
831,9,9.923646911832806,2024-24-103
832,11,9.019058194095733,2024-25-103
833,20,10.218068912160922,2024-26-103
834,10,17.391917037815627,2024-27-103
835,14,9.79432051381876,2024-28-103
836,17,12.748808475365136,2024-29-103
837,33,14.788688804169588,2024-30-103
838,38,32.41200531902106,2024-31-103
839,38,36.815633537520355,2024-32-103
840,38,36.53712568615427,2024-33-103
841,52,35.756189497465776,2024-34-103
842,78,44.99740347253035,2024-35-103
843,80,72.48088171857657,2024-36-103
844,94,76.91361301946512,2024-37-103
845,110,84.15243745596544,2024-38-103
846,114,96.43690490567528,2024-39-103
847,97,98.0865513603847,2024-40-103
848,105,89.82000623988456,2024-41-103
849,70,92.5458800951896,2024-42-103
850,54,73.56527173878257,2024-43-103
851,49,47.83769601717128,2024-44-103
852,31,45.831313006842386,2024-45-103
853,16,35.05014361010472,2024-46-103
854,17,17.73901640265249,2024-47-103
855,9,17.591571434854007,2024-48-103
856,10,9.45310048985451,2024-49-103
857,9,9.031277564844395,2024-50-103
858,1,8.674639234302738,2024-51-103
859,1,2.0322449500526942,2024-52-103
1112,1,1.1980569361419224,2024-1-104
1113,1,1.278072903147159,2024-2-104
1114,0,0.8952683668250252,2024-3-104
1115,0,0.26423355945326216,2024-4-104
1116,1,0.22820791053837056,2024-5-104
1117,0,0.6696768440452365,2024-6-104
1118,0,0.19100648838406137,2024-7-104
1119,1,0.21935088268224284,2024-8-104
1120,0,0.6696768440452365,2024-9-104
1121,4,0.19100648838406137,2024-10-104
1122,0,2.7233844161274634,2024-11-104
1123,0,1.192902798995621,2024-12-104
1124,1,0.6607687440389902,2024-13-104
1125,0,0.753278939044263,2024-14-104
1126,0,0.19100648838406137,2024-15-104
1127,1,0.21935088268224284,2024-16-104
1128,2,0.6696768440452365,2024-17-104
1129,2,0.7858846507176162,2024-18-104
1130,3,1.7291287249899514,2024-19-104
1131,1,3.222433724212808,2024-20-104
1132,2,1.6785320089448255,2024-21-104
1133,2,1.2129651618544188,2024-22-104
1134,3,1.734486363334958,2024-23-104
1135,6,3.222433724212808,2024-24-104
1136,4,3.9267395055424656,2024-25-104
1137,11,4.687642857172373,2024-26-104
1138,8,9.580216454146118,2024-27-104
1139,7,9.092488834077821,2024-28-104
1140,5,7.590024289093758,2024-29-104
1141,4,6.16578382930367,2024-30-104
