,actual,pred,week_canton
200,67,6.521118,2024-1-101
201,68,35.30629,2024-2-101
202,61,42.001366,2024-3-101
203,52,40.96996,2024-4-101
204,48,37.291325,2024-5-101
205,41,39.13434,2024-6-101
206,50,38.450047,2024-7-101
207,26,36.85,2024-8-101
208,32,24.15539,2024-9-101
209,18,30.849531,2024-10-101
210,20,18.22465,2024-11-101
211,13,17.10186,2024-12-101
212,12,14.968433,2024-13-101
213,21,12.580232,2024-14-101
214,15,16.263504,2024-15-101
215,13,15.625715,2024-16-101
216,13,15.570801,2024-17-101
217,11,16.033133,2024-18-101
218,16,13.085901,2024-19-101
219,7,15.304838,2024-20-101
220,18,11.277649,2024-21-101
221,23,16.492804,2024-22-101
222,27,18.805094,2024-23-101
223,27,26.10314,2024-24-101
224,36,30.548828,2024-25-101
225,20,38.35223,2024-26-101
226,46,24.55479,2024-27-101
227,42,51.429314,2024-28-101
228,61,49.153885,2024-29-101
229,89,57.132023,2024-30-101
230,68,77.849625,2024-31-101
231,72,79.66693,2024-32-101
232,175,61.51112,2024-33-101
233,165,148.52138,2024-34-101
234,226,157.42537,2024-35-101
235,197,166.29367,2024-36-101
236,255,157.43172,2024-37-101
237,288,160.19987,2024-38-101
238,276,163.9213,2024-39-101
239,211,167.88052,2024-40-101
240,212,146.1402,2024-41-101
241,193,166.66583,2024-42-101
242,138,154.96393,2024-43-101
243,176,141.80438,2024-44-101
244,156,169.84879,2024-45-101
245,125,171.38252,2024-46-101
246,107,135.98543,2024-47-101
247,132,123.094734,2024-48-101
248,85,154.13847,2024-49-101
249,62,71.975075,2024-50-101
250,50,49.11707,2024-51-101
251,29,28.412266,2024-52-101
504,5,0.50584847,2024-1-102
505,3,2.493955,2024-2-102
506,2,3.3432384,2024-3-102
507,2,2.1309998,2024-4-102
508,0,2.4750464,2024-5-102
509,2,1.3692726,2024-6-102
510,1,1.1521385,2024-7-102
511,0,0.9423088,2024-8-102
512,0,0.76961356,2024-9-102
513,0,1.6478726,2024-10-102
514,2,1.3409452,2024-11-102
515,1,1.193462,2024-12-102
516,0,1.1954548,2024-13-102
517,1,1.0433948,2024-14-102
518,1,1.076428,2024-15-102
519,0,0.9741107,2024-16-102
520,0,0.77878743,2024-17-102
521,0,0.8339949,2024-18-102
522,0,0.3936048,2024-19-102
523,1,0.28778967,2024-20-102
524,0,0.39133096,2024-21-102
525,2,0.3541695,2024-22-102
526,2,1.0929468,2024-23-102
527,2,1.8140529,2024-24-102
528,0,2.0425038,2024-25-102
529,3,1.6639159,2024-26-102
530,2,2.364239,2024-27-102
531,2,2.2613227,2024-28-102
532,1,2.5722308,2024-29-102
533,0,1.8860177,2024-30-102
534,5,1.0691466,2024-31-102
535,3,2.8550515,2024-32-102
536,4,3.3213959,2024-33-102
537,5,3.9530275,2024-34-102
538,5,5.3238807,2024-35-102
539,4,5.46699,2024-36-102
540,7,5.05906,2024-37-102
541,12,6.272635,2024-38-102
542,9,9.627493,2024-39-102
543,13,11.471896,2024-40-102
544,10,13.0781555,2024-41-102
545,8,11.939384,2024-42-102
546,7,10.582375,2024-43-102
547,7,8.718866,2024-44-102
548,3,8.465095,2024-45-102
549,5,6.0700192,2024-46-102
550,3,4.9920764,2024-47-102
551,1,4.6347775,2024-48-102
552,1,2.227223,2024-49-102
553,0,2.0882084,2024-50-102
554,0,0.80844426,2024-51-102
555,0,0.19793658,2024-52-102
808,20,1.8506762,2024-1-103
809,13,11.313783,2024-2-103
810,29,12.847391,2024-3-103
811,10,25.602554,2024-4-103
812,8,10.113727,2024-5-103
813,7,10.944655,2024-6-103
814,6,7.1825895,2024-7-103
815,12,6.9145455,2024-8-103
816,10,8.0920925,2024-9-103
817,7,12.339425,2024-10-103
818,9,8.2169895,2024-11-103
819,5,7.8020287,2024-12-103
820,2,7.185601,2024-13-103
821,1,3.8085659,2024-14-103
822,1,2.6236658,2024-15-103
823,4,1.7154261,2024-16-103
824,6,2.5812585,2024-17-103
825,3,4.9778776,2024-18-103
826,3,3.9020007,2024-19-103
827,2,3.8959115,2024-20-103
828,4,2.8419166,2024-21-103
829,9,4.005496,2024-22-103
830,11,6.7647085,2024-23-103
831,9,10.00551,2024-24-103
832,11,10.165498,2024-25-103
833,20,12.186732,2024-26-103
834,10,15.1713085,2024-27-103
835,14,12.322379,2024-28-103
836,17,14.200243,2024-29-103
837,33,14.164348,2024-30-103
838,38,31.50727,2024-31-103
839,38,37.77367,2024-32-103
840,38,32.250217,2024-33-103
841,52,34.778755,2024-34-103
842,78,44.663822,2024-35-103
843,80,73.22135,2024-36-103
844,94,84.45057,2024-37-103
845,110,108.36261,2024-38-103
846,114,124.24571,2024-39-103
847,97,139.72551,2024-40-103
848,105,118.324776,2024-41-103
849,70,127.282936,2024-42-103
850,54,78.894745,2024-43-103
851,49,50.67799,2024-44-103
852,31,48.102894,2024-45-103
853,16,35.964943,2024-46-103
854,17,25.294788,2024-47-103
855,9,18.973368,2024-48-103
856,10,10.542755,2024-49-103
857,9,7.796921,2024-50-103
858,1,6.4746823,2024-51-103
859,1,2.4237747,2024-52-103
1112,1,1.8128887,2024-1-104
1113,1,1.158263,2024-2-104
1114,0,1.021589,2024-3-104
1115,0,1.0934722,2024-4-104
1116,1,0.59005797,2024-5-104
1117,0,0.7882085,2024-6-104
1118,0,0.44750872,2024-7-104
1119,1,0.54974544,2024-8-104
1120,0,0.6297526,2024-9-104
1121,4,1.5454998,2024-10-104
1122,0,3.5891485,2024-11-104
1123,0,1.5672485,2024-12-104
1124,1,1.815024,2024-13-104
1125,0,1.4536213,2024-14-104
1126,0,0.721519,2024-15-104
1127,1,0.7201474,2024-16-104
1128,2,0.86190355,2024-17-104
1129,2,1.4786227,2024-18-104
1130,3,2.0395148,2024-19-104
1131,1,3.0544734,2024-20-104
1132,2,2.1826057,2024-21-104
1133,2,2.350026,2024-22-104
1134,3,2.0341046,2024-23-104
1135,6,2.7063851,2024-24-104
1136,4,4.4813976,2024-25-104
1137,11,4.74031,2024-26-104
1138,8,9.037908,2024-27-104
1139,7,11.051033,2024-28-104
1140,5,8.516589,2024-29-104
1141,4,7.475165,2024-30-104
1142,6,5.583749,2024-31-104
1143,3,5.8581004,2024-32-104
1144,2,4.710717,2024-33-104
1145,2,3.3923037,2024-34-104
1146,4,3.5279837,2024-35-104
1147,4,3.5554483,2024-36-104
1148,0,4.0463724,2024-37-104
1149,6,2.691817,2024-38-104
1150,5,4.251286,2024-39-104
1151,3,5.209376,2024-40-104
1152,5,4.0753355,2024-41-104
1153,4,5.0788226,2024-42-104
1154,5,4.657232,2024-43-104
1155,1,4.9770308,2024-44-104
1156,3,3.6403568,2024-45-104
1157,1,3.949385,2024-46-104
1158,3,2.7131338,2024-47-104
1159,6,2.5378845,2024-48-104
1160,4,4.0800676,2024-49-104
1161,0,3.5437067,2024-50-104
1162,3,2.2604833,2024-51-104
1163,1,2.655813,2024-52-104
1416,0,0.5656155,2024-1-105
1417,0,0.58178055,2024-2-105
1418,0,0.35414502,2024-3-105
1419,0,0.69834185,2024-4-105
1420,0,0.4590262,2024-5-105
1421,0,0.39950845,2024-6-105
1422,0,0.39950845,2024-7-105
1423,0,0.45421845,2024-8-105
1424,0,0.44328246,2024-9-105
1425,0,1.5007877,2024-10-105
1426,0,1.5138049,2024-11-105
1427,0,0.68709755,2024-12-105
1428,0,0.57003206,2024-13-105
1429,0,0.57003206,2024-14-105
1430,0,0.57003206,2024-15-105
1431,0,0.57003206,2024-16-105
1432,0,0.5744405,2024-17-105
1433,0,0.59777707,2024-18-105
1434,0,0.40520653,2024-19-105
1435,0,0.34832492,2024-20-105
1436,1,0.12092058,2024-21-105
1437,0,0.43117023,2024-22-105
1438,0,0.30997682,2024-23-105
1439,0,0.3086119,2024-24-105
1440,0,0.2411414,2024-25-105
1441,0,0.15761425,2024-26-105
1442,0,0.15761425,2024-27-105
1443,0,0.15761425,2024-28-105
1444,0,0.27112085,2024-29-105
1445,0,0.15761425,2024-30-105
1446,0,0.15761425,2024-31-105
1447,0,0.15761425,2024-32-105
1448,0,0.15761425,2024-33-105
1449,0,0.1515423,2024-34-105
1450,0,0.18768993,2024-35-105
1451,0,0.15761425,2024-36-105
1452,0,0.26940057,2024-37-105
1453,0,0.21994533,2024-38-105
1454,0,0.15589397,2024-39-105
1455,0,0.15589397,2024-40-105
1456,0,0.26940057,2024-41-105
1457,0,0.15589397,2024-42-105
1458,0,0.15423045,2024-43-105
1459,0,0.14982203,2024-44-105
1460,0,0.18771863,2024-45-105
1461,0,0.15764295,2024-46-105
1462,0,0.15764295,2024-47-105
1463,0,0.15710443,2024-48-105
1464,0,0.11512971,2024-49-105
1465,0,0.11512971,2024-50-105
1466,0,0.10920045,2024-51-105
1467,0,0.015011611,2024-52-105
1720,2,1.5963026,2024-1-106
1721,2,1.5860361,2024-2-106
1722,0,1.6114144,2024-3-106
1723,1,1.4777718,2024-4-106
1724,1,1.0408107,2024-5-106
1725,3,0.63667494,2024-6-106
1726,2,1.874958,2024-7-106
1727,1,1.7609761,2024-8-106
1728,0,1.5103152,2024-9-106
1729,1,2.0652733,2024-10-106
1730,2,1.6885393,2024-11-106
1731,1,1.2637302,2024-12-106
1732,1,1.2668566,2024-13-106
1733,1,1.222833,2024-14-106
1734,1,0.98625964,2024-15-106
1735,2,0.99364036,2024-16-106
1736,1,1.3597119,2024-17-106
1737,0,1.3794948,2024-18-106
1738,2,0.8904346,2024-19-106
1739,2,1.3298265,2024-20-106
1740,0,1.4609162,2024-21-106
1741,5,1.103793,2024-22-106
1742,3,2.8279014,2024-23-106
1743,4,3.4984078,2024-24-106
1744,7,3.2890105,2024-25-106
1745,9,4.961205,2024-26-106
1746,9,6.894357,2024-27-106
1747,6,9.005881,2024-28-106
1748,18,8.12616,2024-29-106
1749,9,12.496697,2024-30-106
1750,18,9.613415,2024-31-106
1751,17,15.464804,2024-32-106
1752,12,17.29613,2024-33-106
1753,11,12.19484,2024-34-106
1754,9,13.442271,2024-35-106
1755,7,11.414682,2024-36-106
1756,7,8.168448,2024-37-106
