,actual,pred,week_canton
0,0,2,2024-1-101
1,0,0,2024-2-101
2,0,0,2024-3-101
3,0,0,2024-4-101
4,0,0,2024-5-101
5,0,0,2024-6-101
6,0,0,2024-7-101
7,0,0,2024-8-101
8,0,0,2024-9-101
9,0,0,2024-10-101
10,0,0,2024-11-101
11,0,0,2024-12-101
12,0,0,2024-13-101
13,0,0,2024-14-101
14,0,0,2024-15-101
15,0,0,2024-16-101
16,0,0,2024-17-101
17,0,0,2024-18-101
18,0,0,2024-19-101
19,2,0,2024-20-101
20,0,0,2024-21-101
21,0,0,2024-22-101
22,0,0,2024-23-101
23,0,0,2024-24-101
24,0,0,2024-25-101
25,2,0,2024-26-101
26,0,2,2024-27-101
27,0,2,2024-28-101
28,0,0,2024-29-101
29,0,0,2024-30-101
30,0,0,2024-31-101
31,0,0,2024-32-101
32,0,0,2024-33-101
33,0,0,2024-34-101
34,0,0,2024-35-101
35,0,0,2024-36-101
36,0,0,2024-37-101
37,0,0,2024-38-101
38,0,0,2024-39-101
39,0,0,2024-40-101
40,0,0,2024-41-101
41,0,0,2024-42-101
42,0,0,2024-43-101
43,0,0,2024-44-101
44,0,0,2024-45-101
45,0,0,2024-46-101
46,0,0,2024-47-101
47,0,0,2024-48-101
48,0,0,2024-49-101
49,0,0,2024-50-101
50,0,0,2024-51-101
51,0,0,2024-52-101
52,2,1,2024-1-102
53,2,1,2024-2-102
54,2,1,2024-3-102
55,2,1,2024-4-102
56,1,2,2024-5-102
57,2,2,2024-6-102
58,2,1,2024-7-102
59,1,2,2024-8-102
60,1,1,2024-9-102
61,1,1,2024-10-102
62,0,1,2024-11-102
63,2,1,2024-12-102
64,1,1,2024-13-102
65,2,1,2024-14-102
66,2,1,2024-15-102
67,1,1,2024-16-102
68,1,1,2024-17-102
69,1,1,2024-18-102
70,1,1,2024-19-102
71,2,1,2024-20-102
72,1,1,2024-21-102
73,2,1,2024-22-102
74,2,1,2024-23-102
75,2,1,2024-24-102
76,1,1,2024-25-102
77,2,1,2024-26-102
78,2,2,2024-27-102
79,2,2,2024-28-102
80,2,2,2024-29-102
81,1,2,2024-30-102
82,2,2,2024-31-102
83,2,1,2024-32-102
84,2,2,2024-33-102
85,2,2,2024-34-102
86,2,2,2024-35-102
87,2,2,2024-36-102
88,2,2,2024-37-102
89,0,2,2024-38-102
90,0,2,2024-39-102
91,0,2,2024-40-102
92,0,0,2024-41-102
93,0,0,2024-42-102
94,0,0,2024-43-102
95,0,0,2024-44-102
96,2,0,2024-45-102
97,0,2,2024-46-102
98,0,0,2024-47-102
99,2,0,2024-48-102
100,2,2,2024-49-102
101,1,2,2024-50-102
102,1,2,2024-51-102
103,1,1,2024-52-102
104,0,1,2024-1-103
105,2,1,2024-2-103
106,0,2,2024-3-103
107,2,1,2024-4-103
108,2,2,2024-5-103
109,2,2,2024-6-103
110,2,1,2024-7-103
111,0,2,2024-8-103
112,0,2,2024-9-103
113,0,0,2024-10-103
114,0,0,2024-11-103
115,2,0,2024-12-103
116,2,0,2024-13-103
117,2,2,2024-14-103
118,2,2,2024-15-103
119,2,2,2024-16-103
120,0,2,2024-17-103
121,2,0,2024-18-103
122,2,2,2024-19-103
123,2,0,2024-20-103
124,2,2,2024-21-103
125,2,2,2024-22-103
126,2,2,2024-23-103
127,2,2,2024-24-103
