,actual,pred,week_canton
200,67,66.19185622044284,2024-1-101
201,68,75.47457276762856,2024-2-101
202,61,35.334619488337324,2024-3-101
203,52,-4.338998128748946,2024-4-101
204,48,-25.520985305124047,2024-5-101
205,41,47.27662999736324,2024-6-101
206,50,70.46141192397216,2024-7-101
207,26,66.99242176279141,2024-8-101
208,32,38.91314258228673,2024-9-101
209,18,33.46835119853738,2024-10-101
210,20,28.57163976105884,2024-11-101
211,13,37.78641745414655,2024-12-101
212,12,19.02026381396948,2024-13-101
213,21,21.8481929364369,2024-14-101
214,15,8.880681617534826,2024-15-101
215,13,14.17675277333819,2024-16-101
216,13,7.185478095079713,2024-17-101
217,11,8.883695056192057,2024-18-101
218,16,14.844516940890122,2024-19-101
219,7,15.404970553321824,2024-20-101
220,18,12.327708270098944,2024-21-101
221,23,9.301588187828978,2024-22-101
222,27,7.675200838701224,2024-23-101
223,27,13.316111070769493,2024-24-101
224,36,5.458457464811339,2024-25-101
225,20,15.360050218359058,2024-26-101
226,46,19.365662526948242,2024-27-101
227,42,26.327047461174992,2024-28-101
228,61,23.431421198610305,2024-29-101
229,89,29.75259332628189,2024-30-101
230,68,15.821788622528187,2024-31-101
231,72,36.91327451799038,2024-32-101
232,175,37.18034442374307,2024-33-101
233,165,56.294466001369486,2024-34-101
234,226,76.13894642525163,2024-35-101
235,197,63.905833325935156,2024-36-101
236,255,57.214623709821,2024-37-101
237,288,138.956083408704,2024-38-101
238,276,156.78042196040377,2024-39-101
239,211,205.18760537828027,2024-40-101
240,212,164.78287039148566,2024-41-101
241,193,212.4399297140094,2024-42-101
242,138,234.3282510492846,2024-43-101
243,176,237.25764382888786,2024-44-101
244,156,163.86230902548888,2024-45-101
245,125,140.1143063717651,2024-46-101
246,107,126.70771468354822,2024-47-101
247,132,92.19304762714215,2024-48-101
248,85,115.78150475671207,2024-49-101
249,62,114.33076320843733,2024-50-101
250,50,97.57661282436703,2024-51-101
251,29,62.818856625638986,2024-52-101
504,5,4.552858756585484,2024-1-102
505,3,4.36719411474895,2024-2-102
506,2,3.3504288733112393,2024-3-102
507,2,0.7136182233125101,2024-4-102
508,0,0.35021662556652267,2024-5-102
509,2,6.7964510592219,2024-6-102
510,1,6.052859352872867,2024-7-102
511,0,4.62597931245853,2024-8-102
512,0,2.7099716369049673,2024-9-102
513,0,1.482026785707376,2024-10-102
514,2,2.918431479976599,2024-11-102
515,1,2.7333685187087045,2024-12-102
516,0,1.1007017334751383,2024-13-102
