,actual,pred,week_canton
200,67,57.54018912913416,2024-1-101
201,68,47.19682613123459,2024-2-101
202,61,31.82397494366107,2024-3-101
203,52,16.75338867203435,2024-4-101
204,48,2.68038753824256,2024-5-101
205,41,60.31477888514318,2024-6-101
206,50,71.80590616448141,2024-7-101
207,26,74.45998470173404,2024-8-101
208,32,59.56702953818473,2024-9-101
209,18,57.92258631831169,2024-10-101
210,20,50.07072812122637,2024-11-101
211,13,63.35960416804447,2024-12-101
212,12,23.901722736316113,2024-13-101
213,21,26.505471549983803,2024-14-101
214,15,22.09012307388626,2024-15-101
215,13,22.79490289945751,2024-16-101
216,13,20.89919264151607,2024-17-101
217,11,13.810619842189768,2024-18-101
218,16,22.82668330608837,2024-19-101
219,7,23.2401841000056,2024-20-101
220,18,19.70732332074005,2024-21-101
221,23,21.021918830480114,2024-22-101
222,27,13.56468388992061,2024-23-101
223,27,23.570493211755494,2024-24-101
224,36,10.223175453506567,2024-25-101
225,20,23.003977438065846,2024-26-101
226,46,25.549449779020083,2024-27-101
227,42,37.75944122301484,2024-28-101
228,61,38.59704334004195,2024-29-101
229,89,45.497015925693276,2024-30-101
230,68,22.690581429540007,2024-31-101
231,72,60.70511554321124,2024-32-101
232,175,53.72036231342995,2024-33-101
233,165,75.88932377636726,2024-34-101
234,226,78.65853517043185,2024-35-101
235,197,72.40947828083253,2024-36-101
236,255,67.4567437357636,2024-37-101
237,288,117.23075888917384,2024-38-101
238,276,125.45115281736473,2024-39-101
239,211,123.12123608782292,2024-40-101
240,212,140.87139803439845,2024-41-101
241,193,120.82063335316877,2024-42-101
242,138,127.75452880300536,2024-43-101
243,176,117.84319042293723,2024-44-101
244,156,131.22234606529327,2024-45-101
245,125,133.42243156682625,2024-46-101
246,107,121.50650609035085,2024-47-101
247,132,113.28773970656138,2024-48-101
248,85,125.78117038456554,2024-49-101
249,62,143.4553309703672,2024-50-101
250,50,92.69765620483251,2024-51-101
251,29,77.45209989499133,2024-52-101
504,5,1.8487824393660983,2024-1-102
505,3,2.6629040059801015,2024-2-102
506,2,1.848237098182894,2024-3-102
507,2,1.5248244968798366,2024-4-102
508,0,1.51028490844381,2024-5-102
509,2,6.118087668873593,2024-6-102
510,1,6.3246433808795075,2024-7-102
511,0,3.765570563345762,2024-8-102
512,0,3.1472222294746013,2024-9-102
513,0,1.862231345435716,2024-10-102
514,2,2.6629040059801015,2024-11-102
515,1,1.9419666413491676,2024-12-102
516,0,1.5935933275124285,2024-13-102
517,1,1.51028490844381,2024-14-102
518,1,1.69307857509618,2024-15-102
519,0,2.710452469337075,2024-16-102
520,0,2.017990961897554,2024-17-102
521,0,1.7325422898241043,2024-18-102
522,0,1.7332406004110776,2024-19-102
523,1,1.5738782608731552,2024-20-102
524,0,1.457629547782103,2024-21-102
525,2,1.1909482498561064,2024-22-102
526,2,0.5980004931273565,2024-23-102
527,2,0.4063476447336802,2024-24-102
528,0,0.30733301788055906,2024-25-102
529,3,0.34238009948888204,2024-26-102
530,2,2.065111290277217,2024-27-102
531,2,2.707947883523459,2024-28-102
532,1,2.707947883523459,2024-29-102
533,0,1.3267259699536127,2024-30-102
534,5,5.363580529054094,2024-31-102
535,3,3.243157172143876,2024-32-102
536,4,2.8693993455592506,2024-33-102
537,5,1.3355932012640417,2024-34-102
538,5,0.6327262053622578,2024-35-102
539,4,6.7939986102898215,2024-36-102
540,7,6.780064527631646,2024-37-102
541,12,6.796330011260064,2024-38-102
542,9,7.642872988809611,2024-39-102
543,13,7.519530575411918,2024-40-102
544,10,7.329784343242675,2024-41-102
545,8,9.70327494817597,2024-42-102
546,7,12.261253656794997,2024-43-102
547,7,10.620256103371357,2024-44-102
548,3,17.838947739302224,2024-45-102
549,5,11.699207970160145,2024-46-102
550,3,9.64327964886488,2024-47-102
551,1,9.016784228672206,2024-48-102
552,1,8.761441619195486,2024-49-102
553,0,5.0049112762165935,2024-50-102
554,0,5.626011803942442,2024-51-102
555,0,4.868983373209228,2024-52-102
808,20,15.062103138327718,2024-1-103
809,13,15.535813448399518,2024-2-103
810,29,8.64074733235635,2024-3-103
811,10,3.2265717298501095,2024-4-103
812,8,1.973840409807642,2024-5-103
813,7,18.147690487135034,2024-6-103
814,6,14.673893238324725,2024-7-103
815,12,24.843268278906045,2024-8-103
816,10,12.93324974998332,2024-9-103
817,7,9.112349077252496,2024-10-103
818,9,10.211765828492066,2024-11-103
819,5,8.353039234482377,2024-12-103
820,2,12.483949728678663,2024-13-103
821,1,11.918396650285803,2024-14-103
822,1,9.393698793212437,2024-15-103
823,4,11.470658528712844,2024-16-103
824,6,7.381878758315931,2024-17-103
825,3,4.661699193404682,2024-18-103
826,3,2.3482147185235034,2024-19-103
827,2,1.4599284846315286,2024-20-103
828,4,6.158657077183078,2024-21-103
829,9,8.666727886560931,2024-22-103
830,11,6.430967172716314,2024-23-103
831,9,5.379838542547849,2024-24-103
832,11,4.09362783057603,2024-25-103
833,20,6.033796590752823,2024-26-103
834,10,10.64182460250796,2024-27-103
835,14,12.348595545709934,2024-28-103
836,17,10.920355300759045,2024-29-103
837,33,12.115249052730062,2024-30-103
838,38,21.32295474999088,2024-31-103
839,38,11.599195077263552,2024-32-103
840,38,18.873264817245687,2024-33-103
841,52,20.29017980376839,2024-34-103
842,78,28.814011432496088,2024-35-103
843,80,58.656003153167234,2024-36-103
844,94,49.41638256871082,2024-37-103
845,110,41.57572742267948,2024-38-103
846,114,57.560057869148494,2024-39-103
847,97,84.09125081544475,2024-40-103
848,105,83.64950670650765,2024-41-103
849,70,88.89699620291854,2024-42-103
850,54,93.06390032555167,2024-43-103
851,49,80.77066804797472,2024-44-103
852,31,87.4263387727611,2024-45-103
853,16,85.83984368787195,2024-46-103
854,17,76.4299348357726,2024-47-103
855,9,61.12358237385576,2024-48-103
856,10,62.7537744639452,2024-49-103
857,9,34.13537804820304,2024-50-103
858,1,24.601753155715826,2024-51-103
859,1,21.647680778097733,2024-52-103
1112,1,1.7252581913038723,2024-1-104
1113,1,1.9721780997927463,2024-2-104
1114,0,5.892957380804013,2024-3-104
1115,0,2.532964503463237,2024-4-104
1116,1,3.0472107365160896,2024-5-104
1117,0,2.0626650398597515,2024-6-104
1118,0,1.7410700401145143,2024-7-104
1119,1,1.7180027013880776,2024-8-104
1120,0,1.7252581913038723,2024-9-104
