,actual,pred,week_canton
200,67,28.107847,2024-1-101
201,68,22.802277,2024-2-101
202,61,9.952287,2024-3-101
203,52,2.9826992,2024-4-101
204,48,5.7992063,2024-5-101
205,41,38.094383,2024-6-101
206,50,61.428753,2024-7-101
207,26,46.281807,2024-8-101
208,32,49.73599,2024-9-101
209,18,47.72808,2024-10-101
210,20,38.4969,2024-11-101
211,13,63.676804,2024-12-101
212,12,22.995201,2024-13-101
213,21,6.07736,2024-14-101
214,15,17.504871,2024-15-101
215,13,21.475212,2024-16-101
216,13,20.95795,2024-17-101
217,11,21.521498,2024-18-101
218,16,25.783403,2024-19-101
219,7,30.061508,2024-20-101
220,18,28.088364,2024-21-101
221,23,37.189087,2024-22-101
222,27,22.125973,2024-23-101
223,27,20.074959,2024-24-101
224,36,14.108638,2024-25-101
225,20,21.146032,2024-26-101
226,46,30.393793,2024-27-101
227,42,45.65407,2024-28-101
228,61,48.34554,2024-29-101
229,89,46.83776,2024-30-101
230,68,40.271023,2024-31-101
231,72,77.46338,2024-32-101
232,175,83.70845,2024-33-101
233,165,101.40422,2024-34-101
234,226,95.35522,2024-35-101
235,197,87.99008,2024-36-101
236,255,71.2771,2024-37-101
237,288,108.88859,2024-38-101
238,276,122.17441,2024-39-101
239,211,120.529854,2024-40-101
240,212,170.44278,2024-41-101
241,193,127.32291,2024-42-101
242,138,117.82743,2024-43-101
243,176,117.192764,2024-44-101
244,156,157.74742,2024-45-101
245,125,188.55623,2024-46-101
246,107,107.92279,2024-47-101
247,132,113.19275,2024-48-101
248,85,145.9284,2024-49-101
249,62,182.53601,2024-50-101
250,50,116.63769,2024-51-101
251,29,95.40247,2024-52-101
504,5,-0.11871256,2024-1-102
505,3,0.733247,2024-2-102
506,2,1.7325356,2024-3-102
507,2,0.66367877,2024-4-102
508,0,2.031944,2024-5-102
509,2,3.0064955,2024-6-102
510,1,6.340764,2024-7-102
511,0,1.9105284,2024-8-102
512,0,4.6504593,2024-9-102
513,0,3.0481613,2024-10-102
514,2,3.6699169,2024-11-102
515,1,3.7717736,2024-12-102
516,0,1.6273997,2024-13-102
517,1,4.283831,2024-14-102
518,1,4.6068482,2024-15-102
519,0,3.1912878,2024-16-102
520,0,2.8485353,2024-17-102
521,0,2.435664,2024-18-102
522,0,2.421957,2024-19-102
523,1,1.924761,2024-20-102
524,0,1.9713545,2024-21-102
525,2,2.055264,2024-22-102
526,2,1.0641112,2024-23-102
527,2,0.4064013,2024-24-102
528,0,0.73723024,2024-25-102
529,3,0.47575054,2024-26-102
530,2,1.5791236,2024-27-102
531,2,2.1400115,2024-28-102
532,1,1.9419265,2024-29-102
533,0,1.2300901,2024-30-102
534,5,2.9591517,2024-31-102
535,3,2.9290726,2024-32-102
536,4,2.9900253,2024-33-102
537,5,2.297164,2024-34-102
538,5,0.9504668,2024-35-102
539,4,4.3216214,2024-36-102
540,7,6.923018,2024-37-102
541,12,5.567391,2024-38-102
542,9,8.326367,2024-39-102
543,13,8.323967,2024-40-102
