,actual,pred,week_canton
200,67,-9.323957664556783,2024-1-101
201,68,39.24926016341541,2024-2-101
202,61,58.29713110753594,2024-3-101
203,52,57.33069487304886,2024-4-101
204,48,48.351677935086244,2024-5-101
205,41,46.61239968213373,2024-6-101
206,50,40.40792384208913,2024-7-101
207,26,47.46783300539406,2024-8-101
208,32,24.92348026824306,2024-9-101
209,18,24.60158015874351,2024-10-101
210,20,15.724583186845072,2024-11-101
211,13,14.142723730189324,2024-12-101
212,12,8.787848550677415,2024-13-101
213,21,8.82054336168351,2024-14-101
214,15,13.92773884016804,2024-15-101
215,13,14.03190164469627,2024-16-101
216,13,10.665695737224153,2024-17-101
217,11,11.94755988844111,2024-18-101
218,16,9.360815499075326,2024-19-101
219,7,12.712071901840885,2024-20-101
220,18,7.04984966117331,2024-21-101
221,23,13.713173050261814,2024-22-101
222,27,21.059388352051183,2024-23-101
223,27,25.860571761979802,2024-24-101
224,36,26.212073234093378,2024-25-101
225,20,34.1454992531503,2024-26-101
226,46,22.217893333312787,2024-27-101
227,42,40.0890214014107,2024-28-101
228,61,41.60671214535137,2024-29-101
229,89,56.27737856979162,2024-30-101
230,68,82.111192382082,2024-31-101
231,72,74.21117809858,2024-32-101
232,175,69.66460787741653,2024-33-101
233,165,151.60822175465518,2024-34-101
234,226,166.77781176341873,2024-35-101
235,197,213.51742613835702,2024-36-101
236,255,205.08104465308884,2024-37-101
237,288,240.62228804818432,2024-38-101
238,276,277.79598626789414,2024-39-101
239,211,278.28917056824264,2024-40-101
240,212,214.15716833673105,2024-41-101
241,193,199.07359717566433,2024-42-101
242,138,174.53766201231653,2024-43-101
243,176,129.51139406849612,2024-44-101
244,156,142.54050302000795,2024-45-101
245,125,132.9825106981419,2024-46-101
246,107,106.95401179814577,2024-47-101
247,132,90.92507075058116,2024-48-101
248,85,106.81926189350912,2024-49-101
249,62,75.64193473475477,2024-50-101
250,50,52.57698450772736,2024-51-101
251,29,34.90925686632732,2024-52-101
504,5,0.5854155297956849,2024-1-102
505,3,5.558341242675436,2024-2-102
506,2,4.0471836459446635,2024-3-102
507,2,2.070108532948166,2024-4-102
508,0,2.634344504623063,2024-5-102
509,2,0.8747757601490487,2024-6-102
510,1,2.226642831412161,2024-7-102
511,0,1.7288126413641327,2024-8-102
512,0,-0.31220095392847824,2024-9-102
513,0,0.25044613343768196,2024-10-102
514,2,0.6585545467915206,2024-11-102
515,1,1.3548535311503214,2024-12-102
516,0,0.9774617180100944,2024-13-102
517,1,0.656512559391722,2024-14-102
518,1,0.775201639456093,2024-15-102
519,0,0.737703378615473,2024-16-102
520,0,0.1986142787658811,2024-17-102
521,0,0.4488642363193085,2024-18-102
522,0,-0.40393272249900347,2024-19-102
523,1,-0.7828500972851056,2024-20-102
524,0,-0.2465633726301819,2024-21-102
525,2,0.25406825083342977,2024-22-102
526,2,1.7914425662779248,2024-23-102
527,2,2.3182182320383227,2024-24-102
528,0,1.822793755310468,2024-25-102
529,3,0.6166271570341437,2024-26-102
530,2,1.8605759764617158,2024-27-102
531,2,2.4786745157608276,2024-28-102
532,1,1.898709602250413,2024-29-102
533,0,1.6317279636089435,2024-30-102
534,5,0.4872160255908491,2024-31-102
535,3,4.551583341344282,2024-32-102
536,4,3.900446069087157,2024-33-102
537,5,3.627901940100479,2024-34-102
538,5,4.464035613793017,2024-35-102
539,4,4.61802673736306,2024-36-102
540,7,4.151624481249057,2024-37-102
541,12,7.604063941632477,2024-38-102
542,9,11.53939530098859,2024-39-102
543,13,10.331214404601669,2024-40-102
544,10,13.722225840520018,2024-41-102
545,8,11.807651098652673,2024-42-102
546,7,9.246491220950466,2024-43-102
547,7,7.759517859396613,2024-44-102
548,3,8.304598724680993,2024-45-102
549,5,2.164541482235898,2024-46-102
550,3,4.603303290093773,2024-47-102
551,1,2.5378578510518444,2024-48-102
552,1,0.9404849771190968,2024-49-102
553,0,-0.10653642268245989,2024-50-102
554,0,-1.0172634693784075,2024-51-102
555,0,-0.5482640362968043,2024-52-102
808,20,-3.004218757508878,2024-1-103
809,13,12.948406216941239,2024-2-103
810,29,12.742837684543824,2024-3-103
811,10,24.64725661239827,2024-4-103
812,8,13.516483570592532,2024-5-103
813,7,8.798625620530952,2024-6-103
814,6,7.3460305932091,2024-7-103
815,12,6.466573963513904,2024-8-103
816,10,7.984787153106165,2024-9-103
817,7,10.237822954964749,2024-10-103
818,9,6.216268733381593,2024-11-103
819,5,7.849899854701505,2024-12-103
820,2,5.038251344923378,2024-13-103
821,1,2.275914487020194,2024-14-103
822,1,0.5278542611921346,2024-15-103
823,4,-0.5157365085596259,2024-16-103
824,6,2.2241467570581515,2024-17-103
825,3,5.486211268982585,2024-18-103
826,3,2.8991579570962847,2024-19-103
827,2,2.0110084447524983,2024-20-103
828,4,1.3686427725842707,2024-21-103
829,9,3.6521985102019325,2024-22-103
830,11,8.060617947930929,2024-23-103
831,9,10.848423681992934,2024-24-103
832,11,9.303394612848608,2024-25-103
833,20,10.608267783794854,2024-26-103
834,10,17.346025985993926,2024-27-103
835,14,12.736089695142304,2024-28-103
836,17,12.839618163445108,2024-29-103
837,33,16.134350114177636,2024-30-103
838,38,28.97751922624688,2024-31-103
839,38,37.73659960266516,2024-32-103
840,38,38.856572215618485,2024-33-103
841,52,37.269198792258884,2024-34-103
842,78,48.59605422127828,2024-35-103
843,80,71.35192525888166,2024-36-103
844,94,80.04726632425123,2024-37-103
845,110,91.61679999667636,2024-38-103
846,114,106.57951483598556,2024-39-103
847,97,112.52191734132224,2024-40-103
848,105,100.77613184783402,2024-41-103
849,70,100.98363610331184,2024-42-103
850,54,72.05473725949813,2024-43-103
851,49,49.854764637166674,2024-44-103
852,31,41.35679453261501,2024-45-103
853,16,22.877328074788956,2024-46-103
854,17,7.403491427033396,2024-47-103
855,9,7.605601393615858,2024-48-103
856,10,0.6524902352691662,2024-49-103
857,9,2.6369767495641447,2024-50-103
858,1,3.353639331248485,2024-51-103
859,1,-1.7558794031682914,2024-52-103
1112,1,2.2248993820930023,2024-1-104
1113,1,2.944554652757315,2024-2-104
1114,0,2.374497030738888,2024-3-104
1115,0,0.0843335189317238,2024-4-104
1116,1,0.3987355089496347,2024-5-104
1117,0,1.2156848157736209,2024-6-104
1118,0,1.0242958457808644,2024-7-104
1119,1,0.7798379878331354,2024-8-104
1120,0,1.0114140256613444,2024-9-104
1121,4,0.6221758367332972,2024-10-104
1122,0,3.625765573045924,2024-11-104
1123,0,1.387340417520646,2024-12-104
1124,1,-0.05067547869880151,2024-13-104
1125,0,1.0381137778127698,2024-14-104
1126,0,0.48173417964557874,2024-15-104
1127,1,-0.02263565114549282,2024-16-104
1128,2,0.722971875343839,2024-17-104
1129,2,1.9926363436614345,2024-18-104
1130,3,1.9804652470266593,2024-19-104
1131,1,2.4514402333904854,2024-20-104
1132,2,1.0554483482414914,2024-21-104
1133,2,2.071778906816501,2024-22-104
1134,3,2.1759265215472894,2024-23-104
1135,6,3.0661673550006334,2024-24-104
1136,4,5.247018102101313,2024-25-104
1137,11,4.656273630462384,2024-26-104
1138,8,8.90886493662245,2024-27-104
1139,7,9.39792888674386,2024-28-104
1140,5,7.247212591241743,2024-29-104
1141,4,5.8029686619898175,2024-30-104
1142,6,4.6598921383917205,2024-31-104
1143,3,6.2096552781657035,2024-32-104
1144,2,3.860663400493584,2024-33-104
1145,2,0.8329957300542992,2024-34-104
1146,4,0.9759442264529983,2024-35-104
1147,4,2.647122139691402,2024-36-104
1148,0,3.6279101671981517,2024-37-104
1149,6,2.010770023257497,2024-38-104
1150,5,5.308757360040181,2024-39-104
1151,3,5.711554777746835,2024-40-104
1152,5,5.237652636189019,2024-41-104
1153,4,5.890940630381131,2024-42-104
1154,5,5.155005794027216,2024-43-104
1155,1,5.341142391765219,2024-44-104
1156,3,4.22437560628366,2024-45-104
1157,1,2.504424622894556,2024-46-104
1158,3,3.4110559974685706,2024-47-104
1159,6,3.8754480221331224,2024-48-104
1160,4,5.169203876176417,2024-49-104
1161,0,3.904726940331883,2024-50-104
1162,3,-0.6756158209676784,2024-51-104
1163,1,1.7686908984241576,2024-52-104
1416,0,0.8447528079691287,2024-1-105
1417,0,1.2994441606467857,2024-2-105
1418,0,0.8017080628082489,2024-3-105
1419,0,-0.078197832246377,2024-4-105
1420,0,0.6717656066896507,2024-5-105
1421,0,0.8420732789685372,2024-6-105
1422,0,1.0216399019105387,2024-7-105
1423,0,0.5505733414936955,2024-8-105
1424,0,0.11671456944848657,2024-9-105
1425,0,0.6557624999209248,2024-10-105
1426,0,0.724073410984063,2024-11-105
1427,0,0.32411295552994845,2024-12-105
1428,0,-0.07159650106219706,2024-13-105
1429,0,0.52997293717653,2024-14-105
1430,0,0.16211980715088004,2024-15-105
1431,0,0.0879082585751716,2024-16-105
1432,0,0.06276317314435254,2024-17-105
1433,0,0.5017417008023921,2024-18-105
1434,0,-0.26316551730902793,2024-19-105
1435,0,-0.36004203147071356,2024-20-105
1436,1,-0.35795071693490765,2024-21-105
1437,0,0.9255340322615497,2024-22-105
1438,0,0.8604146932657573,2024-23-105
1439,0,0.9052419668884983,2024-24-105
1440,0,0.38403151707806993,2024-25-105
1441,0,0.2539685069244917,2024-26-105
1442,0,-0.4886871144997049,2024-27-105
1443,0,0.3435402714655318,2024-28-105
1444,0,-0.20989141046426063,2024-29-105
1445,0,0.5764566348466289,2024-30-105
1446,0,0.5361301336965978,2024-31-105
1447,0,1.1840585906547254,2024-32-105
1448,0,0.552033972610189,2024-33-105
1449,0,-0.38244414488197354,2024-34-105
1450,0,-0.10794931882179348,2024-35-105
1451,0,-0.3015360121136026,2024-36-105
1452,0,0.10607196197231072,2024-37-105
1453,0,1.0771370208726183,2024-38-105
1454,0,1.4376624851601811,2024-39-105
1455,0,1.1437625165389962,2024-40-105
1456,0,1.9119899649473378,2024-41-105
1457,0,1.0784023702125474,2024-42-105
1458,0,1.239159575804473,2024-43-105
1459,0,0.7786158976663495,2024-44-105
1460,0,2.2424292299466697,2024-45-105
1461,0,0.0002706613560321536,2024-46-105
1462,0,1.9209318077780018,2024-47-105
1463,0,0.8640196182616231,2024-48-105
1464,0,1.0440206801697696,2024-49-105
1465,0,0.1414612530739987,2024-50-105
1466,0,-1.050328945357188,2024-51-105
1467,0,-0.715247958926545,2024-52-105
1720,2,1.204583375486748,2024-1-106
1721,2,2.9998460555130455,2024-2-106
1722,0,2.7841041904846984,2024-3-106
1723,1,0.2197827010727207,2024-4-106
1724,1,1.3489409642736239,2024-5-106
1725,3,1.6125138105790586,2024-6-106
1726,2,3.111081227666247,2024-7-106
1727,1,2.8514784884703808,2024-8-106
1728,0,1.1653017399601784,2024-9-106
1729,1,0.5758098805431668,2024-10-106
1730,2,1.4809713786829297,2024-11-106
1731,1,1.7717308056232717,2024-12-106
1732,1,0.9932771994442287,2024-13-106
1733,1,1.2494626397799296,2024-14-106
1734,1,1.0183715248518372,2024-15-106
1735,2,0.9624693328244431,2024-16-106
1736,1,1.7385545764493775,2024-17-106
1737,0,1.502333030028917,2024-18-106
1738,2,-0.07573084444448197,2024-19-106
1739,2,0.8288517784275693,2024-20-106
1740,0,1.362102479330508,2024-21-106
1741,5,1.074635714800856,2024-22-106
1742,3,3.9821767557648022,2024-23-106
1743,4,3.6196251173450427,2024-24-106
1744,7,3.6485909964295224,2024-25-106
1745,9,6.220125655783102,2024-26-106
1746,9,8.50681677341647,2024-27-106
1747,6,9.386603463062439,2024-28-106
1748,18,6.861556812853907,2024-29-106
1749,9,15.87677927850186,2024-30-106
1750,18,11.375636020463288,2024-31-106
1751,17,17.211641258827875,2024-32-106
1752,12,17.367419604247615,2024-33-106
1753,11,12.789512291888366,2024-34-106
1754,9,9.713791255173554,2024-35-106
1755,7,8.501876338725902,2024-36-106
1756,7,5.707782806607831,2024-37-106
1757,16,7.016010463622365,2024-38-106
1758,9,13.413739589484175,2024-39-106
1759,9,9.998267419477576,2024-40-106
1760,5,10.026583522500351,2024-41-106
1761,8,6.391893335925944,2024-42-106
1762,4,7.673475063928064,2024-43-106
1763,2,5.227518590087099,2024-44-106
1764,2,4.694433100641082,2024-45-106
1765,0,0.2334566563768954,2024-46-106
1766,1,1.9772259427046879,2024-47-106
1767,0,0.4242111132406712,2024-48-106
1768,0,-0.08115832505349596,2024-49-106
1769,0,-0.990429390894318,2024-50-106
1770,0,-1.3968029450986754,2024-51-106
1771,1,-0.6058838337064585,2024-52-106
2024,1,1.9740622563667147,2024-1-107
2025,3,1.9127039499097462,2024-2-107
2026,3,3.1695395384096905,2024-3-107
2027,2,2.3139730329919916,2024-4-107
2028,2,2.2797716885916244,2024-5-107
2029,3,2.313180751483206,2024-6-107
2030,5,3.3232629659945747,2024-7-107
2031,1,5.5959637474328385,2024-8-107
2032,1,2.1104229473762377,2024-9-107
2033,2,1.3958524144423834,2024-10-107
2034,4,2.2673306752153044,2024-11-107
2035,3,3.6576958725084983,2024-12-107
2036,0,3.078082370479899,2024-13-107
2037,0,1.2390945697497662,2024-14-107
2038,1,-0.18047880483329237,2024-15-107
2039,2,0.5882654333335862,2024-16-107
2040,0,1.7768724392489246,2024-17-107
2041,2,0.938201381499491,2024-18-107
2042,7,1.232334247666792,2024-19-107
2043,3,5.293986655360349,2024-20-107
2044,6,3.5593955214824495,2024-21-107
2045,10,6.122330742789332,2024-22-107
2046,13,9.64195724633992,2024-23-107
2047,7,12.73643682854877,2024-24-107
2048,19,8.330942023640118,2024-25-107
2049,11,16.939281111818545,2024-26-107
2050,9,12.198307541999428,2024-27-107
2051,10,9.78214318867764,2024-28-107
2052,10,9.266956865853237,2024-29-107
2053,8,9.929001812223586,2024-30-107
2054,10,7.428489941362249,2024-31-107
2055,11,10.227018756825183,2024-32-107
2056,18,9.798802378692043,2024-33-107
2057,11,15.633808889499205,2024-34-107
2058,18,12.002267351629046,2024-35-107
2059,18,15.672569383061763,2024-36-107
2060,23,17.4317589651748,2024-37-107
2061,21,22.81153942619869,2024-38-107
2062,24,22.046925597113617,2024-39-107
2063,14,23.666018007476847,2024-40-107
2064,9,16.560860460891284,2024-41-107
2065,3,10.279401385483805,2024-42-107
2066,5,3.3561332891841382,2024-43-107
2067,9,3.8694902058629905,2024-44-107
2068,11,7.3439687316039315,2024-45-107
2069,4,8.72564670801855,2024-46-107
2070,1,5.090924777002553,2024-47-107
2071,4,1.38491726011722,2024-48-107
2072,4,2.8361090012512915,2024-49-107
2073,3,3.5789245919650803,2024-50-107
2074,2,2.0214008272635855,2024-51-107
2075,0,1.8350360628883031,2024-52-107
2328,4,3.2078581136359516,2024-1-108
2329,4,4.953122698457554,2024-2-108
2330,1,4.1595028625232935,2024-3-108
2331,1,0.8548376023890634,2024-4-108
2332,1,1.5811881609425782,2024-5-108
2333,0,1.0751395763550575,2024-6-108
2334,0,0.9120021732424983,2024-7-108
2335,0,0.18879870005808552,2024-8-108
2336,1,-0.34270691114200336,2024-9-108
2337,1,1.02568776391427,2024-10-108
2338,0,1.88692861192773,2024-11-108
2339,0,0.3135249731287586,2024-12-108
2340,0,-0.33978717047237383,2024-13-108
2341,2,0.5654046753596575,2024-14-108
2342,0,1.6004311184534281,2024-15-108
2343,0,0.1366211059801361,2024-16-108
2344,0,-0.0399425944228371,2024-17-108
2345,1,0.36169287638941006,2024-18-108
2346,0,0.4625560741225452,2024-19-108
2347,0,-0.45110186625856485,2024-20-108
2348,0,-1.0780670861062078,2024-21-108
2349,1,-0.1126268809485671,2024-22-108
2350,0,0.7718020579949609,2024-23-108
2351,1,0.41648397260571324,2024-24-108
2352,0,0.8116275138821103,2024-25-108
2353,2,0.3872721276436155,2024-26-108
2354,0,1.1705645245748388,2024-27-108
2355,1,0.9234722456128113,2024-28-108
2356,1,0.58941169411038,2024-29-108
2357,1,1.5788268499392015,2024-30-108
2358,1,1.4653415829695962,2024-31-108
2359,5,2.009474222780015,2024-32-108
2360,3,4.672508125969225,2024-33-108
2361,5,3.364146201089114,2024-34-108
2362,1,4.360016939304095,2024-35-108
2363,2,1.6180122341757002,2024-36-108
2364,2,1.880778981380324,2024-37-108
2365,6,2.761591870889038,2024-38-108
2366,2,6.111306297408056,2024-39-108
2367,1,3.161703243790485,2024-40-108
2368,1,2.816969547112282,2024-41-108
2369,3,1.6539730281879659,2024-42-108
2370,4,3.6307585306658887,2024-43-108
2371,2,4.61991598411256,2024-44-108
2372,2,4.4121271866572656,2024-45-108
2373,1,1.3222098774534425,2024-46-108
2374,2,2.4679081545625574,2024-47-108
2375,2,2.026998485641558,2024-48-108
2376,1,2.526810097200262,2024-49-108
2377,1,1.476811236507858,2024-50-108
2378,0,0.03652690473358966,2024-51-108
2379,0,-0.4996984961182518,2024-52-108
2632,34,-0.7925541796449744,2024-1-109
2633,18,24.567076356429073,2024-2-109
2634,19,20.517574177412907,2024-3-109
2635,15,16.958004991968753,2024-4-109
2636,5,17.463769199106526,2024-5-109
2637,9,6.622334565528012,2024-6-109
2638,7,7.642717379971524,2024-7-109
2639,8,7.63909317618117,2024-8-109
2640,8,4.343541311781271,2024-9-109
2641,5,6.8785876657825895,2024-10-109
2642,6,5.030639930991491,2024-11-109
2643,5,4.320063224150847,2024-12-109
2644,5,4.457470844666668,2024-13-109
2645,3,4.71387055204236,2024-14-109
2646,3,2.8582306116567375,2024-15-109
2647,3,1.9909623766251114,2024-16-109
2648,10,2.1803163583132363,2024-17-109
2649,3,8.486778457489507,2024-18-109
2650,7,4.066807394541005,2024-19-109
2651,10,5.290518393476987,2024-20-109
2652,13,8.089609050062569,2024-21-109
2653,8,12.389193897764436,2024-22-109
2654,22,9.293376883263216,2024-23-109
2655,33,19.344955621517773,2024-24-109
2656,55,30.059137899842206,2024-25-109
2657,61,51.197992018515755,2024-26-109
2658,68,60.45296602501543,2024-27-109
2659,59,68.54020959584956,2024-28-109
2660,96,61.74453438921849,2024-29-109
2661,87,88.83149509527718,2024-30-109
2662,76,88.52753719137914,2024-31-109
2663,78,78.00596198930798,2024-32-109
2664,51,73.85637141012919,2024-33-109
2665,76,51.595885372235394,2024-34-109
2666,83,62.16759084338753,2024-35-109
2667,46,75.39195728636905,2024-36-109
2668,68,46.41860537297513,2024-37-109
2669,61,55.93988219283082,2024-38-109
2670,28,57.05663613094043,2024-39-109
2671,36,28.29792586160293,2024-40-109
2672,25,29.86422773021448,2024-41-109
2673,21,21.239693337884553,2024-42-109
2674,14,14.033684272248891,2024-43-109
2675,16,11.341426278994696,2024-44-109
2676,13,11.627898628064568,2024-45-109
2677,3,7.1643604091063535,2024-46-109
2678,7,3.796234436901399,2024-47-109
2679,7,3.145682337767736,2024-48-109
2680,5,4.698614311719138,2024-49-109
2681,4,3.2353936336206073,2024-50-109
2682,5,2.280190684053305,2024-51-109
2683,2,3.517163860105509,2024-52-109
2936,5,-0.8772797399659349,2024-1-110
2937,6,3.9318118768894625,2024-2-110
2938,6,5.195511147580346,2024-3-110
2939,9,5.4276214208907785,2024-4-110
2940,8,8.44928808877087,2024-5-110
2941,11,8.701938089191506,2024-6-110
2942,2,11.336622738858132,2024-7-110
2943,6,4.66940073618641,2024-8-110
2944,5,4.483488792082014,2024-9-110
2945,3,4.971786899447036,2024-10-110
2946,3,3.6066018654619505,2024-11-110
2947,1,2.027400575064278,2024-12-110
2948,1,0.5260825183342548,2024-13-110
2949,4,0.3200295788077572,2024-14-110
2950,4,3.1285084220638555,2024-15-110
2951,2,3.2892098948701403,2024-16-110
2952,2,2.108090130630901,2024-17-110
2953,3,2.2448957617868115,2024-18-110
2954,1,2.3384579425460115,2024-19-110
2955,2,0.6424111694401464,2024-20-110
2956,3,0.6339513993787564,2024-21-110
2957,6,2.793062192848417,2024-22-110
2958,5,5.266571307268697,2024-23-110
2959,3,5.333214572793333,2024-24-110
2960,7,3.2049524285831765,2024-25-110
2961,6,6.065335080720962,2024-26-110
2962,12,5.634001435955366,2024-27-110
2963,22,10.74372526129796,2024-28-110
2964,27,19.749535756460165,2024-29-110
2965,23,27.084174442192797,2024-30-110
2966,31,24.777356467651575,2024-31-110
2967,52,30.818811924533396,2024-32-110
2968,57,47.75410878897695,2024-33-110
2969,56,56.406683237399236,2024-34-110
2970,67,56.51110036018354,2024-35-110
2971,72,63.852366961970844,2024-36-110
2972,77,69.74322839207255,2024-37-110
2973,93,75.94466655716734,2024-38-110
2974,96,88.70368445421376,2024-39-110
2975,107,93.15759755567852,2024-40-110
2976,71,102.75878711810097,2024-41-110
2977,84,76.86748314326476,2024-42-110
2978,65,76.61716225073376,2024-43-110
2979,64,62.921714249070604,2024-44-110
2980,50,58.01033463192704,2024-45-110
2981,36,42.80366581315599,2024-46-110
2982,50,31.24505976749412,2024-47-110
2983,44,36.312580403876474,2024-48-110
2984,29,38.71256238011081,2024-49-110
2985,26,24.37427457014248,2024-50-110
2986,20,19.647168054340778,2024-51-110
2987,18,15.141263802432682,2024-52-110
3240,1,0.818405439619823,2024-1-111
3241,0,2.233387063712332,2024-2-111
3242,0,0.8443309874225098,2024-3-111
3243,0,-0.5691814497226031,2024-4-111
3244,0,0.6768990878830619,2024-5-111
3245,2,0.3798673413146618,2024-6-111
3246,0,2.5844666722494045,2024-7-111
3247,0,1.1908742171789546,2024-8-111
3248,0,-0.17093817528334743,2024-9-111
3249,0,0.680989531636389,2024-10-111
3250,1,0.9363078543126395,2024-11-111
