,actual,pred,week_canton
200,67,2.2504323455743043,2024-1-101
201,68,45.85615042146366,2024-2-101
202,61,47.2252964021139,2024-3-101
203,52,49.640386850140096,2024-4-101
204,48,39.83291997995843,2024-5-101
205,41,40.578634141415904,2024-6-101
206,50,36.5568595641108,2024-7-101
207,26,39.3150499965299,2024-8-101
208,32,22.39553663587782,2024-9-101
209,18,28.02372751109057,2024-10-101
210,20,17.17048934335825,2024-11-101
211,13,18.390472062614425,2024-12-101
212,12,14.667203682965628,2024-13-101
213,21,10.604324887812378,2024-14-101
214,15,16.675397711199842,2024-15-101
215,13,15.524118635615269,2024-16-101
216,13,13.723981114833178,2024-17-101
217,11,12.929129612182573,2024-18-101
218,16,10.51075196867805,2024-19-101
219,7,13.427342757630273,2024-20-101
220,18,8.140249041350549,2024-21-101
221,23,14.567695982562816,2024-22-101
222,27,19.256716176516015,2024-23-101
223,27,24.469711053172876,2024-24-101
224,36,24.931980467200393,2024-25-101
225,20,35.06869545340814,2024-26-101
226,46,19.11528655489014,2024-27-101
227,42,48.79431346278401,2024-28-101
228,61,43.84837924767355,2024-29-101
229,89,62.95774672383112,2024-30-101
230,68,78.52769280804334,2024-31-101
231,72,70.10269921603688,2024-32-101
232,175,69.93891713863984,2024-33-101
233,165,148.77724640986426,2024-34-101
234,226,149.15155410623947,2024-35-101
235,197,152.68903607443465,2024-36-101
236,255,156.52010817635238,2024-37-101
237,288,153.40530133694992,2024-38-101
238,276,154.64797197187056,2024-39-101
239,211,155.30261898395722,2024-40-101
240,212,161.385767412541,2024-41-101
241,193,160.4061377619628,2024-42-101
242,138,156.27682005026278,2024-43-101
243,176,125.43428896099114,2024-44-101
244,156,159.7923256990258,2024-45-101
245,125,160.99547577117582,2024-46-101
246,107,111.69605712111498,2024-47-101
247,132,99.76085163757354,2024-48-101
248,85,129.31056519230953,2024-49-101
249,62,70.66427883138842,2024-50-101
250,50,56.54382315626667,2024-51-101
251,29,37.36552526591809,2024-52-101
504,5,0.22294795809735607,2024-1-102
505,3,2.8623128245584537,2024-2-102
506,2,4.312048356199273,2024-3-102
507,2,2.6087083886543168,2024-4-102
508,0,2.598331059553671,2024-5-102
