,actual,pred,week_canton
200,67,8.022479,2024-1-101
201,68,36.263752,2024-2-101
202,61,40.259827,2024-3-101
203,52,36.658875,2024-4-101
204,48,36.889935,2024-5-101
205,41,33.309296,2024-6-101
206,50,30.765804,2024-7-101
207,26,38.348137,2024-8-101
208,32,18.419558,2024-9-101
209,18,23.910524,2024-10-101
210,20,15.3500595,2024-11-101
211,13,15.907517,2024-12-101
212,12,12.785955,2024-13-101
213,21,10.991242,2024-14-101
214,15,14.551027,2024-15-101
215,13,14.58306,2024-16-101
216,13,13.968221,2024-17-101
217,11,16.450533,2024-18-101
218,16,11.732643,2024-19-101
219,7,13.592873,2024-20-101
220,18,12.4554,2024-21-101
221,23,14.856883,2024-22-101
222,27,18.064445,2024-23-101
223,27,25.094664,2024-24-101
224,36,25.839745,2024-25-101
225,20,36.85035,2024-26-101
226,46,23.461838,2024-27-101
227,42,50.595047,2024-28-101
228,61,51.203506,2024-29-101
229,89,60.062706,2024-30-101
230,68,81.60219,2024-31-101
231,72,77.9639,2024-32-101
232,175,72.718155,2024-33-101
233,165,143.47725,2024-34-101
234,226,141.44516,2024-35-101
235,197,166.28288,2024-36-101
236,255,144.70494,2024-37-101
237,288,156.28587,2024-38-101
238,276,162.19675,2024-39-101
239,211,168.96284,2024-40-101
240,212,172.39114,2024-41-101
241,193,169.42737,2024-42-101
242,138,146.6712,2024-43-101
243,176,131.48212,2024-44-101
244,156,155.81667,2024-45-101
245,125,173.34618,2024-46-101
246,107,132.3792,2024-47-101
247,132,115.35358,2024-48-101
248,85,133.35213,2024-49-101
249,62,76.453415,2024-50-101
250,50,45.321854,2024-51-101
251,29,30.036379,2024-52-101
504,5,0.62304914,2024-1-102
505,3,1.893273,2024-2-102
506,2,2.5186815,2024-3-102
507,2,3.5555742,2024-4-102
508,0,2.654187,2024-5-102
509,2,1.8446182,2024-6-102
510,1,0.99610287,2024-7-102
511,0,1.4781543,2024-8-102
512,0,2.4313028,2024-9-102
513,0,2.253603,2024-10-102
514,2,0.8512754,2024-11-102
515,1,1.3496772,2024-12-102
516,0,0.97488767,2024-13-102
517,1,0.73304135,2024-14-102
518,1,0.82359165,2024-15-102
519,0,0.67695135,2024-16-102
520,0,0.42313585,2024-17-102
521,0,0.3674382,2024-18-102
522,0,0.24436857,2024-19-102
523,1,0.31378856,2024-20-102
524,0,0.30566335,2024-21-102
525,2,0.33425093,2024-22-102
526,2,1.1921147,2024-23-102
527,2,1.6391613,2024-24-102
528,0,2.1470208,2024-25-102
529,3,1.3778244,2024-26-102
530,2,2.2684002,2024-27-102
531,2,2.1519732,2024-28-102
532,1,2.6987898,2024-29-102
533,0,1.9339126,2024-30-102
534,5,1.3960727,2024-31-102
535,3,3.025943,2024-32-102
536,4,3.4034076,2024-33-102
537,5,4.218198,2024-34-102
538,5,5.700199,2024-35-102
539,4,6.3327413,2024-36-102
540,7,5.0289264,2024-37-102
541,12,6.3111467,2024-38-102
542,9,10.163684,2024-39-102
543,13,11.556511,2024-40-102
544,10,14.566842,2024-41-102
545,8,12.859757,2024-42-102
546,7,10.491938,2024-43-102
547,7,8.704882,2024-44-102
548,3,8.567887,2024-45-102
549,5,5.8666253,2024-46-102
550,3,5.6657233,2024-47-102
551,1,4.1642294,2024-48-102
552,1,3.2265081,2024-49-102
553,0,1.9891442,2024-50-102
554,0,1.1178185,2024-51-102
555,0,0.74440473,2024-52-102
808,20,2.1326742,2024-1-103
809,13,6.8615146,2024-2-103
