,actual,pred,week_canton
200,Medio,Bajo,2024-1-101
201,Medio,Bajo,2024-2-101
202,Medio,Bajo,2024-3-101
203,Medio,Medio,2024-4-101
204,Medio,Medio,2024-5-101
205,Medio,Medio,2024-6-101
206,Medio,Medio,2024-7-101
207,Medio,Medio,2024-8-101
208,Medio,Medio,2024-9-101
209,Medio,Medio,2024-10-101
210,Medio,Medio,2024-11-101
211,Medio,Medio,2024-12-101
212,Medio,Medio,2024-13-101
213,Medio,Medio,2024-14-101
214,Medio,Medio,2024-15-101
215,Medio,Medio,2024-16-101
216,Medio,Medio,2024-17-101
217,Medio,Medio,2024-18-101
218,Medio,Medio,2024-19-101
219,Bajo,Medio,2024-20-101
220,Medio,Bajo,2024-21-101
221,Medio,Medio,2024-22-101
222,Medio,Medio,2024-23-101
223,Medio,Medio,2024-24-101
224,Medio,Medio,2024-25-101
225,Bajo,Medio,2024-26-101
226,Medio,Bajo,2024-27-101
227,Medio,Medio,2024-28-101
228,Medio,Medio,2024-29-101
229,Medio,Medio,2024-30-101
230,Medio,Medio,2024-31-101
231,Medio,Medio,2024-32-101
232,Medio,Medio,2024-33-101
233,Medio,Medio,2024-34-101
234,Alto,Medio,2024-35-101
235,Alto,Medio,2024-36-101
236,Alto,Alto,2024-37-101
237,Alto,Alto,2024-38-101
238,Alto,Alto,2024-39-101
239,Alto,Alto,2024-40-101
240,Alto,Alto,2024-41-101
241,Alto,Alto,2024-42-101
242,Alto,Alto,2024-43-101
243,Alto,Alto,2024-44-101
244,Alto,Alto,2024-45-101
245,Alto,Alto,2024-46-101
246,Alto,Alto,2024-47-101
247,Alto,Alto,2024-48-101
248,Alto,Alto,2024-49-101
249,Alto,Alto,2024-50-101
250,Alto,Alto,2024-51-101
251,Alto,Alto,2024-52-101
504,Bajo,Bajo,2024-1-102
505,Bajo,Bajo,2024-2-102
506,Bajo,Bajo,2024-3-102
507,Bajo,Bajo,2024-4-102
508,Bajo,Bajo,2024-5-102
509,Bajo,Bajo,2024-6-102
510,Bajo,Bajo,2024-7-102
511,Bajo,Bajo,2024-8-102
512,Bajo,Bajo,2024-9-102
513,Bajo,Bajo,2024-10-102
514,Bajo,Bajo,2024-11-102
515,Bajo,Bajo,2024-12-102
516,Bajo,Bajo,2024-13-102
517,Bajo,Bajo,2024-14-102
518,Bajo,Bajo,2024-15-102
519,Bajo,Bajo,2024-16-102
520,Bajo,Bajo,2024-17-102
521,Bajo,Bajo,2024-18-102
522,Bajo,Bajo,2024-19-102
523,Bajo,Bajo,2024-20-102
524,Bajo,Bajo,2024-21-102
525,Bajo,Bajo,2024-22-102
526,Bajo,Bajo,2024-23-102
527,Bajo,Bajo,2024-24-102
528,Bajo,Bajo,2024-25-102
529,Bajo,Bajo,2024-26-102
530,Bajo,Bajo,2024-27-102
531,Bajo,Bajo,2024-28-102
532,Bajo,Bajo,2024-29-102
533,Bajo,Bajo,2024-30-102
534,Bajo,Bajo,2024-31-102
535,Bajo,Bajo,2024-32-102
536,Bajo,Bajo,2024-33-102
537,Bajo,Bajo,2024-34-102
538,Bajo,Bajo,2024-35-102
539,Bajo,Bajo,2024-36-102
540,Bajo,Bajo,2024-37-102
541,Medio,Bajo,2024-38-102
542,Medio,Bajo,2024-39-102
543,Medio,Bajo,2024-40-102
544,Medio,Bajo,2024-41-102
545,Medio,Medio,2024-42-102
546,Medio,Medio,2024-43-102
547,Medio,Medio,2024-44-102
548,Bajo,Medio,2024-45-102
549,Medio,Bajo,2024-46-102
550,Bajo,Medio,2024-47-102
551,Bajo,Bajo,2024-48-102
552,Bajo,Bajo,2024-49-102
553,Bajo,Bajo,2024-50-102
554,Bajo,Bajo,2024-51-102
555,Bajo,Bajo,2024-52-102
808,Bajo,Bajo,2024-1-103
809,Bajo,Bajo,2024-2-103
810,Medio,Bajo,2024-3-103
811,Bajo,Bajo,2024-4-103
812,Bajo,Bajo,2024-5-103
813,Bajo,Bajo,2024-6-103
814,Bajo,Bajo,2024-7-103
815,Medio,Bajo,2024-8-103
816,Medio,Bajo,2024-9-103
817,Bajo,Bajo,2024-10-103
818,Medio,Bajo,2024-11-103
819,Bajo,Bajo,2024-12-103
820,Bajo,Bajo,2024-13-103
821,Bajo,Bajo,2024-14-103
822,Bajo,Bajo,2024-15-103
823,Bajo,Bajo,2024-16-103
824,Bajo,Bajo,2024-17-103
825,Bajo,Bajo,2024-18-103
826,Bajo,Bajo,2024-19-103
827,Bajo,Bajo,2024-20-103
828,Bajo,Bajo,2024-21-103
829,Bajo,Bajo,2024-22-103
830,Bajo,Bajo,2024-23-103
831,Bajo,Bajo,2024-24-103
832,Bajo,Bajo,2024-25-103
833,Bajo,Bajo,2024-26-103
834,Bajo,Bajo,2024-27-103
835,Bajo,Bajo,2024-28-103
836,Bajo,Bajo,2024-29-103
837,Medio,Bajo,2024-30-103
838,Medio,Bajo,2024-31-103
839,Medio,Bajo,2024-32-103
840,Medio,Bajo,2024-33-103
841,Medio,Bajo,2024-34-103
842,Medio,Bajo,2024-35-103
843,Medio,Medio,2024-36-103
844,Medio,Medio,2024-37-103
845,Medio,Medio,2024-38-103
846,Medio,Medio,2024-39-103
847,Medio,Medio,2024-40-103
848,Alto,Medio,2024-41-103
849,Medio,Medio,2024-42-103
850,Medio,Medio,2024-43-103
851,Medio,Medio,2024-44-103
852,Medio,Medio,2024-45-103
853,Medio,Medio,2024-46-103
854,Medio,Medio,2024-47-103
855,Bajo,Medio,2024-48-103
856,Medio,Bajo,2024-49-103
857,Medio,Bajo,2024-50-103
858,Bajo,Bajo,2024-51-103
859,Bajo,Bajo,2024-52-103
1112,Bajo,Bajo,2024-1-104
1113,Bajo,Bajo,2024-2-104
1114,Bajo,Bajo,2024-3-104
1115,Bajo,Bajo,2024-4-104
1116,Bajo,Bajo,2024-5-104
1117,Bajo,Bajo,2024-6-104
1118,Bajo,Bajo,2024-7-104
1119,Bajo,Bajo,2024-8-104
1120,Bajo,Bajo,2024-9-104
1121,Medio,Bajo,2024-10-104
1122,Bajo,Bajo,2024-11-104
1123,Bajo,Bajo,2024-12-104
1124,Medio,Bajo,2024-13-104
1125,Bajo,Bajo,2024-14-104
1126,Bajo,Bajo,2024-15-104
1127,Medio,Bajo,2024-16-104
1128,Medio,Bajo,2024-17-104
1129,Medio,Bajo,2024-18-104
1130,Medio,Medio,2024-19-104
1131,Bajo,Medio,2024-20-104
1132,Medio,Bajo,2024-21-104
1133,Bajo,Medio,2024-22-104
1134,Medio,Bajo,2024-23-104
1135,Medio,Bajo,2024-24-104
1136,Medio,Bajo,2024-25-104
1137,Medio,Medio,2024-26-104
1138,Medio,Medio,2024-27-104
1139,Medio,Medio,2024-28-104
1140,Medio,Medio,2024-29-104
1141,Bajo,Medio,2024-30-104
1142,Medio,Bajo,2024-31-104
1143,Bajo,Medio,2024-32-104
1144,Bajo,Bajo,2024-33-104
1145,Bajo,Bajo,2024-34-104
1146,Bajo,Bajo,2024-35-104
1147,Bajo,Bajo,2024-36-104
1148,Bajo,Bajo,2024-37-104
1149,Medio,Bajo,2024-38-104
1150,Medio,Bajo,2024-39-104
1151,Bajo,Bajo,2024-40-104
1152,Medio,Bajo,2024-41-104
1153,Medio,Bajo,2024-42-104
1154,Medio,Medio,2024-43-104
1155,Bajo,Medio,2024-44-104
1156,Medio,Bajo,2024-45-104
1157,Bajo,Medio,2024-46-104
1158,Medio,Bajo,2024-47-104
1159,Medio,Bajo,2024-48-104
1160,Medio,Bajo,2024-49-104
1161,Bajo,Medio,2024-50-104
1162,Medio,Bajo,2024-51-104
1163,Medio,Medio,2024-52-104
1416,Bajo,Bajo,2024-1-105
1417,Bajo,Bajo,2024-2-105
1418,Bajo,Bajo,2024-3-105
1419,Bajo,Bajo,2024-4-105
1420,Bajo,Bajo,2024-5-105
1421,Bajo,Bajo,2024-6-105
1422,Bajo,Bajo,2024-7-105
1423,Bajo,Bajo,2024-8-105
1424,Bajo,Bajo,2024-9-105
1425,Bajo,Bajo,2024-10-105
1426,Bajo,Bajo,2024-11-105
1427,Bajo,Bajo,2024-12-105
1428,Bajo,Bajo,2024-13-105
1429,Bajo,Bajo,2024-14-105
1430,Bajo,Bajo,2024-15-105
1431,Bajo,Bajo,2024-16-105
1432,Bajo,Bajo,2024-17-105
1433,Bajo,Bajo,2024-18-105
1434,Bajo,Bajo,2024-19-105
1435,Bajo,Bajo,2024-20-105
1436,Medio,Bajo,2024-21-105
1437,Bajo,Bajo,2024-22-105
1438,Bajo,Bajo,2024-23-105
1439,Bajo,Bajo,2024-24-105
1440,Bajo,Bajo,2024-25-105
1441,Bajo,Bajo,2024-26-105
1442,Bajo,Bajo,2024-27-105
1443,Bajo,Bajo,2024-28-105
1444,Bajo,Bajo,2024-29-105
1445,Bajo,Bajo,2024-30-105
1446,Bajo,Bajo,2024-31-105
1447,Bajo,Bajo,2024-32-105
1448,Bajo,Bajo,2024-33-105
1449,Bajo,Bajo,2024-34-105
1450,Bajo,Bajo,2024-35-105
1451,Bajo,Bajo,2024-36-105
1452,Bajo,Bajo,2024-37-105
1453,Bajo,Bajo,2024-38-105
1454,Bajo,Bajo,2024-39-105
1455,Bajo,Bajo,2024-40-105
1456,Bajo,Bajo,2024-41-105
1457,Bajo,Bajo,2024-42-105
1458,Bajo,Bajo,2024-43-105
1459,Bajo,Bajo,2024-44-105
1460,Bajo,Bajo,2024-45-105
1461,Bajo,Bajo,2024-46-105
1462,Bajo,Bajo,2024-47-105
1463,Bajo,Bajo,2024-48-105
1464,Bajo,Bajo,2024-49-105
1465,Bajo,Bajo,2024-50-105
1466,Bajo,Bajo,2024-51-105
1467,Bajo,Bajo,2024-52-105
1720,Bajo,Bajo,2024-1-106
1721,Bajo,Bajo,2024-2-106
1722,Bajo,Bajo,2024-3-106
1723,Bajo,Bajo,2024-4-106
1724,Bajo,Bajo,2024-5-106
1725,Bajo,Bajo,2024-6-106
1726,Bajo,Bajo,2024-7-106
1727,Bajo,Bajo,2024-8-106
1728,Bajo,Bajo,2024-9-106
1729,Bajo,Bajo,2024-10-106
1730,Medio,Bajo,2024-11-106
1731,Bajo,Bajo,2024-12-106
1732,Bajo,Bajo,2024-13-106
1733,Bajo,Bajo,2024-14-106
1734,Bajo,Bajo,2024-15-106
1735,Medio,Bajo,2024-16-106
1736,Bajo,Bajo,2024-17-106
1737,Bajo,Bajo,2024-18-106
1738,Bajo,Bajo,2024-19-106
1739,Bajo,Bajo,2024-20-106
1740,Bajo,Bajo,2024-21-106
1741,Medio,Bajo,2024-22-106
1742,Bajo,Bajo,2024-23-106
1743,Bajo,Bajo,2024-24-106
1744,Medio,Bajo,2024-25-106
1745,Medio,Bajo,2024-26-106
1746,Medio,Bajo,2024-27-106
1747,Medio,Bajo,2024-28-106
1748,Medio,Bajo,2024-29-106
1749,Medio,Medio,2024-30-106
1750,Medio,Medio,2024-31-106
1751,Medio,Medio,2024-32-106
1752,Medio,Medio,2024-33-106
1753,Medio,Medio,2024-34-106
1754,Medio,Medio,2024-35-106
1755,Bajo,Medio,2024-36-106
1756,Bajo,Bajo,2024-37-106
1757,Medio,Bajo,2024-38-106
1758,Medio,Bajo,2024-39-106
1759,Medio,Bajo,2024-40-106
1760,Bajo,Bajo,2024-41-106
1761,Medio,Bajo,2024-42-106
1762,Bajo,Bajo,2024-43-106
1763,Bajo,Bajo,2024-44-106
1764,Bajo,Bajo,2024-45-106
1765,Bajo,Bajo,2024-46-106
1766,Bajo,Bajo,2024-47-106
1767,Bajo,Bajo,2024-48-106
1768,Bajo,Bajo,2024-49-106
1769,Bajo,Bajo,2024-50-106
1770,Bajo,Bajo,2024-51-106
1771,Medio,Bajo,2024-52-106
2024,Bajo,Bajo,2024-1-107
2025,Medio,Bajo,2024-2-107
2026,Medio,Bajo,2024-3-107
2027,Bajo,Medio,2024-4-107
2028,Medio,Bajo,2024-5-107
2029,Medio,Bajo,2024-6-107
2030,Medio,Medio,2024-7-107
2031,Bajo,Medio,2024-8-107
2032,Bajo,Bajo,2024-9-107
2033,Medio,Bajo,2024-10-107
2034,Alto,Bajo,2024-11-107
2035,Medio,Bajo,2024-12-107
2036,Bajo,Medio,2024-13-107
2037,Bajo,Bajo,2024-14-107
2038,Medio,Bajo,2024-15-107
2039,Medio,Bajo,2024-16-107
2040,Bajo,Bajo,2024-17-107
2041,Medio,Bajo,2024-18-107
2042,Alto,Bajo,2024-19-107
2043,Medio,Bajo,2024-20-107
2044,Alto,Medio,2024-21-107
2045,Alto,Alto,2024-22-107
2046,Alto,Alto,2024-23-107
2047,Medio,Alto,2024-24-107
2048,Alto,Alto,2024-25-107
2049,Alto,Alto,2024-26-107
2050,Medio,Alto,2024-27-107
2051,Medio,Alto,2024-28-107
2052,Medio,Medio,2024-29-107
2053,Medio,Medio,2024-30-107
2054,Medio,Medio,2024-31-107
2055,Medio,Medio,2024-32-107
2056,Alto,Medio,2024-33-107
2057,Medio,Medio,2024-34-107
2058,Alto,Medio,2024-35-107
2059,Alto,Alto,2024-36-107
2060,Alto,Alto,2024-37-107
2061,Alto,Alto,2024-38-107
2062,Alto,Alto,2024-39-107
2063,Alto,Alto,2024-40-107
2064,Medio,Alto,2024-41-107
2065,Medio,Alto,2024-42-107
2066,Medio,Medio,2024-43-107
2067,Alto,Medio,2024-44-107
2068,Alto,Alto,2024-45-107
2069,Medio,Alto,2024-46-107
2070,Bajo,Medio,2024-47-107
2071,Medio,Bajo,2024-48-107
