,actual,pred,week_canton
0,2,1,2024-1-101
1,2,2,2024-2-101
2,2,1,2024-3-101
3,2,1,2024-4-101
4,2,2,2024-5-101
5,2,2,2024-6-101
6,2,2,2024-7-101
7,2,1,2024-8-101
8,2,1,2024-9-101
9,2,2,2024-10-101
10,2,2,2024-11-101
11,2,2,2024-12-101
12,2,2,2024-13-101
13,2,2,2024-14-101
14,2,2,2024-15-101
15,2,2,2024-16-101
16,2,2,2024-17-101
17,2,2,2024-18-101
18,2,2,2024-19-101
19,1,2,2024-20-101
20,2,1,2024-21-101
21,2,2,2024-22-101
22,2,1,2024-23-101
23,2,2,2024-24-101
24,2,2,2024-25-101
25,1,2,2024-26-101
26,2,2,2024-27-101
27,2,2,2024-28-101
28,2,2,2024-29-101
29,2,2,2024-30-101
30,2,2,2024-31-101
31,2,2,2024-32-101
32,2,2,2024-33-101
33,2,2,2024-34-101
34,0,2,2024-35-101
35,0,2,2024-36-101
36,0,2,2024-37-101
37,0,0,2024-38-101
38,0,2,2024-39-101
39,0,0,2024-40-101
40,0,0,2024-41-101
41,0,0,2024-42-101
42,0,0,2024-43-101
43,0,0,2024-44-101
44,0,0,2024-45-101
45,0,0,2024-46-101
46,0,0,2024-47-101
47,0,0,2024-48-101
48,0,0,2024-49-101
49,0,0,2024-50-101
50,0,0,2024-51-101
51,0,0,2024-52-101
52,1,1,2024-1-102
53,1,1,2024-2-102
54,1,1,2024-3-102
55,1,1,2024-4-102
56,1,1,2024-5-102
57,1,1,2024-6-102
58,1,1,2024-7-102
59,1,1,2024-8-102
60,1,1,2024-9-102
61,1,1,2024-10-102
62,1,1,2024-11-102
63,1,1,2024-12-102
64,1,1,2024-13-102
65,1,1,2024-14-102
66,1,1,2024-15-102
67,1,1,2024-16-102
68,1,1,2024-17-102
69,1,1,2024-18-102
70,1,1,2024-19-102
71,1,1,2024-20-102
72,1,1,2024-21-102
73,1,1,2024-22-102
74,1,1,2024-23-102
75,1,1,2024-24-102
76,1,1,2024-25-102
77,1,1,2024-26-102
78,1,1,2024-27-102
79,1,1,2024-28-102
80,1,1,2024-29-102
81,1,1,2024-30-102
82,1,1,2024-31-102
83,1,1,2024-32-102
84,1,1,2024-33-102
85,1,1,2024-34-102
86,1,1,2024-35-102
87,1,1,2024-36-102
88,1,1,2024-37-102
89,2,1,2024-38-102
90,2,1,2024-39-102
91,2,1,2024-40-102
92,2,2,2024-41-102
93,2,2,2024-42-102
94,2,2,2024-43-102
95,2,2,2024-44-102
96,1,2,2024-45-102
97,2,2,2024-46-102
98,1,2,2024-47-102
99,1,2,2024-48-102
100,1,1,2024-49-102
101,1,1,2024-50-102
102,1,1,2024-51-102
103,1,1,2024-52-102
104,1,1,2024-1-103
105,1,1,2024-2-103
106,2,1,2024-3-103
107,1,1,2024-4-103
108,1,1,2024-5-103
109,1,1,2024-6-103
110,1,1,2024-7-103
111,2,1,2024-8-103
112,2,1,2024-9-103
113,1,1,2024-10-103
114,2,1,2024-11-103
115,1,1,2024-12-103
116,1,1,2024-13-103
117,1,1,2024-14-103
118,1,1,2024-15-103
119,1,1,2024-16-103
120,1,1,2024-17-103
121,1,1,2024-18-103
122,1,1,2024-19-103
123,1,1,2024-20-103
124,1,1,2024-21-103
125,1,1,2024-22-103
126,1,1,2024-23-103
127,1,1,2024-24-103
128,1,1,2024-25-103
129,1,1,2024-26-103
130,1,1,2024-27-103
131,1,1,2024-28-103
132,1,1,2024-29-103
133,2,1,2024-30-103
134,2,1,2024-31-103
135,2,1,2024-32-103
136,2,1,2024-33-103
137,2,2,2024-34-103
138,2,2,2024-35-103
139,2,2,2024-36-103
140,2,2,2024-37-103
141,2,2,2024-38-103
142,2,2,2024-39-103
143,2,2,2024-40-103
144,0,2,2024-41-103
145,2,2,2024-42-103
146,2,1,2024-43-103
147,2,2,2024-44-103
148,2,2,2024-45-103
149,2,1,2024-46-103
150,2,1,2024-47-103
151,1,2,2024-48-103
152,2,1,2024-49-103
153,2,1,2024-50-103
154,1,1,2024-51-103
155,1,1,2024-52-103
156,1,2,2024-1-104
157,1,1,2024-2-104
158,1,1,2024-3-104
159,1,1,2024-4-104
160,1,1,2024-5-104
161,1,1,2024-6-104
162,1,1,2024-7-104
163,1,1,2024-8-104
164,1,1,2024-9-104
165,2,1,2024-10-104
166,1,1,2024-11-104
167,1,1,2024-12-104
168,2,1,2024-13-104
169,1,1,2024-14-104
170,1,1,2024-15-104
171,2,1,2024-16-104
172,2,1,2024-17-104
173,2,2,2024-18-104
174,2,2,2024-19-104
175,1,2,2024-20-104
176,2,1,2024-21-104
177,1,2,2024-22-104
178,2,1,2024-23-104
179,2,2,2024-24-104
180,2,2,2024-25-104
181,2,2,2024-26-104
182,2,2,2024-27-104
183,2,2,2024-28-104
184,2,2,2024-29-104
185,1,2,2024-30-104
186,2,2,2024-31-104
187,1,2,2024-32-104
188,1,1,2024-33-104
189,1,1,2024-34-104
190,1,1,2024-35-104
191,1,1,2024-36-104
192,1,1,2024-37-104
193,2,1,2024-38-104
194,2,1,2024-39-104
195,1,1,2024-40-104
196,2,1,2024-41-104
197,2,1,2024-42-104
198,2,1,2024-43-104
199,1,1,2024-44-104
200,2,2,2024-45-104
201,1,1,2024-46-104
202,2,1,2024-47-104
203,2,1,2024-48-104
204,2,1,2024-49-104
205,1,2,2024-50-104
206,2,2,2024-51-104
207,2,2,2024-52-104
208,1,1,2024-1-105
209,1,1,2024-2-105
210,1,1,2024-3-105
211,1,1,2024-4-105
212,1,1,2024-5-105
213,1,1,2024-6-105
214,1,1,2024-7-105
215,1,1,2024-8-105
216,1,1,2024-9-105
217,1,1,2024-10-105
218,1,1,2024-11-105
219,1,1,2024-12-105
220,1,1,2024-13-105
221,1,1,2024-14-105
222,1,1,2024-15-105
223,1,1,2024-16-105
224,1,1,2024-17-105
225,1,1,2024-18-105
226,1,1,2024-19-105
227,1,1,2024-20-105
228,2,1,2024-21-105
229,1,1,2024-22-105
230,1,1,2024-23-105
231,1,1,2024-24-105
232,1,1,2024-25-105
233,1,1,2024-26-105
234,1,1,2024-27-105
235,1,1,2024-28-105
236,1,1,2024-29-105
237,1,1,2024-30-105
238,1,1,2024-31-105
239,1,1,2024-32-105
240,1,1,2024-33-105
241,1,1,2024-34-105
242,1,1,2024-35-105
243,1,1,2024-36-105
244,1,1,2024-37-105
245,1,1,2024-38-105
246,1,1,2024-39-105
247,1,1,2024-40-105
248,1,1,2024-41-105
249,1,1,2024-42-105
250,1,1,2024-43-105
251,1,1,2024-44-105
252,1,1,2024-45-105
253,1,1,2024-46-105
254,1,1,2024-47-105
255,1,1,2024-48-105
256,1,1,2024-49-105
257,1,1,2024-50-105
258,1,1,2024-51-105
259,1,1,2024-52-105
260,1,1,2024-1-106
261,1,1,2024-2-106
262,1,1,2024-3-106
263,1,1,2024-4-106
264,1,1,2024-5-106
265,1,1,2024-6-106
266,1,1,2024-7-106
267,1,1,2024-8-106
268,1,1,2024-9-106
269,1,1,2024-10-106
270,2,1,2024-11-106
271,1,1,2024-12-106
272,1,1,2024-13-106
273,1,1,2024-14-106
274,1,1,2024-15-106
275,2,1,2024-16-106
276,1,1,2024-17-106
277,1,1,2024-18-106
278,1,1,2024-19-106
279,1,1,2024-20-106
280,1,1,2024-21-106
281,2,1,2024-22-106
282,1,1,2024-23-106
283,1,1,2024-24-106
284,2,1,2024-25-106
285,2,1,2024-26-106
286,2,1,2024-27-106
287,2,1,2024-28-106
288,2,1,2024-29-106
289,2,2,2024-30-106
290,2,2,2024-31-106
291,2,2,2024-32-106
292,2,2,2024-33-106
293,2,2,2024-34-106
294,2,2,2024-35-106
295,1,2,2024-36-106
296,1,2,2024-37-106
297,2,1,2024-38-106
298,2,1,2024-39-106
299,2,1,2024-40-106
300,1,1,2024-41-106
301,2,1,2024-42-106
302,1,1,2024-43-106
303,1,1,2024-44-106
304,1,1,2024-45-106
305,1,1,2024-46-106
306,1,1,2024-47-106
307,1,1,2024-48-106
308,1,1,2024-49-106
309,1,1,2024-50-106
310,1,1,2024-51-106
311,2,1,2024-52-106
312,1,1,2024-1-107
313,2,1,2024-2-107
314,2,2,2024-3-107
315,1,1,2024-4-107
316,2,1,2024-5-107
317,2,2,2024-6-107
318,2,1,2024-7-107
319,1,1,2024-8-107
320,1,1,2024-9-107
321,2,1,2024-10-107
322,0,2,2024-11-107
323,2,0,2024-12-107
324,1,2,2024-13-107
325,1,1,2024-14-107
326,2,1,2024-15-107
327,2,1,2024-16-107
328,1,2,2024-17-107
329,2,1,2024-18-107
330,0,2,2024-19-107
331,2,0,2024-20-107
332,0,2,2024-21-107
333,0,0,2024-22-107
334,0,0,2024-23-107
335,2,0,2024-24-107
336,0,2,2024-25-107
337,0,0,2024-26-107
338,2,0,2024-27-107
339,2,0,2024-28-107
340,2,2,2024-29-107
341,2,2,2024-30-107
342,2,2,2024-31-107
343,2,2,2024-32-107
344,0,2,2024-33-107
345,2,2,2024-34-107
346,0,2,2024-35-107
347,0,0,2024-36-107
348,0,0,2024-37-107
349,0,0,2024-38-107
350,0,0,2024-39-107
351,0,0,2024-40-107
352,2,0,2024-41-107
353,2,0,2024-42-107
354,2,2,2024-43-107
355,0,2,2024-44-107
356,0,0,2024-45-107
357,2,0,2024-46-107
358,1,2,2024-47-107
359,2,0,2024-48-107
360,2,2,2024-49-107
361,2,2,2024-50-107
362,2,2,2024-51-107
363,1,2,2024-52-107
364,1,1,2024-1-108
365,1,1,2024-2-108
366,1,1,2024-3-108
367,1,1,2024-4-108
368,1,1,2024-5-108
369,1,1,2024-6-108
370,1,1,2024-7-108
371,1,1,2024-8-108
372,1,1,2024-9-108
373,1,1,2024-10-108
374,1,1,2024-11-108
375,1,1,2024-12-108
376,1,1,2024-13-108
377,1,1,2024-14-108
378,1,1,2024-15-108
379,1,1,2024-16-108
380,1,1,2024-17-108
381,1,1,2024-18-108
382,1,1,2024-19-108
383,1,1,2024-20-108
384,1,1,2024-21-108
385,1,1,2024-22-108
386,1,1,2024-23-108
387,1,1,2024-24-108
388,1,1,2024-25-108
389,1,1,2024-26-108
390,1,1,2024-27-108
391,1,1,2024-28-108
392,1,1,2024-29-108
393,1,1,2024-30-108
394,1,1,2024-31-108
395,1,1,2024-32-108
396,1,1,2024-33-108
397,1,1,2024-34-108
398,1,1,2024-35-108
399,1,1,2024-36-108
400,1,1,2024-37-108
401,1,1,2024-38-108
402,1,1,2024-39-108
403,1,1,2024-40-108
404,1,1,2024-41-108
405,1,1,2024-42-108
406,1,1,2024-43-108
407,1,1,2024-44-108
408,1,1,2024-45-108
409,1,1,2024-46-108
410,1,1,2024-47-108
411,1,1,2024-48-108
412,1,1,2024-49-108
413,1,1,2024-50-108
414,1,1,2024-51-108
415,1,1,2024-52-108
416,0,1,2024-1-109
417,2,1,2024-2-109
418,0,1,2024-3-109
419,2,1,2024-4-109
420,2,2,2024-5-109
421,2,2,2024-6-109
422,2,2,2024-7-109
423,2,2,2024-8-109
424,2,2,2024-9-109
425,2,1,2024-10-109
426,2,2,2024-11-109
427,2,2,2024-12-109
428,2,2,2024-13-109
429,2,2,2024-14-109
430,2,1,2024-15-109
431,2,1,2024-16-109
432,0,1,2024-17-109
433,2,2,2024-18-109
434,2,2,2024-19-109
435,0,2,2024-20-109
436,0,2,2024-21-109
437,2,0,2024-22-109
438,0,2,2024-23-109
439,0,0,2024-24-109
440,0,2,2024-25-109
441,0,0,2024-26-109
442,0,0,2024-27-109
443,0,0,2024-28-109
444,0,0,2024-29-109
445,0,0,2024-30-109
446,0,0,2024-31-109
447,0,0,2024-32-109
448,0,0,2024-33-109
449,0,0,2024-34-109
450,0,0,2024-35-109
451,0,0,2024-36-109
452,0,0,2024-37-109
453,0,0,2024-38-109
454,2,0,2024-39-109
455,0,0,2024-40-109
456,0,0,2024-41-109
457,0,0,2024-42-109
458,2,0,2024-43-109
459,2,2,2024-44-109
460,2,2,2024-45-109
461,2,2,2024-46-109
462,2,1,2024-47-109
463,2,2,2024-48-109
464,2,0,2024-49-109
465,2,2,2024-50-109
466,2,2,2024-51-109
467,2,1,2024-52-109
468,1,1,2024-1-110
469,1,1,2024-2-110
470,1,1,2024-3-110
471,2,1,2024-4-110
472,2,1,2024-5-110
473,2,1,2024-6-110
474,1,2,2024-7-110
475,2,1,2024-8-110
476,2,2,2024-9-110
477,1,1,2024-10-110
478,2,1,2024-11-110
479,1,1,2024-12-110
480,1,1,2024-13-110
481,2,1,2024-14-110
482,2,1,2024-15-110
483,1,2,2024-16-110
484,1,1,2024-17-110
485,2,1,2024-18-110
486,1,1,2024-19-110
487,1,1,2024-20-110
488,1,1,2024-21-110
489,2,1,2024-22-110
490,1,1,2024-23-110
491,1,1,2024-24-110
492,1,1,2024-25-110
493,1,1,2024-26-110
494,2,1,2024-27-110
495,2,1,2024-28-110
496,2,1,2024-29-110
497,2,2,2024-30-110
498,2,1,2024-31-110
499,0,2,2024-32-110
500,0,2,2024-33-110
501,0,2,2024-34-110
502,0,2,2024-35-110
503,0,2,2024-36-110
504,0,2,2024-37-110
505,0,0,2024-38-110
506,0,0,2024-39-110
507,0,0,2024-40-110
508,0,0,2024-41-110
509,0,0,2024-42-110
510,0,0,2024-43-110
511,0,0,2024-44-110
512,0,0,2024-45-110
513,0,0,2024-46-110
514,0,0,2024-47-110
515,0,0,2024-48-110
516,0,0,2024-49-110
517,0,0,2024-50-110
518,0,0,2024-51-110
519,0,0,2024-52-110
520,1,1,2024-1-111
521,1,1,2024-2-111
522,1,1,2024-3-111
523,1,1,2024-4-111
524,1,1,2024-5-111
525,1,1,2024-6-111
526,1,1,2024-7-111
527,1,1,2024-8-111
528,1,1,2024-9-111
529,1,1,2024-10-111
530,1,1,2024-11-111
531,1,1,2024-12-111
532,1,1,2024-13-111
533,1,1,2024-14-111
534,1,1,2024-15-111
535,1,1,2024-16-111
536,1,1,2024-17-111
537,1,1,2024-18-111
538,1,1,2024-19-111
539,1,1,2024-20-111
540,1,1,2024-21-111
541,1,1,2024-22-111
542,1,1,2024-23-111
543,1,1,2024-24-111
544,1,1,2024-25-111
545,1,1,2024-26-111
546,1,1,2024-27-111
547,1,1,2024-28-111
548,1,1,2024-29-111
549,1,1,2024-30-111
550,1,1,2024-31-111
551,1,1,2024-32-111
552,1,1,2024-33-111
553,1,1,2024-34-111
554,1,1,2024-35-111
555,1,1,2024-36-111
556,1,1,2024-37-111
557,1,1,2024-38-111
558,1,1,2024-39-111
559,1,1,2024-40-111
560,1,1,2024-41-111
561,1,1,2024-42-111
562,1,1,2024-43-111
563,1,1,2024-44-111
564,1,1,2024-45-111
565,1,1,2024-46-111
566,1,1,2024-47-111
567,1,1,2024-48-111
568,1,1,2024-49-111
569,1,1,2024-50-111
570,1,1,2024-51-111
571,2,1,2024-52-111
572,1,1,2024-1-112
573,1,1,2024-2-112
574,1,1,2024-3-112
575,1,1,2024-4-112
576,1,1,2024-5-112
577,1,1,2024-6-112
578,1,1,2024-7-112
579,1,1,2024-8-112
580,1,1,2024-9-112
581,2,1,2024-10-112
582,1,1,2024-11-112
583,1,1,2024-12-112
584,1,1,2024-13-112
585,1,1,2024-14-112
586,1,1,2024-15-112
587,2,1,2024-16-112
588,2,1,2024-17-112
589,2,1,2024-18-112
590,1,2,2024-19-112
591,1,1,2024-20-112
592,1,1,2024-21-112
593,1,1,2024-22-112
594,1,1,2024-23-112
595,1,1,2024-24-112
596,1,1,2024-25-112
597,1,1,2024-26-112
598,1,1,2024-27-112
599,1,1,2024-28-112
600,1,1,2024-29-112
601,1,1,2024-30-112
602,1,1,2024-31-112
603,1,1,2024-32-112
604,1,1,2024-33-112
605,1,1,2024-34-112
606,1,1,2024-35-112
607,1,1,2024-36-112
608,1,1,2024-37-112
609,1,1,2024-38-112
610,1,1,2024-39-112
611,1,1,2024-40-112
612,1,1,2024-41-112
613,1,1,2024-42-112
614,2,1,2024-43-112
615,1,1,2024-44-112
616,2,1,2024-45-112
617,1,1,2024-46-112
618,1,1,2024-47-112
619,2,1,2024-48-112
620,1,1,2024-49-112
621,0,1,2024-50-112
622,2,1,2024-51-112
623,1,1,2024-52-112
624,2,2,2024-1-113
625,1,1,2024-2-113
626,2,1,2024-3-113
627,1,2,2024-4-113
628,1,2,2024-5-113
629,1,1,2024-6-113
630,1,2,2024-7-113
631,1,1,2024-8-113
632,1,1,2024-9-113
633,1,1,2024-10-113
634,1,1,2024-11-113
635,1,1,2024-12-113
636,1,1,2024-13-113
637,2,1,2024-14-113
638,1,1,2024-15-113
639,1,1,2024-16-113
640,1,1,2024-17-113
641,1,1,2024-18-113
642,1,1,2024-19-113
643,1,1,2024-20-113
644,1,1,2024-21-113
645,1,1,2024-22-113
646,1,1,2024-23-113
647,1,1,2024-24-113
648,1,1,2024-25-113
649,1,1,2024-26-113
650,1,1,2024-27-113
651,1,1,2024-28-113
652,1,1,2024-29-113
653,1,1,2024-30-113
654,1,1,2024-31-113
655,1,1,2024-32-113
656,1,1,2024-33-113
657,2,1,2024-34-113
658,2,1,2024-35-113
659,2,1,2024-36-113
660,2,1,2024-37-113
661,2,2,2024-38-113
662,2,2,2024-39-113
663,2,2,2024-40-113
664,2,2,2024-41-113
665,2,2,2024-42-113
666,2,2,2024-43-113
667,2,2,2024-44-113
668,2,2,2024-45-113
669,2,2,2024-46-113
670,2,2,2024-47-113
671,2,2,2024-48-113
672,2,1,2024-49-113
673,2,2,2024-50-113
674,1,2,2024-51-113
675,2,2,2024-52-113
676,1,1,2024-1-114
677,1,1,2024-2-114
678,1,1,2024-3-114
679,1,1,2024-4-114
680,1,1,2024-5-114
681,1,1,2024-6-114
682,1,1,2024-7-114
683,1,1,2024-8-114
684,1,1,2024-9-114
685,1,1,2024-10-114
686,1,1,2024-11-114
687,1,1,2024-12-114
688,1,1,2024-13-114
689,2,1,2024-14-114
690,1,1,2024-15-114
691,1,1,2024-16-114
692,1,1,2024-17-114
693,1,1,2024-18-114
694,1,1,2024-19-114
695,1,1,2024-20-114
696,2,1,2024-21-114
697,1,1,2024-22-114
698,1,1,2024-23-114
699,1,1,2024-24-114
700,1,1,2024-25-114
701,1,1,2024-26-114
702,1,1,2024-27-114
703,1,1,2024-28-114
704,1,1,2024-29-114
705,1,1,2024-30-114
706,1,1,2024-31-114
707,1,1,2024-32-114
708,1,1,2024-33-114
709,1,1,2024-34-114
710,1,1,2024-35-114
711,1,1,2024-36-114
712,1,1,2024-37-114
713,1,1,2024-38-114
714,1,1,2024-39-114
715,1,1,2024-40-114
716,1,1,2024-41-114
717,1,1,2024-42-114
718,1,1,2024-43-114
719,1,1,2024-44-114
720,1,1,2024-45-114
721,1,1,2024-46-114
722,1,1,2024-47-114
723,1,1,2024-48-114
724,1,1,2024-49-114
725,1,1,2024-50-114
726,1,1,2024-51-114
727,1,1,2024-52-114
728,1,1,2024-1-115
729,1,1,2024-2-115
730,1,1,2024-3-115
731,1,1,2024-4-115
732,1,1,2024-5-115
733,1,1,2024-6-115
734,1,1,2024-7-115
735,1,1,2024-8-115
736,1,1,2024-9-115
737,1,1,2024-10-115
738,1,1,2024-11-115
739,1,1,2024-12-115
740,2,1,2024-13-115
741,1,1,2024-14-115
742,2,1,2024-15-115
743,1,1,2024-16-115
744,1,1,2024-17-115
745,1,1,2024-18-115
746,1,1,2024-19-115
747,2,1,2024-20-115
748,1,2,2024-21-115
749,1,1,2024-22-115
750,1,1,2024-23-115
751,1,1,2024-24-115
752,1,1,2024-25-115
753,1,1,2024-26-115
754,1,1,2024-27-115
755,1,1,2024-28-115
756,1,1,2024-29-115
757,1,1,2024-30-115
758,1,1,2024-31-115
759,1,1,2024-32-115
760,1,1,2024-33-115
761,1,1,2024-34-115
762,1,1,2024-35-115
763,1,1,2024-36-115
764,1,1,2024-37-115
765,1,1,2024-38-115
766,1,1,2024-39-115
767,1,1,2024-40-115
768,1,1,2024-41-115
769,1,1,2024-42-115
770,1,1,2024-43-115
771,1,1,2024-44-115
772,1,1,2024-45-115
773,1,1,2024-46-115
774,1,1,2024-47-115
775,2,1,2024-48-115
776,1,1,2024-49-115
777,1,1,2024-50-115
778,1,1,2024-51-115
779,1,1,2024-52-115
780,1,1,2024-1-116
781,1,1,2024-2-116
782,1,1,2024-3-116
783,1,1,2024-4-116
784,1,1,2024-5-116
785,1,1,2024-6-116
786,1,1,2024-7-116
787,1,1,2024-8-116
788,1,1,2024-9-116
789,1,1,2024-10-116
790,1,1,2024-11-116
791,1,1,2024-12-116
792,1,1,2024-13-116
793,1,1,2024-14-116
794,1,1,2024-15-116
795,1,1,2024-16-116
796,1,1,2024-17-116
797,1,1,2024-18-116
798,1,1,2024-19-116
799,1,1,2024-20-116
800,1,1,2024-21-116
801,2,1,2024-22-116
802,1,1,2024-23-116
803,1,1,2024-24-116
804,1,1,2024-25-116
805,1,1,2024-26-116
806,2,1,2024-27-116
807,1,1,2024-28-116
808,1,1,2024-29-116
809,2,1,2024-30-116
810,1,1,2024-31-116
811,2,1,2024-32-116
812,1,2,2024-33-116
813,2,1,2024-34-116
814,2,1,2024-35-116
815,1,2,2024-36-116
816,1,2,2024-37-116
817,2,1,2024-38-116
818,1,1,2024-39-116
819,2,1,2024-40-116
820,0,1,2024-41-116
821,0,1,2024-42-116
822,2,2,2024-43-116
823,2,2,2024-44-116
824,1,0,2024-45-116
825,0,1,2024-46-116
826,0,2,2024-47-116
827,2,0,2024-48-116
828,1,2,2024-49-116
829,0,2,2024-50-116
830,1,2,2024-51-116
831,1,1,2024-52-116
832,1,1,2024-1-117
833,1,1,2024-2-117
834,1,1,2024-3-117
835,1,1,2024-4-117
836,1,1,2024-5-117
837,1,1,2024-6-117
838,1,1,2024-7-117
839,1,1,2024-8-117
840,1,1,2024-9-117
841,1,1,2024-10-117
842,1,1,2024-11-117
843,1,1,2024-12-117
844,1,1,2024-13-117
845,1,1,2024-14-117
846,1,1,2024-15-117
847,1,1,2024-16-117
848,1,1,2024-17-117
849,1,1,2024-18-117
850,1,1,2024-19-117
851,1,1,2024-20-117
852,1,1,2024-21-117
853,1,1,2024-22-117
854,1,1,2024-23-117
855,1,1,2024-24-117
856,1,1,2024-25-117
857,1,1,2024-26-117
858,1,1,2024-27-117
859,1,1,2024-28-117
860,1,1,2024-29-117
861,1,1,2024-30-117
862,1,1,2024-31-117
863,1,1,2024-32-117
864,1,1,2024-33-117
865,1,1,2024-34-117
866,1,1,2024-35-117
867,1,1,2024-36-117
868,1,1,2024-37-117
869,1,1,2024-38-117
870,1,1,2024-39-117
871,1,1,2024-40-117
872,1,1,2024-41-117
873,1,1,2024-42-117
874,1,1,2024-43-117
875,1,1,2024-44-117
876,1,1,2024-45-117
