,actual,pred,week_canton
200,1.1595700118871033,0.5461885,2024-1-101
201,1.3602308502111995,0.95300627,2024-2-101
202,1.393506002624767,0.99261326,2024-3-101
203,1.2106315348727243,1.2817312,2024-4-101
204,1.2397659514404118,1.1521796,2024-5-101
205,1.2694818056791637,1.2879603,2024-6-101
206,1.7394578453108842,1.2663771,2024-7-101
207,0.9520540125921404,1.4219037,2024-8-101
208,1.3786103036617974,1.0667677,2024-9-101
209,0.9155302537138748,1.141501,2024-10-101
210,1.1444713717320594,1.0150571,2024-11-101
211,0.8002091539691445,0.9113761,2024-12-101
212,0.9932699866388288,0.8969453,2024-13-101
213,1.2456725203565098,0.9526887,2024-14-101
214,1.0222486542402756,1.0611075,2024-15-101
215,0.8901342862114209,0.95851535,2024-16-101
216,0.8860394147163677,0.83049566,2024-17-101
217,0.726122768479126,0.8582666,2024-18-101
218,0.8227495588068642,0.63292426,2024-19-101
219,0.3677126408624275,0.7659999,2024-20-101
220,0.7267796982193242,0.4409068,2024-21-101
221,0.6908234983550421,0.6117351,2024-22-101
222,0.6222829659405439,0.6138183,2024-23-101
223,0.6136312763744666,0.5741642,2024-24-101
224,0.6688844578200739,0.5792055,2024-25-101
225,0.4022075702881277,0.63461125,2024-26-101
226,0.917572117953904,0.5482533,2024-27-101
227,0.8060232822177731,0.7431266,2024-28-101
228,0.8437961909060656,0.7448375,2024-29-101
229,1.3102862742550816,0.6794953,2024-30-101
230,0.9551374349373148,1.0016514,2024-31-101
231,0.9686912510412942,0.8245853,2024-32-101
232,2.405331456139684,0.85668236,2024-33-101
233,2.1098119479725743,1.4924139,2024-34-101
234,2.897527403619976,1.8078278,2024-35-101
235,2.860960769631084,2.3505905,2024-36-101
236,3.457019900764394,2.311052,2024-37-101
237,3.715719224414356,2.7158642,2024-38-101
238,4.000933555698498,3.703131,2024-39-101
239,3.4625783225570745,2.757689,2024-40-101
240,3.729463629320369,2.9069452,2024-41-101
241,4.0744684904679245,3.5511482,2024-42-101
242,3.4613344870659564,3.5991323,2024-43-101
243,4.437434127082788,3.1641378,2024-44-101
244,4.72005412955498,3.744011,2024-45-101
245,4.904835092979193,4.4724708,2024-46-101
246,3.8583111232614167,4.182007,2024-47-101
247,5.05830377747833,4.0757475,2024-48-101
248,3.898706732133284,5.555781,2024-49-101
249,3.1381028934979853,4.2110653,2024-50-101
250,3.580234678489147,3.5863605,2024-51-101
251,3.3000878394404163,3.72831,2024-52-101
504,0.4303084494898565,0.06870891,2024-1-102
505,0.2984000481149812,0.05852432,2024-2-102
506,0.2271795119386042,0.03280402,2024-3-102
507,0.2315181404214686,0.07309732,2024-4-102
508,0.0,0.079564124,2024-5-102
509,0.3078870933833353,0.1339086,2024-6-102
510,0.1729613264172646,0.13847463,2024-7-102
511,0.0,0.12717332,2024-8-102
512,0.0,0.2618191,2024-9-102
513,0.0,0.1586234,2024-10-102
514,0.5689249943017157,0.13833553,2024-11-102
515,0.305982432180313,0.2705697,2024-12-102
516,0.0,0.10215628,2024-13-102
517,0.2948447663450736,0.17990516,2024-14-102
518,0.3387352378018072,0.19596961,2024-15-102
519,0.0,0.16207461,2024-16-102
520,0.0,0.13802174,2024-17-102
521,0.0,0.15548019,2024-18-102
522,0.0,0.1951422,2024-19-102
523,0.2610579447697203,0.22114088,2024-20-102
524,0.0,0.025918206,2024-21-102
525,0.2985163976770325,0.14600904,2024-22-102
526,0.2290547732113247,0.14875995,2024-23-102
527,0.2258630526526608,0.07707973,2024-24-102
528,0.0,0.09323925,2024-25-102
529,0.2997681766795776,0.15632169,2024-26-102
530,0.1982179708786824,0.10400243,2024-27-102
531,0.1906977524388611,0.19830993,2024-28-102
532,0.0687245078626234,0.13038841,2024-29-102
533,0.0,0.18069798,2024-30-102
534,0.3489025452447098,0.15733796,2024-31-102
535,0.2005108834601434,0.1672214,2024-32-102
536,0.2731161148510016,0.08759697,2024-33-102
537,0.3175900583483381,0.1681214,2024-34-102
538,0.3184291735273319,0.18973385,2024-35-102
539,0.2885466542193838,0.19071984,2024-36-102
540,0.4713643777544432,0.1311178,2024-37-102
541,0.768980475709619,0.07994895,2024-38-102
542,0.6479851897471736,0.5308285,2024-39-102
543,1.0595402656071389,0.15093026,2024-40-102
544,0.8736834912468082,0.76244926,2024-41-102
545,0.8387526569768913,0.7144532,2024-42-102
546,0.8719256329004246,0.7704196,2024-43-102
547,0.8764373356671942,0.6685258,2024-44-102
548,0.4507480664440057,0.72389805,2024-45-102
549,0.9742295507059144,0.51585025,2024-46-102
550,0.5371533401510818,0.8076927,2024-47-102
551,0.1902747667665432,0.56775445,2024-48-102
552,0.2277395873941433,0.45708114,2024-49-102
553,0.0,0.37506172,2024-50-102
554,0.0,0.3758846,2024-51-102
555,0.0,0.2967499,2024-52-102
808,0.4997522565646985,0.21358459,2024-1-103
809,0.3754378287837711,0.23729357,2024-2-103
810,0.9564369633755267,0.18752754,2024-3-103
811,0.336106074221221,0.4090642,2024-4-103
812,0.2982940261320621,0.22992682,2024-5-103
813,0.3128852903790725,0.26569307,2024-6-103
814,0.3013200414998614,0.24086395,2024-7-103
815,0.6342941906445481,0.24528861,2024-8-103
816,0.6218722464310431,0.46659854,2024-9-103
