"","tipo","canton","dia","mes_annio","fecha","week","ID"
"1","Fumigación","Alajuela",NA,"2024-02",NA,"2024-NA",201
"2","Fumigación","Alajuela",NA,"2024-03",NA,"2024-NA",201
"3","Fumigación","Alajuelita",NA,"2024-02",NA,"2024-NA",110
"4","Fumigación","Alajuelita",NA,"2024-03",NA,"2024-NA",110
"5","Fumigación","San Jose",NA,"2024-02",NA,"2024-NA",101
"6","Fumigación","San Jose",NA,"2024-03",NA,"2024-NA",101
"7","Fumigación","Alajuela",NA,"2024-02",NA,"2024-NA",201
"8","Fumigación","Alajuela",NA,"2024-03",NA,"2024-NA",201
"9","Fumigación","San Jose",NA,"2024-02",NA,"2024-NA",101
"10","Fumigación","San Jose",NA,"2024-03",NA,"2024-NA",101
"11","Fumigación","Desamparados",NA,"2024-02",NA,"2024-NA",103
"12","Fumigación","Desamparados",NA,"2024-03",NA,"2024-NA",103
"13","Fumigación","Santa Ana",NA,"2024-02",NA,"2024-NA",109
"14","Fumigación","Santa Ana",NA,"2024-03",NA,"2024-NA",109
"15","Fumigación","Alajuela","11","2024-03",2024-03-11,"2024-11",201
"16","Fumigación","Alajuela","12","2024-03",2024-03-12,"2024-11",201
"17","Fumigación","Alajuela",NA,"2024-03",NA,"2024-NA",201
"18","Fumigación","Alajuela",NA,"2024-03",NA,"2024-NA",201
"19","Fumigación","Alajuelita","11","2024-03",2024-03-11,"2024-11",110
"20","Fumigación","Alajuelita","12","2024-03",2024-03-12,"2024-11",110
"21","Fumigación","Alajuelita",NA,"2024-03",NA,"2024-NA",110
"22","Fumigación","Alajuelita",NA,"2024-03",NA,"2024-NA",110
"23","Fumigación","San Jose","11","2024-03",2024-03-11,"2024-11",101
"24","Fumigación","San Jose","12","2024-03",2024-03-12,"2024-11",101
"25","Fumigación","San Jose",NA,"2024-03",NA,"2024-NA",101
"26","Fumigación","San Jose",NA,"2024-03",NA,"2024-NA",101
"27","Fumigación","Alajuela","11","2024-03",2024-03-11,"2024-11",201
"28","Fumigación","Alajuela","12","2024-03",2024-03-12,"2024-11",201
"29","Fumigación","Alajuela",NA,"2024-03",NA,"2024-NA",201
"30","Fumigación","Alajuela",NA,"2024-03",NA,"2024-NA",201
"31","Fumigación","Alajuela","11","2024-03",2024-03-11,"2024-11",201
"32","Fumigación","Alajuela","12","2024-03",2024-03-12,"2024-11",201
"33","Fumigación","Alajuela",NA,"2024-03",NA,"2024-NA",201
"34","Fumigación","Alajuela",NA,"2024-03",NA,"2024-NA",201
"35","Fumigación","Turrialba","07","2024-10",2024-10-07,"2024-41",305
"36","Fumigación","Turrialba","08","2024-10",2024-10-08,"2024-41",305
"37","Fumigación","Turrialba","09","2024-10",2024-10-09,"2024-41",305
"38","Fumigación","Turrialba","10","2024-10",2024-10-10,"2024-41",305
"39","Fumigación","Turrialba","11","2024-10",2024-10-11,"2024-41",305
"40","Fumigación","Turrialba","12","2024-10",2024-10-12,"2024-41",305
"41","Fumigación","Alajuela","07","2024-10",2024-10-07,"2024-41",201
"42","Fumigación","Alajuela","08","2024-10",2024-10-08,"2024-41",201
"43","Fumigación","Alajuela","09","2024-10",2024-10-09,"2024-41",201
"44","Fumigación","Alajuela","10","2024-10",2024-10-10,"2024-41",201
"45","Fumigación","Alajuela","11","2024-10",2024-10-11,"2024-41",201
"46","Fumigación","Alajuela","12","2024-10",2024-10-12,"2024-41",201
"47","Fumigación","Atenas","07","2024-10",2024-10-07,"2024-41",205
"48","Fumigación","Atenas","08","2024-10",2024-10-08,"2024-41",205
"49","Fumigación","Atenas","09","2024-10",2024-10-09,"2024-41",205
"50","Fumigación","Atenas","10","2024-10",2024-10-10,"2024-41",205
"51","Fumigación","Atenas","11","2024-10",2024-10-11,"2024-41",205
"52","Fumigación","Atenas","12","2024-10",2024-10-12,"2024-41",205
"53","Fumigación","Grecia","07","2024-10",2024-10-07,"2024-41",203
"54","Fumigación","Grecia","08","2024-10",2024-10-08,"2024-41",203
"55","Fumigación","Grecia","09","2024-10",2024-10-09,"2024-41",203
"56","Fumigación","Grecia","10","2024-10",2024-10-10,"2024-41",203
"57","Fumigación","Grecia","11","2024-10",2024-10-11,"2024-41",203
"58","Fumigación","Grecia","12","2024-10",2024-10-12,"2024-41",203
"59","Fumigación","Desamparados","07","2024-10",2024-10-07,"2024-41",103
"60","Fumigación","Desamparados","08","2024-10",2024-10-08,"2024-41",103
"61","Fumigación","Desamparados","09","2024-10",2024-10-09,"2024-41",103
"62","Fumigación","Desamparados","10","2024-10",2024-10-10,"2024-41",103
"63","Fumigación","Desamparados","11","2024-10",2024-10-11,"2024-41",103
"64","Fumigación","Desamparados","12","2024-10",2024-10-12,"2024-41",103
"65","Fumigación","Hatillos","07","2024-10",2024-10-07,"2024-41",NA
"66","Fumigación","Hatillos","08","2024-10",2024-10-08,"2024-41",NA
"67","Fumigación","Hatillos","09","2024-10",2024-10-09,"2024-41",NA
"68","Fumigación","Hatillos","10","2024-10",2024-10-10,"2024-41",NA
"69","Fumigación","Hatillos","11","2024-10",2024-10-11,"2024-41",NA
"70","Fumigación","Hatillos","12","2024-10",2024-10-12,"2024-41",NA
"71","Fumigación","San Sebastián","07","2024-10",2024-10-07,"2024-41",NA
"72","Fumigación","San Sebastián","08","2024-10",2024-10-08,"2024-41",NA
"73","Fumigación","San Sebastián","09","2024-10",2024-10-09,"2024-41",NA
"74","Fumigación","San Sebastián","10","2024-10",2024-10-10,"2024-41",NA
"75","Fumigación","San Sebastián","11","2024-10",2024-10-11,"2024-41",NA
"76","Fumigación","San Sebastián","12","2024-10",2024-10-12,"2024-41",NA
"77","Fumigación","Sureste Metropolitana","07","2024-10",2024-10-07,"2024-41",NA
"78","Fumigación","Sureste Metropolitana","08","2024-10",2024-10-08,"2024-41",NA
"79","Fumigación","Sureste Metropolitana","09","2024-10",2024-10-09,"2024-41",NA
"80","Fumigación","Sureste Metropolitana","10","2024-10",2024-10-10,"2024-41",NA
"81","Fumigación","Sureste Metropolitana","11","2024-10",2024-10-11,"2024-41",NA
"82","Fumigación","Sureste Metropolitana","12","2024-10",2024-10-12,"2024-41",NA
"83","Fumigación","Santa Ana","07","2024-10",2024-10-07,"2024-41",109
"84","Fumigación","Santa Ana","08","2024-10",2024-10-08,"2024-41",109
"85","Fumigación","Santa Ana","09","2024-10",2024-10-09,"2024-41",109
"86","Fumigación","Santa Ana","10","2024-10",2024-10-10,"2024-41",109
"87","Fumigación","Santa Ana","11","2024-10",2024-10-11,"2024-41",109
"88","Fumigación","Santa Ana","12","2024-10",2024-10-12,"2024-41",109
"89","Recolección de llantas","Moravia",NA,"2025-11",NA,"2025-NA",114
"90","Recolección de llantas","Goicoechea",NA,"2025-11",NA,"2025-NA",108
"91","Recolección de llantas","Santa Ana",NA,"2025-11",NA,"2025-NA",109
"92","Recolección de llantas","Santa Ana",NA,"2025-11",NA,"2025-NA",109
"93","Recolección de llantas","Santa Ana",NA,"2025-11",NA,"2025-NA",109
"94","Recolección de llantas","Santa Ana",NA,"2025-11",NA,"2025-NA",109
"95","Recolección de llantas","Santo Domingo","10","2025-11",2025-11-10,"2025-46",403
"96","Recolección de llantas","Santo Domingo","11","2025-11",2025-11-11,"2025-46",403
"97","Recolección de llantas","Santo Domingo","12","2025-11",2025-11-12,"2025-46",403
"98","Recolección de llantas","Santo Domingo",NA,"2025-11",NA,"2025-NA",403
"99","Recolección de llantas","Santo Domingo",NA,"2025-11",NA,"2025-NA",403
"100","Recolección de llantas","Santo Domingo",NA,"2025-11",NA,"2025-NA",403
"101","Recolección de llantas","Santo Domingo","04","2025-11",2025-11-04,"2025-45",403
"102","Recolección de llantas","Santo Domingo","05","2025-11",2025-11-05,"2025-45",403
"103","Recolección de llantas","Talamanca",NA,"2025-10",NA,"2025-NA",704
"104","Recolección de llantas","Talamanca",NA,"2025-10",NA,"2025-NA",704
"105","Recolección de llantas","Talamanca",NA,"2025-10",NA,"2025-NA",704
"106","Recolección de llantas","Corredores",NA,"2025-09",NA,"2025-NA",610
"107","Recolección de llantas","Corredores",NA,"2025-09",NA,"2025-NA",610
"108","Recolección de llantas","Cartago",NA,"2025-08",NA,"2025-NA",301
"109","Recolección de llantas","Golfito","08","2025-08",2025-08-08,"2025-32",607
"110","Recolección de llantas","Golfito","06","2025-08",2025-08-06,"2025-32",607
"111","Recolección de llantas","San Ramón",NA,"2025-07",NA,"2025-NA",202
"112","Recolección de llantas","Curridabat",NA,"2025-07",NA,"2025-NA",118
"113","Recolección de llantas","Desamparados","09","2025-07",2025-07-09,"2025-28",103
"114","Recolección de llantas","Carrillo","01","2025-07",2025-07-01,"2025-27",505
"115","Recolección de llantas","Carrillo","02","2025-07",2025-07-02,"2025-27",505
"116","Recolección de llantas","Carrillo",NA,"2025-06",NA,"2025-NA",505
"117","Recolección de llantas","Abangares ",NA,"2025-06",NA,"2025-NA",NA
"118","Recolección de llantas","Garabito",NA,"2025-06",NA,"2025-NA",611
"119","Fumigación","San José",NA,"2024-10",NA,"2024-NA",101
"120","Fumigación","San José",NA,"2024-10",NA,"2024-NA",101
"121","Aplicación de larvicidas y destrucción de criaderos","San José",NA,"2024-10",NA,"2024-NA",101
"122","Fumigación","Alajuela",NA,"2024-10",NA,"2024-NA",201
"123","Fumigación","Turrialba",NA,"2024-10",NA,"2024-NA",305
"124","Fumigación","Alajuela",NA,"2024-10",NA,"2024-NA",201
"125","Fumigación","Alajuela","10","2024-10",2024-10-10,"2024-41",201
"126","Fumigación","Santa Ana","10","2024-10",2024-10-10,"2024-41",109
"127","Aplicación de larvicidas y destrucción de criaderos","Mora","10","2024-10",2024-10-10,"2024-41",107
"128","Fumigación","Alajuela","10","2024-10",2024-10-10,"2024-41",201
"129","Aplicación de larvicidas y destrucción de criaderos","Atenas","10","2024-10",2024-10-10,"2024-41",205
"130","Aplicación de larvicidas y destrucción de criaderos","Turrialba","10","2024-10",2024-10-10,"2024-41",305
"131","Fumigación","Mora","11","2024-10",2024-10-11,"2024-41",107
"132","Fumigación y aplicación de BTI con máquina pulverizadora","Santa Ana","11","2024-10",2024-10-11,"2024-41",109
"133","Fumigación","Atenas","11","2024-10",2024-10-11,"2024-41",205
"134","Aplicación de larvicidas y destrucción de criaderos","Atenas","11","2024-10",2024-10-11,"2024-41",205
"135","Fumigación","Turrialba","11","2024-10",2024-10-11,"2024-41",305
"136","Aplicación de larvicidas y destrucción de criaderos","Turrialba","11","2024-10",2024-10-11,"2024-41",305
"137","Fumigación","Desamparados","09","2024-10",2024-10-09,"2024-41",103
"138","Fumigación","Santa Ana","09","2024-10",2024-10-09,"2024-41",109
"139","Fumigación","Alajuelita","09","2024-10",2024-10-09,"2024-41",110
"140","Aplicación de larvicidas y destrucción de criaderos","Mora","09","2024-10",2024-10-09,"2024-41",107
"141","Fumigación","Alajuela","09","2024-10",2024-10-09,"2024-41",201
"142","Aplicación de larvicidas y destrucción de criaderos","Atenas","09","2024-10",2024-10-09,"2024-41",205
"143","Fumigación","Turrialba","09","2024-10",2024-10-09,"2024-41",305
"144","Visita","Turrialba","09","2024-10",2024-10-09,"2024-41",305
"145","Fumigación","Grecia","10","2024-10",2024-10-10,"2024-41",203
"146","Fumigación","Grecia","11","2024-10",2024-10-11,"2024-41",203
"147","Intervención","Santa Ana","10","2024-09",2024-09-10,"2024-37",109
"148","Intervención","Turrialba","02","2024-09",2024-09-02,"2024-36",305
"149","Capacitación","Puntarenas",NA,"2024-08",NA,"2024-NA",601
"150","Intervención","Grecia","12","2024-06",2024-06-12,"2024-24",203
"151","Intervención","San Carlos","05","2024-03",2024-03-05,"2024-10",210
"152","Intervención","San Carlos","06","2024-03",2024-03-06,"2024-10",210
"153","Intervención","San Carlos","07","2024-03",2024-03-07,"2024-10",210
"154","Intervención","San Carlos","08","2024-03",2024-03-08,"2024-10",210
"155","Intervención","San Carlos","09","2024-03",2024-03-09,"2024-10",210
"156","Intervención","San Carlos","10","2024-03",2024-03-10,"2024-10",210
"157","Intervención","San Carlos","11","2024-03",2024-03-11,"2024-11",210
"158","Intervención","San Carlos","12","2024-03",2024-03-12,"2024-11",210
"159","Intervención","San Carlos",NA,"2024-03",NA,"2024-NA",210
"160","Intervención","San Carlos",NA,"2024-03",NA,"2024-NA",210
"161","Intervención","San Carlos",NA,"2024-03",NA,"2024-NA",210
"162","Intervención","San Carlos",NA,"2024-03",NA,"2024-NA",210
"163","Intervención","San Carlos",NA,"2024-03",NA,"2024-NA",210
"164","Intervención","San Carlos",NA,"2024-03",NA,"2024-NA",210
"165","Intervención","San Carlos",NA,"2024-03",NA,"2024-NA",210
"166","Intervención","San Carlos",NA,"2024-03",NA,"2024-NA",210
"167","Intervención","San Carlos",NA,"2024-03",NA,"2024-NA",210
"168","Intervención","San Carlos",NA,"2024-03",NA,"2024-NA",210
"169","Intervención","Alajuelita","12","2024-03",2024-03-12,"2024-11",110
"170","Intervención","Río Cuarto","06","2024-03",2024-03-06,"2024-10",216
"171","Intervención","Alajuela","01","2024-03",2024-03-01,"2024-9",201
"172","Intervención","Alajuela",NA,"2024-02",NA,"2024-NA",201
"173","Intervención","Alajuela",NA,"2024-02",NA,"2024-NA",201
"174","Intervención","San José",NA,"2024-02",NA,"2024-NA",101
"175","Fumigación","San Carlos",NA,"2023-06",NA,"2023-NA",210
"176","Fumigación","Sarapiquí","02","2023-05",2023-05-02,"2023-18",410
"177","Termonebulización","Sarapiquí","02","2023-05",2023-05-02,"2023-18",410
"178","Fumigación","Sarapiquí","02","2023-05",2023-05-02,"2023-18",410
"179","Termonebulización","Sarapiquí","02","2023-05",2023-05-02,"2023-18",410
"180","Fumigación","Sarapiquí","02","2023-05",2023-05-02,"2023-18",410
"181","Termonebulización","Sarapiquí","02","2023-05",2023-05-02,"2023-18",410
"182","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"183","Eliminación de criaderos","Turrialba",NA,"2022-09",NA,"2022-NA",305
"184","Recolección de llantas","Turrialba",NA,"2022-09",NA,"2022-NA",305
"185","Educación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"186","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"187","Fumigación ","Turrialba","09","2022-09",2022-09-09,"2022-36",305
"188","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"189","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"190","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"191","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"192","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"193","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"194","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"195","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"196","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"197","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"198","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"199","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"200","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"201","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"202","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"203","Fumigación","Turrialba",NA,"2022-09",NA,"2022-NA",305
"204","Termonebulización","Sarapiquí","03","2023-05",2023-05-03,"2023-18",410
"205","Termonebulización","Sarapiquí","04","2023-05",2023-05-04,"2023-18",410
"206","Termonebulización","Sarapiquí","05","2023-05",2023-05-05,"2023-18",410
"207","Termonebulización","Sarapiquí","06","2023-05",2023-05-06,"2023-18",410
"208","Termonebulización","Sarapiquí","07","2023-05",2023-05-07,"2023-18",410
"209","Termonebulización","Sarapiquí","08","2023-05",2023-05-08,"2023-19",410
"210","Termonebulización","Sarapiquí","09","2023-05",2023-05-09,"2023-19",410
"211","Termonebulización","Sarapiquí","10","2023-05",2023-05-10,"2023-19",410
"212","Termonebulización","Sarapiquí","11","2023-05",2023-05-11,"2023-19",410
"213","Termonebulización","Sarapiquí","12","2023-05",2023-05-12,"2023-19",410
"214","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"215","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"216","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"217","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"218","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"219","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"220","Fumigación","San Carlos",NA,"2023-06",NA,"2023-NA",210
"221","Fumigación","San Carlos",NA,"2023-06",NA,"2023-NA",210
"222","Fumigación","Sarapiquí","03","2023-05",2023-05-03,"2023-18",410
"223","Fumigación","Sarapiquí","04","2023-05",2023-05-04,"2023-18",410
"224","Fumigación","Sarapiquí","05","2023-05",2023-05-05,"2023-18",410
"225","Fumigación","Sarapiquí","06","2023-05",2023-05-06,"2023-18",410
"226","Fumigación","Sarapiquí","07","2023-05",2023-05-07,"2023-18",410
"227","Fumigación","Sarapiquí","08","2023-05",2023-05-08,"2023-19",410
"228","Fumigación","Sarapiquí","09","2023-05",2023-05-09,"2023-19",410
"229","Fumigación","Sarapiquí","10","2023-05",2023-05-10,"2023-19",410
"230","Fumigación","Sarapiquí","11","2023-05",2023-05-11,"2023-19",410
"231","Fumigación","Sarapiquí","12","2023-05",2023-05-12,"2023-19",410
"232","Fumigación","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"233","Fumigación","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"234","Fumigación","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"235","Fumigación","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"236","Fumigación","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"237","Termonebulización","Sarapiquí","03","2023-05",2023-05-03,"2023-18",410
"238","Termonebulización","Sarapiquí","04","2023-05",2023-05-04,"2023-18",410
"239","Termonebulización","Sarapiquí","05","2023-05",2023-05-05,"2023-18",410
"240","Termonebulización","Sarapiquí","06","2023-05",2023-05-06,"2023-18",410
"241","Termonebulización","Sarapiquí","07","2023-05",2023-05-07,"2023-18",410
"242","Termonebulización","Sarapiquí","08","2023-05",2023-05-08,"2023-19",410
"243","Termonebulización","Sarapiquí","09","2023-05",2023-05-09,"2023-19",410
"244","Termonebulización","Sarapiquí","10","2023-05",2023-05-10,"2023-19",410
"245","Termonebulización","Sarapiquí","11","2023-05",2023-05-11,"2023-19",410
"246","Termonebulización","Sarapiquí","12","2023-05",2023-05-12,"2023-19",410
"247","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"248","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"249","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"250","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"251","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"252","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"253","Fumigación","Sarapiquí","03","2023-05",2023-05-03,"2023-18",410
"254","Fumigación","Sarapiquí","04","2023-05",2023-05-04,"2023-18",410
"255","Fumigación","Sarapiquí","05","2023-05",2023-05-05,"2023-18",410
"256","Fumigación","Sarapiquí","06","2023-05",2023-05-06,"2023-18",410
"257","Fumigación","Sarapiquí","07","2023-05",2023-05-07,"2023-18",410
"258","Fumigación","Sarapiquí","08","2023-05",2023-05-08,"2023-19",410
"259","Fumigación","Sarapiquí","09","2023-05",2023-05-09,"2023-19",410
"260","Fumigación","Sarapiquí","10","2023-05",2023-05-10,"2023-19",410
"261","Fumigación","Sarapiquí","11","2023-05",2023-05-11,"2023-19",410
"262","Fumigación","Sarapiquí","12","2023-05",2023-05-12,"2023-19",410
"263","Fumigación","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"264","Fumigación","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"265","Fumigación","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"266","Fumigación","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"267","Fumigación","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"268","Termonebulización","Sarapiquí","03","2023-05",2023-05-03,"2023-18",410
"269","Termonebulización","Sarapiquí","04","2023-05",2023-05-04,"2023-18",410
"270","Termonebulización","Sarapiquí","05","2023-05",2023-05-05,"2023-18",410
"271","Termonebulización","Sarapiquí","06","2023-05",2023-05-06,"2023-18",410
"272","Termonebulización","Sarapiquí","07","2023-05",2023-05-07,"2023-18",410
"273","Termonebulización","Sarapiquí","08","2023-05",2023-05-08,"2023-19",410
"274","Termonebulización","Sarapiquí","09","2023-05",2023-05-09,"2023-19",410
"275","Termonebulización","Sarapiquí","10","2023-05",2023-05-10,"2023-19",410
"276","Termonebulización","Sarapiquí","11","2023-05",2023-05-11,"2023-19",410
"277","Termonebulización","Sarapiquí","12","2023-05",2023-05-12,"2023-19",410
"278","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"279","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"280","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"281","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"282","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"283","Termonebulización","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"284","Fumigación","Sarapiquí","03","2023-05",2023-05-03,"2023-18",410
"285","Fumigación","Sarapiquí","04","2023-05",2023-05-04,"2023-18",410
"286","Fumigación","Sarapiquí","05","2023-05",2023-05-05,"2023-18",410
"287","Fumigación","Sarapiquí","06","2023-05",2023-05-06,"2023-18",410
"288","Fumigación","Sarapiquí","07","2023-05",2023-05-07,"2023-18",410
"289","Fumigación","Sarapiquí","08","2023-05",2023-05-08,"2023-19",410
"290","Fumigación","Sarapiquí","09","2023-05",2023-05-09,"2023-19",410
"291","Fumigación","Sarapiquí","10","2023-05",2023-05-10,"2023-19",410
"292","Fumigación","Sarapiquí","11","2023-05",2023-05-11,"2023-19",410
"293","Fumigación","Sarapiquí","12","2023-05",2023-05-12,"2023-19",410
"294","Fumigación","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"295","Fumigación","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"296","Fumigación","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"297","Fumigación","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"298","Fumigación","Sarapiquí",NA,"2023-05",NA,"2023-NA",410
"299","Aplicación de larvicidas y destrucción de criaderos","Turrialba","07","2024-10",2024-10-07,"2024-41",305
"300","Aplicación de larvicidas y destrucción de criaderos","Turrialba","08","2024-10",2024-10-08,"2024-41",305
"301","Aplicación de larvicidas y destrucción de criaderos","Turrialba","09","2024-10",2024-10-09,"2024-41",305
"302","Aplicación de larvicidas y destrucción de criaderos","Turrialba","10","2024-10",2024-10-10,"2024-41",305
"303","Aplicación de larvicidas y destrucción de criaderos","Turrialba","11","2024-10",2024-10-11,"2024-41",305
"304","Aplicación de larvicidas y destrucción de criaderos","Turrialba","12","2024-10",2024-10-12,"2024-41",305
"305","Aplicación de larvicidas y destrucción de criaderos","Alajuela","07","2024-10",2024-10-07,"2024-41",201
"306","Aplicación de larvicidas y destrucción de criaderos","Alajuela","08","2024-10",2024-10-08,"2024-41",201
"307","Aplicación de larvicidas y destrucción de criaderos","Alajuela","09","2024-10",2024-10-09,"2024-41",201
"308","Aplicación de larvicidas y destrucción de criaderos","Alajuela","10","2024-10",2024-10-10,"2024-41",201
"309","Aplicación de larvicidas y destrucción de criaderos","Alajuela","11","2024-10",2024-10-11,"2024-41",201
"310","Aplicación de larvicidas y destrucción de criaderos","Alajuela","12","2024-10",2024-10-12,"2024-41",201
"311","Aplicación de larvicidas y destrucción de criaderos","Atenas","07","2024-10",2024-10-07,"2024-41",205
"312","Aplicación de larvicidas y destrucción de criaderos","Atenas","08","2024-10",2024-10-08,"2024-41",205
"313","Aplicación de larvicidas y destrucción de criaderos","Atenas","09","2024-10",2024-10-09,"2024-41",205
"314","Aplicación de larvicidas y destrucción de criaderos","Atenas","10","2024-10",2024-10-10,"2024-41",205
"315","Aplicación de larvicidas y destrucción de criaderos","Atenas","11","2024-10",2024-10-11,"2024-41",205
"316","Aplicación de larvicidas y destrucción de criaderos","Atenas","12","2024-10",2024-10-12,"2024-41",205
"317","Aplicación de larvicidas y destrucción de criaderos","Grecia","07","2024-10",2024-10-07,"2024-41",203
"318","Aplicación de larvicidas y destrucción de criaderos","Grecia","08","2024-10",2024-10-08,"2024-41",203
"319","Aplicación de larvicidas y destrucción de criaderos","Grecia","09","2024-10",2024-10-09,"2024-41",203
"320","Aplicación de larvicidas y destrucción de criaderos","Grecia","10","2024-10",2024-10-10,"2024-41",203
"321","Aplicación de larvicidas y destrucción de criaderos","Grecia","11","2024-10",2024-10-11,"2024-41",203
"322","Aplicación de larvicidas y destrucción de criaderos","Grecia","12","2024-10",2024-10-12,"2024-41",203
"323","Aplicación de larvicidas y destrucción de criaderos","Desamparados","07","2024-10",2024-10-07,"2024-41",103
"324","Aplicación de larvicidas y destrucción de criaderos","Desamparados","08","2024-10",2024-10-08,"2024-41",103
