Tipo de Campaña,Conteo,Distrito,Canton,Dia,Mes,Año,Link
Fumigación,23349,Alajuela,Alajuela,,2,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,23349,Alajuela,Alajuela,,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,3107,Alajuelita,Alajuelita,,2,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,3107,Alajuelita,Alajuelita,,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,10895,Uruca (La Carpio),San Jose,,2,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,10895,Uruca (La Carpio),San Jose,,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,3335,Montecillos,Alajuela,,2,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,3335,Montecillos,Alajuela,,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,10264,Pavas,San Jose,,2,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,10264,Pavas,San Jose,,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1935,San Miguel,Desamparados,,2,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1935,San Miguel,Desamparados,,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,3263,Santa Ana,Santa Ana,,2,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,3263,Santa Ana,Santa Ana,,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1850,Invu Las Cañas,Alajuela,11,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1850,Invu Las Cañas,Alajuela,12,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1850,Invu Las Cañas,Alajuela,13,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1850,Invu Las Cañas,Alajuela,14,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1481,La Aurora,Alajuelita,11,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1481,La Aurora,Alajuelita,12,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1481,La Aurora,Alajuelita,13,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1481,La Aurora,Alajuelita,14,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1708,San Sebastian,San Jose,11,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1708,San Sebastian,San Jose,12,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1708,San Sebastian,San Jose,13,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1708,San Sebastian,San Jose,14,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1625,Infiernillo,Alajuela,11,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1625,Infiernillo,Alajuela,12,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1625,Infiernillo,Alajuela,13,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,1625,Infiernillo,Alajuela,14,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,968,San Jose,Alajuela,11,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,968,San Jose,Alajuela,12,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,968,San Jose,Alajuela,13,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,968,San Jose,Alajuela,14,3,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1835-estrategia-contra-el-dengue-da-resultados-positivos
Fumigación,2913,,Turrialba,7,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,2913,,Turrialba,8,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,2913,,Turrialba,9,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,2913,,Turrialba,10,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,2913,,Turrialba,11,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,2913,,Turrialba,12,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Alajuela,7,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Alajuela,8,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Alajuela,9,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Alajuela,10,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Alajuela,11,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Alajuela,12,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Atenas,7,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Atenas,8,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Atenas,9,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Atenas,10,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Atenas,11,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Atenas,12,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Grecia,7,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Grecia,8,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Grecia,9,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Grecia,10,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Grecia,11,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,8.275,,Grecia,12,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Desamparados,7,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Desamparados,8,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Desamparados,9,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Desamparados,10,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Desamparados,11,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Desamparados,12,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Hatillos,7,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Hatillos,8,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Hatillos,9,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Hatillos,10,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Hatillos,11,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
