"","week","507","112","201","110","306","106","205","504","402","407","603","505","301","506","610","608","118","103","117","308","102","602","408","611","108","607","203","215","706","401","511","304","510","303","120","501","701","214","705","115","604","107","114","509","206","502","307","209","605","207","302","609","702","208","601","104","119","606","216","210","406","101","204","409","405","202","109","404","503","403","410","212","703","704","105","113","508","305","116","213","111","211"
"1","2020-1",33.849937,27.293066,26.673803,24.153862,22.188282,23.569723,28.117397,34.4845,24.643642,27.427351,31.212837,34.516182,24.62209,34.34428,34.915997,26.767664,25.537695,23.508362,21.881414,21.568829,26.49623,32.156166,27.016687,32.46166,24.180359,NA,27.352505,34.107998,32.262653,22.55273,32.145885,26.663715,32.454823,24.49651,24.007591,33.970146,26.404772,33.950058,32.209393,25.537695,28.79393,27.952417,25.03757,30.962185,26.713696,33.612907,22.922224,32.363567,34.199333,27.21198,23.562895,33.802498,33.11159,25.301834,31.59582,29.043114,28.233732,32.856415,32.276215,33.469173,25.03757,26.49623,29.674335,26.199444,25.234644,28.430748,26.779148,24.643642,33.216724,26.199444,33.205055,24.730297,32.033134,27.305994,27.13554,26.199444,29.71806,27.350954,30.725296,33.39171,23.562042,26.210526
"2","2020-2",34.540176,27.363525,27.006697,24.558084,22.127314,23.736605,28.474123,33.860683,24.853495,27.90754,30.729702,34.643406,24.824478,34.207176,35.42825,26.463654,25.82814,23.834738,21.860447,21.795956,26.93907,32.385284,27.421885,32.70595,24.348875,NA,27.73843,33.327328,32.13133,22.582962,32.264553,26.512363,32.13514,24.709322,24.13483,33.696236,26.358406,32.774235,32.264297,25.82814,29.380133,28.39806,25.218792,31.219027,27.040863,33.978783,22.879633,32.415894,34.479343,27.74474,23.541803,33.824158,32.683117,25.46959,32.200867,29.009205,28.258413,32.80366,31.888243,32.988617,25.218792,26.93907,29.99481,26.525305,25.489985,28.716423,27.230047,24.853495,33.593155,26.525305,32.879456,24.827152,31.929045,27.114033,27.098764,26.525305,29.441408,27.01847,30.771364,32.552944,23.598166,26.276909
"3","2020-3",33.949535,27.729485,26.385801,24.29068,21.507595,23.869879,28.737844,33.66041,24.137815,27.388292,30.942404,34.51386,24.58824,33.58864,34.98795,26.98779,25.309345,23.689692,21.957073,21.809423,26.509525,33.055756,26.811302,33.15422,23.607306,NA,27.220545,32.8445,31.609316,21.802944,32.824112,26.037651,31.869204,24.155037,24.262564,33.431324,25.75184,32.50199,31.245813,25.309345,29.628418,28.289078,24.424044,31.714876,26.673943,33.9269,22.036804,32.953087,34.577347,27.920841,23.350174,34.556534,32.128056,24.764404,32.685623,29.700481,28.267004,33.186295,31.29773,32.445694,24.424044,26.509525,30.295467,25.88041,24.75387,28.179117,26.849525,24.137815,33.342155,25.88041,32.607826,24.163006,31.322792,26.495474,27.255861,25.88041,28.79362,26.332897,31.40369,32.295006,22.763721,25.559399
"4","2020-4",34.61257,26.921328,26.365538,23.881546,21.625328,23.231691,28.208874,35.150715,24.205936,27.265184,29.718851,35.154125,24.346708,35.020576,34.026287,25.774822,25.251621,23.246954,21.787317,21.404808,26.287958,32.398876,26.795824,32.604424,23.797607,NA,27.137075,34.33109,31.0351,21.884144,32.962635,26.2161,32.45309,24.158655,23.679571,34.66654,25.090715,34.519318,30.585054,25.251621,29.554953,27.776285,24.63606,31.663282,26.565723,34.732693,22.233162,32.39091,33.868904,27.468966,23.387157,33.57903,32.11707,24.825832,32.204044,28.819857,27.68855,32.743958,31.57562,33.252483,24.63606,26.287958,29.750317,25.935444,24.891573,28.369923,26.542727,24.205936,33.572548,25.935444,32.379353,24.2637,30.633507,26.170519,26.922451,25.935444,29.98744,26.46152,30.673943,33.53467,22.981945,25.754267
"5","2020-5",35.236813,28.295668,27.14302,25.0565,22.845585,24.639147,28.948904,35.21748,25.020288,28.031326,30.56707,36.274673,25.13179,35.15117,34.58489,26.576937,26.00006,24.356644,22.511522,22.116295,27.161726,33.714947,27.493313,34.296738,24.684906,NA,27.896019,34.243347,32.418015,23.012224,33.017715,27.250467,33.06664,25.003035,25.033112,34.888878,26.879604,34.446564,31.954487,26.00006,30.117256,28.882486,25.48595,32.02546,27.264828,34.64514,23.555204,33.79737,34.578964,28.18131,24.02239,35.00455,33.239124,25.65338,33.751522,30.331707,28.441513,33.71483,32.644062,33.684853,25.48595,27.161726,30.764917,26.590014,25.626083,29.007994,27.51167,25.020288,34.248215,26.590014,33.457195,25.092903,32.13728,28.043882,27.983095,26.590014,30.281124,28.131458,32.411194,33.673023,24.129007,26.566366
"6","2020-6",36.13137,28.704977,27.881832,25.47193,22.521935,25.036549,29.689049,36.2392,25.702719,28.529985,30.428991,36.683018,25.206367,36.21588,34.99808,26.749176,26.459747,24.720947,22.808514,22.477234,27.632978,33.91525,28.07631,34.142406,24.52861,NA,28.67122,35.12843,31.888115,23.60243,33.76412,26.765936,33.723186,24.955948,25.407413,35.718246,25.712597,35.045948,31.462849,26.459747,31.171278,29.39135,25.786602,32.803226,28.345432,35.394928,23.222153,34.0101,34.94422,28.882275,24.068008,35.46575,33.041885,26.551147,34.00841,30.57565,28.485132,34.007423,32.722397,33.756485,25.786602,27.632978,31.418873,27.097857,26.11458,30.444363,27.970758,25.702719,35.16622,27.097857,33.218323,26.210663,31.226715,26.462477,28.359295,27.097857,31.404522,27.280212,32.48968,34.750122,23.905495,27.724125
"7","2020-7",36.02214,28.531588,27.380032,25.320242,21.740864,24.907852,29.964958,35.479465,25.12079,28.313227,30.716452,36.85138,24.837017,35.595142,34.843716,26.847374,26.112553,24.576933,22.5503,22.238617,27.404016,34.828014,27.735064,35.13433,24.016823,NA,28.207664,34.369358,31.355837,22.835707,34.308453,25.900503,33.28418,24.5285,25.229637,35.177402,25.445925,34.16532,30.853937,26.112553,31.45742,29.30513,25.257565,33.21518,27.79903,35.84469,22.4647,34.771023,35.05592,29.168835,23.460016,35.71287,31.99529,25.816341,34.997604,30.98479,28.489672,33.642494,31.809294,33.120895,25.257565,27.404016,31.878515,26.73031,25.643568,29.699251,27.810549,25.12079,35.63242,26.73031,32.38804,25.317543,30.639946,25.909872,28.02925,26.73031,30.786118,26.332058,33.3434,34.144047,23.233341,26.698828
"8","2020-8",35.401356,28.703634,27.057003,25.214058,21.335613,25.114367,30.454437,34.796543,24.7554,28.046825,30.80363,36.12931,24.747711,34.87682,35.321182,27.015486,25.80937,24.5692,22.62559,22.335604,27.172907,35.228596,27.440546,34.72735,23.581999,NA,27.96661,33.666344,31.304153,22.449476,34.41779,25.621716,32.92741,24.197891,25.394152,34.59441,25.07318,33.75266,31.025534,25.80937,31.848146,29.38917,24.840832,33.310436,27.627178,35.39187,22.010405,34.908096,35.072468,29.528288,23.38355,35.296772,31.837128,25.417645,34.830235,30.73952,28.753277,33.69383,31.350712,32.42625,24.840832,27.172907,32.645054,26.364395,25.264563,29.415073,27.621662,24.7554,34.856102,26.364395,32.166973,24.912973,30.608604,25.460896,28.086716,26.364395,30.106419,25.853872,32.959908,33.910065,22.787249,26.297947
"9","2020-9",36.64335,28.903852,28.443544,25.905985,22.61104,25.309504,30.533138,36.93758,26.194952,29.017284,30.931616,36.895752,25.39924,36.950108,35.1451,27.127407,26.829449,25.079075,22.897253,22.717531,28.077051,35.854908,28.576073,34.92749,24.850082,NA,29.287363,36.105835,32.690132,24.099606,34.50998,26.606726,34.48143,25.274137,25.623327,35.904568,26.257565,36.21071,32.029037,26.829449,32.051815,29.834515,26.168951,33.38281,29.0896,35.94257,23.495165,35.269238,35.573498,29.856281,24.029013,35.515484,33.632168,27.129833,35.08515,31.01087,28.605549,33.981876,33.571735,34.848015,26.168951,28.077051,33.009605,27.501177,26.533573,31.164124,28.456188,26.194952,35.048088,27.501177,34.054302,26.876143,31.924704,26.71717,28.394756,27.501177,32.313625,27.134306,33.211124,35.29171,24.21778,28.41837
