date,keyword,value,region,region_name,group
2020-01-01,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-02,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-03,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-04,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-05,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-06,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-07,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-08,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-09,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-10,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-11,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-12,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-13,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-14,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-15,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-16,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-17,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-18,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-19,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-20,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-21,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-22,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-23,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-24,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-25,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-26,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-27,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-28,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-29,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-30,aedes aegypti,0.0,CR,national,dengue_spread
2020-01-31,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-01,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-02,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-03,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-04,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-05,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-06,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-07,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-08,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-09,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-10,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-11,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-12,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-13,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-14,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-15,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-16,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-17,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-18,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-19,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-20,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-21,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-22,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-23,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-24,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-25,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-26,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-27,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-28,aedes aegypti,0.0,CR,national,dengue_spread
2020-02-29,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-01,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-02,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-03,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-04,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-05,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-06,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-07,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-08,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-09,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-10,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-11,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-12,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-13,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-14,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-15,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-16,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-17,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-18,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-19,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-20,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-21,aedes aegypti,0.0,CR,national,dengue_spread
