"","precip_total","precip_min","precip_max","precip_mean","precip_median","week_canton"
"1",3.0395114,0,3.0395114,0.60790228,0,"2020-1-507"
"2",46.348244,0,46.348244,9.2696488,0,"2020-1-112"
"3",5.2302239,0,3.922668,1.04604478,0,"2020-1-201"
"4",11.819548,0,11.819548,2.3639096,0,"2020-1-110"
"5",27.190937,0,27.190937,5.4381874,0,"2020-1-306"
"6",42.00452,0,42.00452,8.400904,0,"2020-1-106"
"7",5.7994637,0,5.7994637,1.15989274,0,"2020-1-205"
"8",0,0,0,0,0,"2020-1-504"
"9",32.469563,0,32.469563,6.4939126,0,"2020-1-402"
"10",6.2445216,0,6.2445216,1.24890432,0,"2020-1-407"
"11",25.962212,0,25.962212,5.1924424,0,"2020-1-603"
"12",0,0,0,0,0,"2020-1-505"
"13",18.913248,0,18.913248,3.7826496,0,"2020-1-301"
"14",0,0,0,0,0,"2020-1-506"
"15",22.3528625,0,17.88229,4.4705725,0,"2020-1-610"
"16",19.540365,0,19.540365,3.908073,0,"2020-1-608"
"17",5.9209895,0,5.9209895,1.1841979,0,"2020-1-118"
"18",6.4725957,0,6.4725957,1.29451914,0,"2020-1-103"
"19",14.279578,0,14.279578,2.8559156,0,"2020-1-117"
"20",16.89403,0,16.89403,3.378806,0,"2020-1-308"
"21",8.42315,0,8.42315,1.68463,0,"2020-1-102"
"22",10.3174925,0,10.3174925,2.0634985,0,"2020-1-602"
"23",6.6316037,0,6.6316037,1.32632074,0,"2020-1-408"
"24",19.507296,0,19.507296,3.9014592,0,"2020-1-611"
"25",18.615238,0,18.615238,3.7230476,0,"2020-1-108"
"26",NA,NA,NA,NA,NA,"2020-1-607"
"27",6.8167706,0,4.5445137,1.36335412,0,"2020-1-203"
"28",0,0,0,0,0,"2020-1-215"
"29",74.50186,0,74.50186,14.900372,0,"2020-1-706"
"30",60.435545,0,40.290363,12.087109,0,"2020-1-401"
"31",0,0,0,0,0,"2020-1-511"
"32",65.40901,0,65.40901,13.081802,0,"2020-1-304"
"33",0,0,0,0,0,"2020-1-510"
"34",10.827691,0,10.827691,2.1655382,0,"2020-1-303"
"35",24.529877,0,24.529877,4.9059754,0,"2020-1-120"
"36",0,0,0,0,0,"2020-1-501"
"37",0,0,0,0,0,"2020-1-701"
"38",0,0,0,0,0,"2020-1-214"
"39",0,0,0,0,0,"2020-1-705"
"40",5.9209895,0,5.9209895,1.1841979,0,"2020-1-115"
"41",7.06192,0,7.06192,1.412384,0,"2020-1-604"
"42",32.64829,0,32.64829,6.529658,0,"2020-1-107"
"43",30.387296,0,15.193648,6.0774592,0,"2020-1-114"
"44",0,0,0,0,0,"2020-1-509"
"45",8.175804,0,5.450536,1.6351608,0,"2020-1-206"
"46",0,0,0,0,0,"2020-1-502"
"47",25.047783,0,25.047783,5.0095566,0,"2020-1-307"
"48",16.482372,0,16.482372,3.2964744,0,"2020-1-209"
"49",43.976765,0,43.976765,8.795353,0,"2020-1-605"
"50",4.787049,0,4.787049,0.9574098,0,"2020-1-207"
"51",148.98451,0,148.98451,29.796902,0,"2020-1-302"
"52",18.579306,0,18.579306,3.7158612,0,"2020-1-609"
"53",72.304924,0,72.304924,14.4609848,0,"2020-1-702"
"54",15.2165843,0,11.412438,3.04331686,0,"2020-1-208"
"55",4.2119946,0,4.2119946,0.84239892,0,"2020-1-601"
"56",30.67583,0,30.67583,6.135166,0,"2020-1-104"
"57",0,0,0,0,0,"2020-1-119"
"58",47.83309,0,47.83309,9.566618,0,"2020-1-606"
"59",101.03265,0,101.03265,20.20653,0,"2020-1-216"
"60",65.14093,0,32.570465,13.028186,0,"2020-1-210"
"61",30.387296,0,15.193648,6.0774592,0,"2020-1-406"
"62",8.42315,0,8.42315,1.68463,0,"2020-1-101"
"63",11.098368,0,11.098368,2.2196736,0,"2020-1-204"
"64",6.3699064,0,6.3699064,1.27398128,0,"2020-1-409"
"65",21.847557,0,21.847557,4.3695114,0,"2020-1-405"
"66",29.59566,0,29.59566,5.919132,0,"2020-1-202"
"67",7.508459,0,7.508459,1.5016918,0,"2020-1-109"
"68",32.469563,0,32.469563,6.4939126,0,"2020-1-404"
"69",0,0,0,0,0,"2020-1-503"
"70",6.3699064,0,6.3699064,1.27398128,0,"2020-1-403"
"71",0,0,0,0,0,"2020-1-410"
