"","tmax_min","tmax_max","tmax_mean","tmax_median","week_canton"
"1",33.185726,33.849937,33.5789134,33.594887,"2020-1-507"
"2",26.31624,27.293066,26.8383826,26.761051,"2020-1-112"
"3",25.749187,26.673803,26.2044332,26.218884,"2020-1-201"
"4",23.514788,24.153862,23.8788398,23.84973,"2020-1-110"
"5",21.239576,22.188282,21.5882104,21.481771,"2020-1-306"
"6",22.773087,23.569723,23.2237706,23.22728,"2020-1-106"
"7",27.140327,28.117397,27.7571548,27.820639,"2020-1-205"
"8",32.5231,34.4845,33.5135248,33.559715,"2020-1-504"
"9",23.604116,24.643642,24.1005386,24.039742,"2020-1-402"
"10",26.785727,27.427351,27.1263664,27.140657,"2020-1-407"
"11",29.349174,31.212837,30.199994,30.251184,"2020-1-603"
"12",33.52438,34.516182,34.0628792,34.20788,"2020-1-505"
"13",23.992884,24.62209,24.2820906,24.224207,"2020-1-301"
"14",32.731842,34.34428,33.5656178,33.606564,"2020-1-506"
"15",32.87771,34.915997,33.7544698,33.634804,"2020-1-610"
"16",24.55912,26.767664,25.7879958,25.986307,"2020-1-608"
"17",24.860907,25.537695,25.1382604,24.988743,"2020-1-118"
"18",22.940176,23.508362,23.2473678,23.25996,"2020-1-103"
"19",21.129444,21.881414,21.5198996,21.669859,"2020-1-117"
"20",20.996092,21.568829,21.3289208,21.47904,"2020-1-308"
"21",25.883364,26.49623,26.210614,26.149607,"2020-1-102"
"22",30.857414,32.156166,31.4234608,31.297749,"2020-1-602"
"23",26.250908,27.016687,26.6325836,26.644302,"2020-1-408"
"24",31.021002,32.46166,31.6389176,31.476261,"2020-1-611"
"25",23.198269,24.180359,23.6471996,23.503084,"2020-1-108"
"26",NA,NA,NA,NA,"2020-1-607"
"27",26.521936,27.352505,26.9170174,26.943682,"2020-1-203"
"28",31.62891,34.107998,32.9748156,33.03782,"2020-1-215"
"29",31.673523,32.262653,31.9179946,31.783941,"2020-1-706"
"30",21.327265,22.55273,21.8926414,21.774736,"2020-1-401"
"31",30.441225,32.145885,31.1407726,31.052216,"2020-1-511"
"32",25.549639,26.663715,26.0634062,26.00249,"2020-1-304"
"33",31.434355,32.454823,31.8953432,31.782942,"2020-1-510"
"34",23.74098,24.49651,24.0478718,23.860308,"2020-1-303"
"35",23.226263,24.007591,23.671191,23.712072,"2020-1-120"
"36",32.28308,33.970146,33.223593,33.333775,"2020-1-501"
"37",25.667965,26.404772,26.095898,26.264986,"2020-1-701"
"38",31.50188,33.950058,32.9369902,33.126175,"2020-1-214"
"39",31.539022,32.209393,31.9150462,31.909616,"2020-1-705"
"40",24.860907,25.537695,25.1382604,24.988743,"2020-1-115"
"41",28.16714,28.79393,28.543288,28.640512,"2020-1-604"
"42",27.164371,27.952417,27.679473,27.723799,"2020-1-107"
"43",23.9801,25.03757,24.4850486,24.363106,"2020-1-114"
"44",29.332415,30.962185,30.0502304,29.980316,"2020-1-509"
"45",25.724895,26.713696,26.169363,26.135256,"2020-1-206"
"46",32.272366,33.612907,32.8116534,32.84077,"2020-1-502"
"47",21.775812,22.922224,22.2857398,22.182285,"2020-1-307"
"48",30.96281,32.363567,31.605719,31.505785,"2020-1-209"
"49",33.08415,34.199333,33.5871452,33.50788,"2020-1-605"
"50",26.404575,27.21198,26.9929842,27.151934,"2020-1-207"
"51",22.580473,23.562895,23.1098954,23.134426,"2020-1-302"
"52",32.53976,33.802498,33.2084668,33.127586,"2020-1-609"
"53",31.98906,33.11159,32.5597034,32.507553,"2020-1-702"
"54",24.08504,25.301834,24.6712058,24.63757,"2020-1-208"
"55",30.29383,31.59582,30.9422438,30.810099,"2020-1-601"
"56",27.76361,29.043114,28.3621544,28.29385,"2020-1-104"
"57",27.191782,28.233732,27.6600756,27.831348,"2020-1-119"
"58",32.018383,32.856415,32.430831,32.362453,"2020-1-606"
"59",30.413332,32.276215,31.398842,31.27713,"2020-1-216"
"60",31.541153,33.469173,32.6045446,32.403896,"2020-1-210"
"61",23.9801,25.03757,24.4850486,24.363106,"2020-1-406"
"62",25.883364,26.49623,26.210614,26.149607,"2020-1-101"
"63",28.436005,29.674335,29.0874046,29.065514,"2020-1-204"
"64",25.401684,26.199444,25.7751006,25.693335,"2020-1-409"
"65",24.270552,25.234644,24.7361858,24.657927,"2020-1-405"
"66",27.12552,28.430748,27.7190868,27.651852,"2020-1-202"
"67",26.10487,26.779148,26.4846996,26.47056,"2020-1-109"
"68",23.604116,24.643642,24.1005386,24.039742,"2020-1-404"
"69",31.673252,33.216724,32.4414674,32.384655,"2020-1-503"
"70",25.401684,26.199444,25.7751006,25.693335,"2020-1-403"
"71",31.698622,33.205055,32.5674358,32.431793,"2020-1-410"
"72",23.311129,24.730297,23.955296,23.881977,"2020-1-212"
"73",31.535881,32.033134,31.7675728,31.719328,"2020-1-703"
