"","tmin_min","tmin_max","tmin_mean","tmin_median","week_canton"
"1",24.307365,26.021297,24.8148014,24.504314,"2020-1-507"
"2",19.743813,20.537115,20.0306984,19.975498,"2020-1-112"
"3",17.587805,19.52409,18.1990866,17.86757,"2020-1-201"
"4",15.657812,16.869596,16.1087037,15.963184,"2020-1-110"
"5",13.576344,14.808821,14.1526392,14.069752,"2020-1-306"
"6",15.750107,16.426962,16.0365696,15.958412,"2020-1-106"
"7",19.311941,21.061092,19.9265702,19.652016,"2020-1-205"
"8",24.198063,27.20882,25.8878906,25.804863,"2020-1-504"
"9",15.779598,17.553274,16.4179398,16.189522,"2020-1-402"
"10",18.377733,20.14368,18.9797354,18.796713,"2020-1-407"
"11",20.3816,22.102806,21.1962774,20.856745,"2020-1-603"
"12",26.494637,27.975094,27.0829348,26.654995,"2020-1-505"
"13",16.015034,16.906733,16.4687114,16.438684,"2020-1-301"
"14",24.410107,26.705322,25.6904036,25.590755,"2020-1-506"
"15",26.99403,29.451195,28.2643936,28.171913,"2020-1-610"
"16",17.749964,19.71708,18.652797,18.47648,"2020-1-608"
"17",16.927618,18.227453,17.4822484,17.460423,"2020-1-118"
"18",15.060793,15.920208,15.4507677,15.372334,"2020-1-103"
"19",14.595402,15.729542,15.0870447,15.139847,"2020-1-117"
"20",13.168587,14.0302925,13.5316737,13.514769,"2020-1-308"
"21",17.816603,19.25814,18.345727,18.202984,"2020-1-102"
"22",25.164124,25.992867,25.5806388,25.596516,"2020-1-602"
"23",17.886286,19.7734,18.5277254,18.282331,"2020-1-408"
"24",27.932844,28.981953,28.339729,28.333622,"2020-1-611"
"25",15.543579,17.015804,16.1887402,16.105654,"2020-1-108"
"26",NA,NA,NA,NA,"2020-1-607"
"27",18.255825,20.213047,18.8618844,18.507288,"2020-1-203"
"28",24.937374,27.784977,26.5857466,26.645515,"2020-1-215"
"29",23.21468,24.687714,24.1296036,24.294775,"2020-1-706"
"30",13.904873,15.577692,14.5431358,14.374376,"2020-1-401"
"31",23.207378,24.603312,24.0746532,24.175142,"2020-1-511"
"32",17.743946,18.71412,18.2962428,18.388628,"2020-1-304"
"33",26.026997,27.709929,26.9649234,26.755947,"2020-1-510"
"34",15.90102,17.1667,16.4680988,16.470415,"2020-1-303"
"35",16.62287,17.362755,16.9755368,16.933565,"2020-1-120"
"36",23.503502,26.57727,25.0511686,24.5965,"2020-1-501"
"37",18.20027,19.374634,18.8321896,18.985964,"2020-1-701"
"38",24.493374,28.067993,26.3871064,26.521225,"2020-1-214"
"39",24.387001,25.277475,24.8512522,25.049608,"2020-1-705"
"40",16.927618,18.227453,17.4822484,17.460423,"2020-1-115"
"41",20.954172,22.392258,21.5317342,21.483269,"2020-1-604"
"42",19.540052,20.957962,19.9914602,19.849918,"2020-1-107"
"43",16.315372,17.952055,16.9980372,16.909119,"2020-1-114"
